target_id	length	eff_length	est_counts	tpm
comp25388_c0_seq1	293	131.327	231	26.6115
comp25841_c0_seq1	345	176.668	1	0.0856354
comp24711_c0_seq1	453	278.096	0	0
comp24711_c0_seq2	249	96.0863	0	0
comp25566_c0_seq1	272	114.133	183	24.2579
comp25515_c0_seq1	307	143.304	53	5.59539
comp25594_c0_seq1	552	374.842	45	1.81625
comp25876_c0_seq1	229	81.2928	1	0.186106
comp24479_c0_seq1	515	338.478	44	1.96668
comp25596_c0_seq1	229	81.2928	9	1.67495
comp25879_c0_seq1	300	137.265	0	0
comp25203_c0_seq1	238	87.8903	1	0.172136
comp25632_c0_seq1	343	174.851	92	7.96034
comp24013_c0_seq1	467	291.614	971	50.3759
comp24570_c0_seq1	292	130.492	11	1.27533
comp25433_c0_seq1	285	124.734	38	4.60903
comp24053_c0_seq1	364	194.008	4	0.311926
comp24249_c0_seq1	405	232.249	71	4.62504
comp25040_c0_seq1	261	105.33	20	2.8727
comp24077_c0_seq1	450	275.196	44	2.41892
comp25653_c0_seq1	343	174.851	35	3.02839
comp25952_c0_seq1	613	435.152	0	0
comp24574_c0_seq1	264	107.652	6	0.843222
comp25956_c0_seq1	255	100.7	15	2.25359
comp25770_c0_seq1	259	103.776	5	0.72893
comp24080_c0_seq1	221	75.7279	19	3.79585
comp24238_c0_seq1	215	71.5708	10	2.11386
comp25790_c0_seq1	201	62.4667	2	0.484387
comp25471_c0_seq1	210	68.3166	4	0.885821
comp25096_c0_seq1	210	68.3166	38	8.4153
comp24310_c0_seq1	217	72.9939	88	18.2393
comp25004_c0_seq1	318	152.838	54	5.34531
comp24517_c0_seq1	279	119.821	1	0.126264
comp25629_c0_seq1	302	139.021	0	0
comp25185_c0_seq1	365	194.92	27	2.09565
comp24264_c0_seq1	320	154.55	31	3.03461
comp25957_c0_seq1	411	237.901	2	0.127188
comp25479_c0_seq1	631	453.018	251	8.38242
comp25285_c0_seq1	228	80.5822	60	11.2648
comp24394_c0_seq1	224	77.7623	20	3.8911
comp24862_c0_seq1	202	63.1305	3	0.718942
comp24106_c0_seq1	257	102.22	100	14.8005
comp24152_c0_seq1	234	84.9394	6	1.06869
comp25262_c0_seq1	461	285.784	3	0.158816
comp24576_c0_seq1	643	464.979	0	0
comp24447_c0_seq1	411	237.901	2	0.127188
comp24447_c0_seq2	229	81.2928	1	0.186106
comp24438_c0_seq1	242	90.809	27	4.49828
comp25363_c0_seq1	228	80.5822	75	14.081
comp25711_c0_seq1	245	93.0906	15	2.43779
comp24104_c0_seq1	217	72.9939	376	77.9315
comp25247_c0_seq1	282	122.318	29	3.5869
comp24515_c0_seq1	303	139.86	18	1.9471
comp25823_c0_seq1	244	92.3137	18	2.94997
comp24650_c0_seq1	298	135.578	138	15.3993
comp24473_c0_seq1	224	77.7623	177	34.4362
comp25733_c0_seq1	238	87.8903	1	0.172136
comp24421_c0_seq1	442	267.525	53	2.99725
comp24637_c0_seq1	277	118.199	1	0.127996
comp24393_c0_seq1	262	106.094	1	0.1426
comp24119_c0_seq1	354	184.817	104	8.51339
comp24977_c0_seq1	414	240.78	16	1.00534
comp24195_c0_seq1	299	136.404	33	3.66015
comp25227_c0_seq1	220	75.0349	25	5.04067
comp25559_c0_seq1	306	142.456	37	3.92945
comp24682_c0_seq1	318	152.838	34	3.36557
comp24035_c0_seq1	276	117.393	127	16.3671
comp24523_c0_seq1	215	71.5708	80	16.9109
comp25381_c0_seq1	292	130.492	73	8.46354
comp24323_c0_seq1	241	90.0949	10	1.67924
comp25751_c0_seq1	208	67.0628	36	8.12143
comp25575_c0_seq1	248	95.319	34	5.39649
comp25201_c0_seq1	213	70.2971	3	0.645647
