




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5228828 Released 2021-08-18
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	upload_1 (547)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
voluntary skeletal muscle contraction (GO:0003010)	3	3	.08	+	37.65	3.25E-04	3.10E-02
twitch skeletal muscle contraction (GO:0014721)	3	3	.08	+	37.65	3.25E-04	3.08E-02
skeletal muscle thin filament assembly (GO:0030240)	6	4	.16	+	25.10	8.22E-05	1.07E-02
pointed-end actin filament capping (GO:0051694)	7	4	.19	+	21.51	1.27E-04	1.60E-02
transition between fast and slow fiber (GO:0014883)	7	4	.19	+	21.51	1.27E-04	1.59E-02
skeletal muscle atrophy (GO:0014732)	8	4	.21	+	18.83	1.86E-04	2.23E-02
skeletal muscle adaptation (GO:0043501)	13	6	.35	+	17.38	5.94E-06	1.28E-03
glycogen catabolic process (GO:0005980)	9	4	.24	+	16.73	2.63E-04	2.83E-02
positive regulation of skeletal muscle fiber development (GO:0048743)	9	4	.24	+	16.73	2.63E-04	2.81E-02
response to denervation involved in regulation of muscle adaptation (GO:0014894)	9	4	.24	+	16.73	2.63E-04	2.79E-02
striated muscle atrophy (GO:0014891)	9	4	.24	+	16.73	2.63E-04	2.78E-02
response to muscle inactivity involved in regulation of muscle adaptation (GO:0014877)	9	4	.24	+	16.73	2.63E-04	2.76E-02
response to muscle inactivity (GO:0014870)	9	4	.24	+	16.73	2.63E-04	2.74E-02
skeletal myofibril assembly (GO:0014866)	9	4	.24	+	16.73	2.63E-04	2.72E-02
sarcoplasmic reticulum calcium ion transport (GO:0070296)	14	6	.37	+	16.14	8.30E-06	1.65E-03
positive regulation of autophagy of mitochondrion (GO:1903599)	12	5	.32	+	15.69	5.44E-05	7.99E-03
skeletal muscle contraction (GO:0003009)	30	12	.80	+	15.06	4.35E-10	3.11E-07
glucan catabolic process (GO:0009251)	10	4	.27	+	15.06	3.61E-04	3.34E-02
muscle atrophy (GO:0014889)	10	4	.27	+	15.06	3.61E-04	3.32E-02
regulation of skeletal muscle adaptation (GO:0014733)	13	5	.35	+	14.48	7.38E-05	9.99E-03
sarcomere organization (GO:0045214)	37	14	.98	+	14.25	2.74E-11	2.39E-08
cardiac myofibril assembly (GO:0055003)	16	6	.42	+	14.12	1.53E-05	2.73E-03
cellular response to caffeine (GO:0071313)	11	4	.29	+	13.69	4.82E-04	4.19E-02
cellular polysaccharide catabolic process (GO:0044247)	11	4	.29	+	13.69	4.82E-04	4.16E-02
myofibril assembly (GO:0030239)	58	21	1.54	+	13.63	5.91E-16	9.28E-13
striated muscle cell development (GO:0055002)	59	21	1.57	+	13.40	7.82E-16	1.12E-12
response to stimulus involved in regulation of muscle adaptation (GO:0014874)	15	5	.40	+	12.55	1.28E-04	1.60E-02
regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum (GO:0010880)	28	9	.74	+	12.10	3.17E-07	1.47E-04
skeletal muscle fiber development (GO:0048741)	25	8	.66	+	12.05	1.50E-06	4.53E-04
glycogen biosynthetic process (GO:0005978)	19	6	.50	+	11.89	3.40E-05	5.45E-03
glucan biosynthetic process (GO:0009250)	19	6	.50	+	11.89	3.40E-05	5.40E-03
musculoskeletal movement (GO:0050881)	42	12	1.12	+	10.76	1.02E-08	6.40E-06
multicellular organismal movement (GO:0050879)	42	12	1.12	+	10.76	1.02E-08	6.15E-06
regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion (GO:0010881)	21	6	.56	+	10.76	5.44E-05	8.06E-03
myotube cell development (GO:0014904)	29	8	.77	+	10.39	3.80E-06	9.05E-04
striated muscle adaptation (GO:0014888)	28	7	.74	+	9.41	2.68E-05	4.57E-03
positive regulation of skeletal muscle tissue development (GO:0048643)	20	5	.53	+	9.41	3.94E-04	3.58E-02
actin filament capping (GO:0051693)	37	9	.98	+	9.16	2.28E-06	6.19E-04
regulation of cardiac muscle contraction by calcium ion signaling (GO:0010882)	26	6	.69	+	8.69	1.49E-04	1.82E-02
positive regulation of muscle organ development (GO:0048636)	22	5	.58	+	8.56	5.73E-04	4.74E-02
positive regulation of striated muscle tissue development (GO:0045844)	22	5	.58	+	8.56	5.73E-04	4.72E-02
cellular component assembly involved in morphogenesis (GO:0010927)	97	22	2.58	+	8.54	3.98E-13	3.91E-10
muscle cell development (GO:0055001)	151	34	4.01	+	8.48	1.71E-19	8.95E-16
positive regulation of calcium ion transmembrane transporter activity (GO:1901021)	40	9	1.06	+	8.47	3.97E-06	9.05E-04
regulation of ryanodine-sensitive calcium-release channel activity (GO:0060314)	27	6	.72	+	8.37	1.78E-04	2.16E-02
actomyosin structure organization (GO:0031032)	108	24	2.87	+	8.37	4.97E-14	6.01E-11
glycogen metabolic process (GO:0005977)	50	11	1.33	+	8.28	4.08E-07	1.83E-04
negative regulation of actin filament depolymerization (GO:0030835)	41	9	1.09	+	8.26	4.74E-06	1.05E-03
cellular glucan metabolic process (GO:0006073)	51	11	1.35	+	8.12	4.84E-07	2.11E-04
glucan metabolic process (GO:0044042)	51	11	1.35	+	8.12	4.84E-07	2.06E-04
striated muscle contraction (GO:0006941)	107	23	2.84	+	8.09	3.08E-13	3.22E-10
