"","target_id","logFC","unshrunk.logFC","logCPM","PValue"
"1","XM_015820761.1",-20.6590140892629,-144269498.287555,13.9376461091558,9.29136092886266e-10
"2","XM_015821242.1",-20.0343256343453,-144269497.662866,13.3129924355199,1.62589450489352e-10
"3","XM_015827049.1",-18.1657438197031,-144269495.79428,11.4446734701119,1.56030769464533e-10
"4","XM_015819592.1",-17.8300510658058,-144269495.458586,11.1090748783009,8.02786404126136e-10
"5","XM_015832095.1",-17.2572214152962,-144269494.885754,10.5364643244174,8.09367675032602e-11
"6","XM_015831350.1",-16.5849742315975,-144269494.213501,9.86461667095758,6.75302406479166e-10
"7","XM_015827294.2",-15.5963475942628,-144269493.22486,8.87702257832643,1.68808287345897e-09
"8","XM_015827286.2",-15.2346318994316,-144269492.863136,8.51589074277143,2.32944801226259e-08
"9","XM_015821044.1",-14.5980540764675,-144269492.226537,7.88076078192316,1.43445254264002e-05
"10","XM_015815130.1",-14.1678589574633,-144269491.796322,7.45193116871433,3.44478774914824e-09
"11","XM_015815906.1",-14.1121517442354,-144269491.740612,7.39641686434584,2.41456421034538e-17
"12","XM_015816698.1",-14.1012766415602,-144269491.729736,7.38559474708084,5.31329671423432e-07
"13","XM_015826507.1",-14.0009292194566,-144269491.629383,7.28566021799437,0.000152250106844677
"14","XR_001548954.1",-13.826820455388,-144269491.455263,7.11229021537211,1.98147425670744e-09
"15","XM_015827303.1",-13.7246924068604,-144269491.353127,7.01063622260251,1.38433415276826e-08
"16","XM_015811006.2",-13.6845735987254,-144269491.313005,6.97071560759861,7.77798083608132e-08
"17","XM_015814432.1",-13.466055467845,-14.0653374455197,8.21980832932617,5.68707405313785e-12
"18","XM_015832010.1",-13.451327477698,-144269491.07974,6.7386748121904,1.56728648250386e-15
"19","XM_015816012.1",-13.3821759427044,-144269491.010582,6.66995896609778,1.73673252996516e-13
"20","XM_015822457.1",-13.3661230667159,-144269490.994528,6.65394352301337,4.19038817332683e-07
"21","XM_015817695.2",-13.3595101871096,-144269490.987914,6.64742625103549,2.25523699853938e-08
"22","XM_015819402.1",-13.314816827149,-144269490.943217,6.60299824204356,7.20188710497893e-10
"23","XM_015809986.2",-13.3147039090238,-34.4948331786437,6.60289419576696,5.21704925957049e-09
"24","XR_001548988.1",-13.1870844229039,-144269490.815471,6.47609420687899,5.680983566029e-06
"25","XM_015826371.1",-13.161633608059,-144269490.790018,6.45081866831109,1.78361451581675e-05
"26","XM_015831856.1",-13.15836546832,-23.8702029249719,6.44862343205629,1.55502503412789e-10
"27","XM_015812890.2",-13.1552964954207,-144269490.78368,6.4445247324939,1.28672333628934e-11
"28","XM_015827277.1",-13.099899338109,-144269490.728276,6.38950300526632,5.13825987706801e-09
"29","XM_015824822.1",-13.0503594782689,-144269490.678731,6.34026690583793,2.88731267376713e-05
"30","XM_015809952.1",-13.0003957924426,-23.2384605279221,6.29214411937051,5.82184299962285e-11
"31","XM_029283547.1",-12.9642941124468,-144269490.592655,6.25486989780698,5.20069848928088e-16
"32","XM_015821925.1",-12.9476473488749,-144269490.576006,6.23836668879111,1.19816894002443e-07
"33","XM_015828205.1",-12.9468249238624,-144269490.575184,6.23755526253725,0.00467250385591661
"34","XM_029283544.1",-12.9340199748485,-144269490.562377,6.22484687329855,4.28014386437249e-10
"35","XM_015831566.2",-12.928173089307,-144269490.556529,6.21904105428667,2.93401648733281e-08
"36","XM_015818400.1",-12.9083763656111,-21.6031429607437,6.20343503096663,3.51526056369092e-11
"37","XM_015818392.2",-12.8652262791142,-144269490.493574,6.15658885408662,2.07160496128978e-14
"38","XM_015811009.1",-12.8423511497894,-144269490.470696,6.13390556470888,4.56875408938105e-10
"39","XM_015809996.1",-12.7839974951928,-144269490.412334,6.07601939609224,3.32828619845271e-16
"40","XM_015821560.1",-12.7582854203003,-144269490.386619,6.05054465610023,2.7508292653257e-08
"41","XM_015831234.1",-12.7367513213848,-144269490.365081,6.02920029598215,0.000305068685432994
"42","XM_015830693.1",-12.6920887169115,-144269490.320412,5.984930659786,0.00407163213342481
"43","XM_015830204.1",-12.6872550417455,-144269490.315578,5.98013522626769,1.22132738550272e-08
"44","XM_015815835.1",-12.6814720519887,-144269490.309794,5.97438481569498,1.15965841469895e-07
"45","XM_015816926.1",-12.6702427577239,-144269490.298563,5.9632604062116,8.93813265473422e-05
"46","XM_015815520.1",-12.6586515838311,-144269490.28697,5.9517954034967,1.61515219663352e-06
"47","XM_029287219.1",-12.6294117545695,-144269490.257725,5.92280761091521,1.32355824670966e-07
"48","XM_015826586.1",-12.5990492119222,-21.8561530773679,5.895339291615,1.22619518595187e-19
"49","XR_001548938.2",-12.5517245489416,-144269490.180026,5.84585582554359,7.02418139859208e-08
"50","XM_015814083.1",-12.5387850816876,-20.9176974126764,5.83750121386003,1.30941727196775e-12
"51","XM_015832165.1",-12.5376777994137,-144269490.165977,5.83193447036046,2.34525065725022e-14
"52","XM_015823802.1",-12.5166486230039,-144269490.144944,5.81111106796948,2.39942330866358e-12
"53","XM_029287290.1",-12.5005370474851,-34.6339086295136,5.79516308208301,1.28582193529446e-08
"54","XM_015813941.1",-12.4958463955547,-144269490.124138,5.79050879078039,3.04908748674818e-13
"55","XM_029285202.1",-12.4834773391526,-144269490.111767,5.77826921372382,2.22578974809548e-09
"56","XM_015820255.1",-12.473547671085,-28.0029808865048,5.76845485805925,5.09486869759398e-11
"57","XM_015817408.1",-12.4659141137031,-144269490.0942,5.76087775386274,1.24863449395991e-13
"58","XM_015825173.1",-12.4564858917488,-144269490.084771,5.7515423426027,6.60044446395088e-12
"59","XM_015820463.1",-12.444544114631,-144269490.072827,5.73971101149235,0.00923856182922221
"60","XM_015816978.1",-12.4132483208446,-144269490.041525,5.70874123503735,5.83962333704222e-15
"61","XM_015818112.1",-12.3605619399254,-144269489.988829,5.65661007136878,2.76683758981676e-06
"62","XM_015818152.1",-12.3565546541761,-36.3357997048976,5.65264305047023,9.53061427245009e-06
"63","XM_015816405.1",-12.3466053772879,-144269489.974869,5.64279582195722,0.000487115996111837
"64","XM_015830946.1",-12.3147480707109,-144269489.943006,5.61128806873018,4.13583047622369e-08
"65","XM_015817891.1",-12.2842648413595,-144269489.912517,5.58113789702659,1.32635994434476e-07
"66","XM_015810903.2",-12.2619325218636,-144269489.89018,5.55905636516371,4.04435409399624e-13
"67","XM_015812998.1",-12.2540382864121,-144269489.882284,5.55124688968812,1.68480161179238e-09
"68","XM_029283259.1",-12.1936692966115,-144269489.821903,5.49154187757908,0.00287547885903569
"69","XM_015826942.2",-12.1816647636233,-144269489.809896,5.4796890584959,0.0261604109923236
"70","XM_015812841.1",-12.1798934636478,-36.0766405392714,5.4779583707634,1.63556832261651e-14
"71","XM_015819767.1",-12.1612052900635,-144269489.789431,5.4594984892464,1.74482212183224e-10
"72","XM_015820011.2",-12.1588712502143,-144269489.787097,5.4571814720776,1.74169253448285e-17
"73","XR_001548980.1",-12.1366405770413,-144269489.764862,5.43519747184081,6.4343085491711e-07
"74","XM_015817693.2",-12.1342772537961,-144269489.762498,5.43286923940215,8.07534228782988e-08
"75","XM_015825645.1",-12.1122309511616,-144269489.740447,5.41108502008505,9.98442809756231e-08
"76","XM_015817936.1",-12.1016530880832,-144269489.729866,5.40063937850686,1.17176316943825e-13
"77","XM_015818209.1",-12.0964716530264,-144269489.724684,5.39551672182152,6.62943789579844e-08
"78","XM_015811223.1",-12.0815623309212,-144269489.709771,5.38078357438448,5.28552027324272e-09
"79","XM_015819438.2",-12.0590509835406,-13.7234809461285,5.88902153193521,1.56762237521723e-05
"80","XM_015818206.1",-12.0538177294921,-144269489.68202,5.35339297823764,3.79437051466176e-08
"81","XM_015815857.1",-12.0262626559054,-144269489.654458,5.3262021905619,1.27992741585098e-13
"82","XM_015821483.1",-12.0212737987137,-144269489.649468,5.32125827960717,6.74697840717238e-08
"83","XM_029283797.1",-11.9658321934089,-144269489.594013,5.26652228968645,8.12373401689799e-08
"84","XM_015814582.1",-11.9643638132169,-144269489.592544,5.26508596337126,5.25481705533215e-16
"85","XM_029285546.1",-11.962399160449,-12.559509971838,6.73498066900235,4.18292189692563e-09
"86","XM_015823711.1",-11.952594438093,-144269489.580772,5.25345884309466,3.31005028692186e-08
"87","XM_015832368.2",-11.9317668016443,-144269489.559939,5.23292391727776,1.18927424912783e-13
"88","XM_015830279.1",-11.919137706551,-144269489.547307,5.2204563663589,2.42942584654065e-07
"89","XM_015814586.1",-11.8945633805373,-144269489.522726,5.1961812117718,5.34226197661291e-10
"90","XM_015821625.1",-11.8904886347255,-144269489.51865,5.19215430031434,5.88651129025054e-08
"91","XR_003810519.1",-11.8643170420957,-144269489.492472,5.1663356509561,7.05622020166256e-07
"92","XM_015813317.1",-11.8536409634193,-144269489.481792,5.15591723209194,4.53389294362391e-09
"93","XM_015818054.1",-11.8500197043312,-144269489.47817,5.152306081624,8.31776329020272e-10
"94","XM_015810596.1",-11.8120685431229,-27.7826896327627,5.11487557972981,5.8105542936926e-12
"95","XM_015819650.1",-11.8120341437279,-144269489.440174,5.11490140050217,4.87898335335955e-06
"96","XM_015822970.1",-11.7872165699313,-144269489.41535,5.09037036128749,1.08686221743233e-11
"97","XM_015816737.1",-11.7809109750918,-144269489.409042,5.08413743687413,4.17580621069192e-08
"98","XM_015820243.1",-11.7651331921803,-144269489.39326,5.06864409851704,1.52620135783762e-06
"99","XM_015812111.2",-11.7564639698768,-12.3533860060663,6.53146462956194,1.49884467376684e-10
"100","XM_015809957.1",-11.7454499425404,-17.8735835440358,5.07283934437996,5.35866174734107e-09
"101","XR_003810596.1",-11.6947769091408,-144269489.322883,4.99918915855443,3.95600084091307e-07
"102","XM_015822365.1",-11.694537567949,-24.8029972316135,4.99919385147787,1.39197774602143e-06
"103","XM_015816142.1",-11.6876428543481,-144269489.315747,4.99224237980391,3.42957813997208e-10
"104","XM_015819403.1",-11.6773312691254,-144269489.305432,4.98199356479333,0.00780154915790657
"105","XM_015815892.1",-11.641737815855,-144269489.269828,4.94701102524015,1.43913696052833e-11
"106","XM_015832182.1",-11.6359704669456,-144269489.264059,4.94129253491378,5.41543409734476e-09
"107","XM_015814697.1",-11.6336919991983,-35.6753892608921,4.93906991055452,1.26218041100996e-12
"108","XM_015822605.1",-11.6292489809334,-144269489.257335,4.93466475190933,7.44698397453766e-09
"109","XM_015814901.2",-11.6237075554821,-20.1905019720055,4.93381470587418,3.18091205164539e-08
"110","XM_029284470.1",-11.6074660619631,-32.1426055425683,4.91344262625552,1.06062797069099e-06
"111","XM_015822908.1",-11.5787428763229,-36.7817562457266,4.88499272806335,1.14613798799898e-11
"112","XM_015819404.1",-11.5693546550623,-144269489.197421,4.87573704824604,9.60990859452237e-08
"113","XM_029286113.1",-11.5611289146507,-144269489.189193,4.86760277088635,3.51104371723086e-05
"114","XM_015824259.2",-11.5599447574941,-32.1435311239118,4.86641226464435,0.00586918813266522
"115","XM_029284183.1",-11.551244555563,-144269489.179305,4.85789315739609,1.16372698557392e-10
"116","XM_015817236.2",-11.5494199084138,-144269489.17748,4.8560080069622,0.000121641909370353
"117","XM_015824260.2",-11.5402421777962,-13.0615828728051,5.61114930326854,8.13420201934351e-15
"118","XM_015815114.1",-11.5225363947302,-144269489.150587,4.82970363105001,6.03102244415778e-14
"119","XM_029283591.1",-11.5069088271583,-12.1036057423298,6.28501238745009,2.98474345061359e-10
"120","XM_015810315.1",-11.5062985075895,-144269489.134343,4.81384971711573,1.02210864183097e-08
"121","XM_015814545.1",-11.5053873237862,-34.2864713733563,4.81300309504487,2.6688076784348e-07
"122","XM_015814685.1",-11.5038723062654,-144269489.131917,4.81133380947661,2.36312216993543e-10
"123","XM_015824412.1",-11.5034788266665,-144269489.131523,4.81100782894279,1.57436110487325e-10
"124","XM_015818758.1",-11.5016112345325,-144269489.129655,4.80907466177301,2.15925958051815e-07
"125","XM_015827763.1",-11.4650581239543,-144269489.093089,4.77310839802567,6.50333247584316e-13
"126","XM_015818362.1",-11.4552173519272,-30.9082061496931,4.7634166051595,0.000352319882444216
"127","XM_015827904.1",-11.450744975834,-144269489.078771,4.75906111237612,3.41136390786244e-11
"128","XM_015824618.1",-11.4476891562569,-144269489.075714,4.75610824367442,1.70928492703169e-16
"129","XM_029287347.1",-11.4399020807726,-144269489.067924,4.74840785723399,8.4988519684529e-12
"130","XM_015824806.1",-11.4367860627536,-144269489.064807,4.7452439150507,7.64097378306868e-06
"131","XM_015823015.1",-11.4302418377784,-144269489.058261,4.73881162596775,4.2516374965097e-07
"132","XM_029285310.1",-11.4299465436398,-144269489.057965,4.73854802176615,1.24659937840951e-10
"133","XM_015813461.1",-11.4291903778903,-144269489.057209,4.73770596418487,0.000221341548060037
"134","XM_015821666.1",-11.4281533888195,-144269489.056171,4.73688232087594,8.277234024489e-15
"135","XM_015821585.2",-11.4212233193049,-144269489.049239,4.73002660145876,5.61096390297279e-08
"136","XM_015832456.1",-11.3960636451363,-26.7009028179419,4.7055425347647,1.27023568571050e-09
"137","XM_029284440.1",-11.3839748568969,-144269489.011976,4.69358967723079,1.3838164877747e-08
"138","XM_015812901.1",-11.3819002816977,-144269489.009901,4.69126377081687,3.32742072539299e-09
"139","XM_015821061.1",-11.3795107678778,-144269489.007511,4.68897883228912,2.91391833935657e-09
"140","XM_015826654.1",-11.3714723343196,-23.1218477300182,4.68164874500821,4.9032976001565e-11
"141","XM_029283435.1",-11.3630527636243,-144269488.991046,4.67285837655974,1.77904647450398e-11
"142","XM_015818058.1",-11.3473242469403,-144269488.975312,4.65730059196545,4.09637270029069e-10
"143","XM_015817219.2",-11.3465669622229,-11.8818162717332,6.67802699725141,7.84357126267056e-11
"144","XM_029283473.1",-11.3445287374184,-144269488.972515,4.65470846082207,1.57185277586231e-10
"145","XM_015816999.1",-11.3326362643463,-144269488.960618,4.64296409147194,4.62713590111705e-10
"146","XM_015826740.1",-11.3301977904766,-144269488.958179,4.64055373888803,5.04894325644606e-05
"147","XM_015814817.1",-11.32056829369,-144269488.948546,4.63103857239642,1.80948391374345e-05
"148","XM_015824051.1",-11.3103255003025,-144269488.938299,4.62098167561715,7.50409604455635e-09
"149","XM_015819683.1",-11.3077230827576,-144269488.935695,4.6185493618915,2.05545551332011e-17
"150","XM_015823621.1",-11.303392812539,-144269488.931363,4.61431958905783,2.61730189957447e-13
"151","XM_015814649.1",-11.3033038383095,-11.5342720900907,7.73522848380617,0.0274071996027773
"152","XM_015823295.1",-11.2948118976046,-30.5105156841035,4.60569883230614,2.91860180359925e-06
"153","XM_015818323.1",-11.2801783890815,-144269488.90814,4.59148830015524,2.51881652412108e-18
"154","XM_015831887.2",-11.2800146555885,-144269488.907976,4.59124656741037,2.4122281118464e-11
"155","XM_015814150.1",-11.2636488402855,-144269488.891603,4.57532365101703,4.22298032403055e-12
"156","XM_015821350.1",-11.2601281063666,-144269488.88808,4.57208788412875,8.7202373963415e-05
"157","XM_015815160.1",-11.2589923275467,-144269488.886946,4.57043941241012,1.29086389114985e-05
"158","XM_029283683.1",-11.2481731200831,-144269488.876122,4.55995323813469,1.80769086067971e-13
"159","XM_015812055.1",-11.2416487425529,-144269488.869595,4.5534844712973,0.00428001105166639
"160","XM_015826720.1",-11.2300409465437,-144269488.857982,4.54217371855113,1.11591880948196e-11
"161","XM_015815684.1",-11.2250505523391,-11.8215484154572,6.00657628398195,3.84711964422813e-09
"162","XM_015816006.1",-11.2162008196671,-35.7871665081835,4.52866518671994,5.70992856978501e-16
"163","XR_001548860.1",-11.2132050536369,-144269488.841138,4.52581441017395,1.57349538793365e-14
"164","XM_015815177.1",-11.207994735828,-144269488.835926,4.52077007557721,2.33729553656737e-08
"165","XM_015817480.1",-11.2070617289425,-144269488.834993,4.51957438025439,3.87193497126895e-08
"166","XM_015822556.1",-11.2041912102568,-144269488.83212,4.51708331933387,5.59716721501677e-11
"167","XM_015820086.1",-11.199155928245,-144269488.827083,4.51200580140333,4.7578422501767e-11
"168","XM_015812534.1",-11.1960337776603,-144269488.82396,4.5088760865247,1.82222856460998e-15
"169","XM_015815829.1",-11.1938995856159,-144269488.821824,4.50695059583494,0.000978319463402464
"170","XM_015819709.1",-11.1865183348162,-144269488.814441,4.49940706433352,8.8136350387384e-09
"171","XM_015828868.1",-11.1845452536198,-144269488.812467,4.49754678538054,3.02707980054708e-06
"172","XM_015819405.1",-11.1812965370436,-144269488.809217,4.4943737594479,3.92319979088816e-07
"173","XM_015817742.1",-11.1780612464267,-144269488.80598,4.49109203071285,7.98338028501687e-11
"174","XM_015814182.1",-11.1779603111521,-144269488.805879,4.49112235407697,2.5631444143198e-12
"175","XM_015820062.1",-11.1773501646036,-19.9294695942667,4.49450856276944,6.85136046532664e-09
"176","XM_015823893.1",-11.1757552209726,-144269488.803673,4.48900315771531,3.71331964667817e-12
"177","XM_015816931.2",-11.1726531009289,-144269488.80057,4.48590383830438,2.08414337788532e-09
