target_id,Pm_1_f,Pm_2_f,Pm_3_m,Pm_4_f
NM_001323246.1,0,0,0,0
NM_001323247.1,22.4013,0,36.6893,15.6706
NM_001323248.1,75997.8,120.131,100887,74304.2
NM_001323250.1,13,10,3542,16
XM_015809912.1,0,0,0,0
XM_015809913.1,0,0,0,0
XM_015809914.1,3,0,456,1
XM_015809915.1,0,0,0,0
XM_015809916.1,0,0,0,0
XM_015809917.1,3,0,1546.16,2
XM_015809918.1,0,0,0,0
XM_015809919.1,0,0,2,2
XM_015809920.2,0,0,0,0
XM_015809923.1,0,1,2,6
XM_015809924.1,0,0,0,0
XM_015809925.1,0,1,0,0
XM_015809926.1,4384,33,3879,10170.1
XM_015809927.1,0,0,0,0
XM_015809929.1,0,0,0,0
XM_015809931.1,0,0,0,0
XM_015809932.1,2,1,2,3729
XM_015809933.1,0,0,0,0
XM_015809934.1,8,16,8715,13503
XM_015809935.1,2,1,4388,2
XM_015809936.1,0,0,0,0
XM_015809937.1,0,1,1.15685,0
XM_015809938.1,94,9,2873,70
XM_015809940.1,0,0,0,0
XM_015809941.1,0,0,0,0
XM_015809942.1,0,0,0,1
XM_015809944.1,0,0,0,0
XM_015809945.1,218,2,1,3
XM_015809947.1,0,0,0,0
XM_015809948.1,0,0,0,0
XM_015809949.1,0,1,212,5
XM_015809950.1,1,4,4174,4
XM_015809951.1,18086.7,15.9996,16695.1,15202.9
XM_015809952.1,2.55E-06,0.000399768,1.58E-05,1.27E-06
XM_015809953.1,7342.13,4.5,3965.96,4059.03
XM_015809954.1,7342.13,4.5,3965.96,4059.03
XM_015809955.2,0,2,1,0
XM_015809956.1,0,0.00554182,0.00179105,5.99E-06
XM_015809957.1,0,0.00554182,0.00179105,5.99E-06
XM_015809958.1,0,2.79619,201.085,2.56546
XM_015809959.1,0,1.19273,40.911,0.434531
XM_015809961.1,3,1,2,1
XM_015809962.2,4,5,14,12121
XM_015809963.1,0,0,1,1
XM_015809964.1,2,2,2,4
