target_id,Pm_1_f,Pm_2_f,Pm_3_m,Pm_4_f
NM_001323246.1,0,0,0,0
NM_001323247.1,2.77171,0,1.69517,0.766763
NM_001323248.1,2981.18,46.1021,1477.15,1147.45
NM_001323250.1,1.00214,7.06629,101.926,0.486552
XM_015809912.1,0,0,0,0
XM_015809913.1,0,0,0,0
XM_015809914.1,0.112004,0,6.35438,0.0146959
XM_015809915.1,0,0,0,0
XM_015809916.1,0,0,0,0
XM_015809917.1,0.0480233,0,9.23746,0.0125877
XM_015809918.1,0,0,0,0
XM_015809919.1,0,0,0.0399867,0.042205
XM_015809920.2,0,0,0,0
XM_015809923.1,0,0.229256,0.0169804,0.0536827
XM_015809924.1,0,0,0,0
XM_015809925.1,0,1.26735,0,0
XM_015809926.1,243.896,17.4522,80.5525,222.936
XM_015809927.1,0,0,0,0
XM_015809929.1,0,0,0,0
XM_015809931.1,0,0,0,0
XM_015809932.1,0.0974764,0.468889,0.0363843,71.5843
XM_015809933.1,0,0,0,0
XM_015809934.1,0.275784,5.44201,112.135,183.201
XM_015809935.1,0.0957896,0.461455,78.4455,0.0377272
XM_015809936.1,0,0,0,0
XM_015809937.1,0,0.571595,0.0261904,0
XM_015809938.1,2.73036,2.60458,31.1469,0.799986
XM_015809940.1,0,0,0,0
XM_015809941.1,0,0,0,0
XM_015809942.1,0,0,0,0.0175737
XM_015809944.1,0,0,0,0
XM_015809945.1,2.76269,0.260236,0.00472975,0.0149452
XM_015809947.1,0,0,0,0
XM_015809948.1,0,0,0,0
XM_015809949.1,0,0.518349,4.3059,0.107193
XM_015809950.1,0.0482804,1.85943,75.2206,0.0760635
XM_015809951.1,1074.33,8.97581,370.165,355.888
XM_015809952.1,1.49E-07,0.000220833,3.44E-07,2.92E-08
XM_015809953.1,1635.09,7.4938,328.663,359.099
XM_015809954.1,1635.09,7.4938,328.663,359.099
XM_015809955.2,0,0.449791,0.00832181,0
XM_015809956.1,0,0.00172164,2.09E-05,7.38E-08
