target_id,colors
NM_001323246.1,turquoise
NM_001323247.1,turquoise
NM_001323248.1,turquoise
NM_001323250.1,turquoise
XM_015809912.1,greenyellow
XM_015809913.1,blue
XM_015809914.1,blue
XM_015809917.1,blue
XM_015809919.1,green
XM_015809925.1,royalblue
XM_015809926.1,turquoise
XM_015809932.1,greenyellow
XM_015809934.1,turquoise
XM_015809935.1,darkgreen
XM_015809938.1,blue
XM_015809945.1,blue
XM_015809947.1,blue
XM_015809948.1,blue
XM_015809949.1,blue
XM_015809950.1,turquoise
XM_015809951.1,turquoise
XM_015809952.1,purple
XM_015809953.1,purple
XM_015809954.1,purple
XM_015809955.2,blue
XM_015809956.1,turquoise
XM_015809957.1,cyan
XM_015809958.1,turquoise
XM_015809959.1,turquoise
XM_015809961.1,lightgreen
XM_015809962.2,turquoise
XM_015809963.1,lightgreen
XM_015809964.1,cyan
XM_015809965.1,blue
XM_015809966.1,blue
XM_015809967.2,darkred
XM_015809968.1,turquoise
XM_015809969.1,blue
XM_015809970.1,turquoise
XM_015809973.1,lightgreen
XM_015809975.1,lightgreen
XM_015809976.1,turquoise
XM_015809977.1,black
XM_015809978.2,darkred
XM_015809980.1,blue
XM_015809983.1,cyan
XM_015809985.1,turquoise
XM_015809986.2,green
XM_015809987.1,turquoise
XM_015809988.1,green
XM_015809989.1,lightgreen
XM_015809991.1,cyan
XM_015809993.1,cyan
XM_015809994.1,lightgreen
XM_015809995.1,greenyellow
XM_015809996.1,cyan
XM_015809997.1,royalblue
XM_015809998.1,royalblue
XM_015810001.1,cyan
XM_015810003.1,blue
XM_015810004.1,turquoise
XM_015810005.1,turquoise
XM_015810006.1,greenyellow
XM_015810007.1,greenyellow
XM_015810008.1,greenyellow
XM_015810009.1,purple
XM_015810010.1,turquoise
XM_015810011.1,lightgreen
XM_015810012.1,blue
XM_015810013.1,blue
XM_015810015.1,salmon
XM_015810016.1,lightgreen
XM_015810017.1,turquoise
XM_015810018.1,turquoise
XM_015810020.1,turquoise
XM_015810021.1,red
XM_015810022.1,turquoise
XM_015810023.1,lightgreen
XM_015810024.1,blue
XM_015810025.1,greenyellow
XM_015810026.1,blue
XM_015810027.2,turquoise
XM_015810028.1,darkgreen
XM_015810029.1,blue
XM_015810030.1,greenyellow
XM_015810031.1,black
XM_015810032.1,black
XM_015810033.1,turquoise
XM_015810034.1,turquoise
XM_015810035.1,darkred
XM_015810036.1,blue
XM_015810037.1,blue
XM_015810038.1,blue
XM_015810039.1,green
XM_015810040.1,turquoise
XM_015810041.1,blue
XM_015810044.2,blue
XM_015810045.1,lightgreen
XM_015810047.1,darkred
XM_015810048.1,purple
