target_id,Pm_1_f,Pm_2_f,Pm_3_m,Pm_4_f,Pm_10,Pm_11,Pm_12,Pm_13,Pm_14,Pm_15,Pm_16,Pm_17,Pm_18,Pm_19,Pm_20,Pm_21,Pm_22,Pm_23,Pm_24,Pm_25,Pm_26,Pm_27,Pm_28,Pm_29,Pm_3,Pm_30,Pm_4,Pm_5,Pm_6,Pm_7,Pm_8,Pm_9
NM_001323246.1,0,0,0,0,0,40.7182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001323247.1,22.4013,0,36.6893,15.6706,0,1.21E-07,36.4225,25.3288,0,72.611,137.647,23.6722,68.3025,30.3342,0,119.845,78.7211,87.7785,235.67,122.316,0,7.28686,57.5278,0,0,0,6.2795,5.53835,24.3805,50.4026,0,28.0401
NM_001323248.1,75997.8,120.131,100887,74304.2,14466.5,651.251,273901,279221,52157,861326,595550,350269,966071,128301,765.517,874326,937452,727051,642955,409174,101308,737805,624866,476.116,398.619,21618.2,173900,360,344380,463740,2758.25,585947
NM_001323250.1,13,10,3542,16,322,277,2760,2733,988,3711,2428,2115,4091,869,107,2401,2525,2611,4536,3512,941,2385,2029,104,417,722,1493,75,2406,2616,197,2578
XM_015809912.1,0,0,0,0,63.4726,87.3455,95.0467,82.3588,0.088584,23.8639,5.99E-05,48.5348,66.7959,35.0516,38.4025,1.22E-05,0,81.3586,110.05,41.6607,117.509,60.3928,17.3025,105.603,42.8632,75.6104,41.3516,36.3687,34.2304,74.3615,2.09E-07,27.8493
XM_015809913.1,0,0,0,0,4,15,3,1,7,1,3,15,3,6,1,2,9,0,3,1,1,5,3,1,13,7,4,7,4,1,6,1
XM_015809914.1,3,0,456,1,259,307,119,36,45,27,43,132,28,200,150,86,67,30,12,15,312,53,31,238,195,401,50,64,80,18,141,21
XM_015809915.1,0,0,0,0,2,2,0,1,0,0,1,3,0,7,3,2,0,0,0,0,2,1,0,2,1,3,6,4,1,0,2,0
XM_015809916.1,0,0,0,0,0,0,2,1,4,2,3,1,1,1,0,0,5,0,2,1,0,1,0,1,3,0,0,2,0,2,1,0
XM_015809917.1,3,0,1546.16,2,985,1360,171,262,355,112,78,534,79,506,391,178,219,169,190,84,573,327,98,590,2071,696,647,271,498.264,125,805,213
XM_015809918.1,0,0,0,0,40,17,7,5,24,6,7,22,8,16,7,6,4,6,6,1,49,6,4,26,115,32,55,11,13,8,37,8
XM_015809919.1,0,0,2,2,210,306,113,83,131,78,154,172,68,116,196,88,130,128,108,75,310,115,149,297,230,237,157,188,174,60,156,128
XM_015809920.2,0,0,0,0,3,3,2,2,0,0,1,1,2,0,2,3,1,0,2,0,1,0,3,2,6,0,0,0,1,3,4,0
XM_015809923.1,0,1,2,6,20,7.15283,11.027,9,13,9,8,4.11664,11.4822,19,7,9,2,4,4,6,22,8,8,14,9.12424,21,26.4295,19.3199,2,17,25.4706,1
XM_015809924.1,0,0,0,0,1,2,0,0,1,3,1,6,1,6,2,0,1,3,0,1,0,3,0,7,3,3,1,1,1,4,4,2
