"hgnc_symbol","hgnc_id","go_name","go_id","go_domain","ncon_gene","ncon_go","global_padj","gene_padj","pval","sim","sem_sim","cilow_global_padj","ciupp_global_padj","cilow_gene_padj","ciupp_gene_padj","cilow_pval","ciupp_pval"
"ACAA1",82,"very long-chain fatty acid metabolic process","GO:0000038","biological process",54,6,0.04859,0.01727,0.006342,0.915,0.008268,0.04588,0.05145,0.01389,0.02147,0.005112,0.007868
"ACAA1",82,"fatty acid beta-oxidation","GO:0006635","biological process",54,9,0.04859,0.01727,0.00807,0.8943,0.002741,0.04588,0.05145,0.01389,0.02147,0.007398,0.008803
"ACTG1",144,"protein localization to bicellular tight junction","GO:1902396","biological process",121,3,0.04859,0.03464,0.005571,0.9256,0.004524,0.04588,0.05145,0.03042,0.03945,0.004988,0.006221
"AP1G1",555,"receptor-mediated endocytosis","GO:0006898","biological process",55,14,0.04859,0.01908,0.006758,0.9092,0.01081,0.04588,0.05145,0.01756,0.02073,0.004967,0.009195
"AP1G1",555,"Golgi to vacuole transport","GO:0006896","biological process",55,8,0.04859,0.01908,0.008237,0.8927,0.007777,0.04588,0.05145,0.01756,0.02073,0.006495,0.01045
"ARCN1",649,"endoplasmic reticulum to Golgi vesicle-mediated transport","GO:0006888","biological process",35,19,0.04859,0.0153,0.005436,0.928,0.004366,0.04588,0.05145,0.01456,0.01607,0.004962,0.005955
"ARCN1",649,"retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum","GO:0006890","biological process",35,11,0.04859,0.0153,0.005605,0.9243,0.002409,0.04588,0.05145,0.01456,0.01607,0.005293,0.005936
"ATF4",786,"HRI-mediated signaling","GO:0140468","biological process",95,2,0.04859,0.02659,0.006749,0.9088,0.00617,0.04588,0.05145,0.02187,0.03232,0.005638,0.008079
"ATF4",786,"regulation of transcription by RNA polymerase II","GO:0006357","biological process",95,88,0.04859,0.02659,0.007384,0.9012,0.003474,0.04588,0.05145,0.02187,0.03232,0.006651,0.008198
"ATF4",786,"positive regulation of transcription, DNA-templated","GO:0045893","biological process",95,63,0.04859,0.02659,0.007924,0.8959,0.001911,0.04588,0.05145,0.02187,0.03232,0.007457,0.008421
"ATP5F1A",823,"ATP synthesis coupled proton transport","GO:0015986","biological process",127,12,0.04859,0.03015,0.007306,0.9023,0.001957,0.04588,0.05145,0.02441,0.03725,0.00691,0.007724
"ATP5F1D",837,"ATP synthesis coupled proton transport","GO:0015986","biological process",28,12,0.04859,0.006753,0.003086,0.9763,0.001742,0.04588,0.05145,0.006474,0.007045,0.002679,0.003554
"ATP5F1D",837,"mitochondrial ATP synthesis coupled proton transport","GO:0042776","biological process",28,11,0.04859,0.006753,0.004421,0.9522,0.005457,0.04588,0.05145,0.006474,0.007045,0.003936,0.004965
"ATP5F1D",837,"aerobic respiration","GO:0009060","biological process",28,17,0.04859,0.006911,0.005184,0.9338,0.004336,0.04588,0.05145,0.006332,0.007544,0.004749,0.005658
"ATP5F1E",838,"mitochondrial ATP synthesis coupled proton transport","GO:0042776","biological process",26,11,0.04859,0.009719,0.005801,0.9249,0.0174,0.04588,0.05145,0.007536,0.01254,0.003787,0.008886
"ATP5MC1",841,"ATP synthesis coupled proton transport","GO:0015986","biological process",33,12,0.04859,0.01059,0.005214,0.9328,0.00405,0.04588,0.05145,0.009998,0.01121,0.004802,0.005662
"ATP5MC2",842,"ATP synthesis coupled proton transport","GO:0015986","biological process",25,12,0.04859,0.006897,0.004141,0.9593,0.003248,0.04588,0.05145,0.005803,0.008197,0.003791,0.004523
"ATP5MC3",843,"ATP synthesis coupled proton transport","GO:0015986","biological process",25,12,0.04859,0.005336,0.004485,0.9509,0.001675,0.04588,0.05145,0.004661,0.006107,0.00434,0.004635
"ATP5ME",846,"mitochondrial ATP synthesis coupled proton transport","GO:0042776","biological process",28,11,0.04859,0.008419,0.005106,0.9351,0.004946,0.04588,0.05145,0.007731,0.009168,0.004632,0.00563
"ATP5PO",850,"ATP synthesis coupled proton transport","GO:0015986","biological process",57,12,0.04859,0.009192,0.005096,0.9353,0.001333,0.04588,0.05145,0.007851,0.01076,0.004986,0.005209
"ATP5PO",850,"mitochondrial ATP synthesis coupled proton transport","GO:0042776","biological process",57,11,0.04859,0.009192,0.005481,0.9283,0.006879,0.04588,0.05145,0.007851,0.01076,0.004656,0.006452
"ATRX",886,"DNA replication-independent nucleosome assembly","GO:0006336","biological process",28,8,0.04859,0.02404,0.005074,0.9356,0.002938,0.04588,0.05145,0.01956,0.02956,0.004789,0.005376
"ATRX",886,"nucleosome assembly","GO:0006334","biological process",28,9,0.04859,0.02404,0.005744,0.9223,0.004536,0.04588,0.05145,0.01956,0.02956,0.005171,0.00638
"ATRX",886,"positive regulation of telomeric RNA transcription from RNA pol II promoter","GO:1901582","biological process",28,3,0.04859,0.02419,0.007609,0.899,0.00699,0.04588,0.05145,0.01945,0.03008,0.006153,0.009411
