"hgnc_symbol","hgnc_id","go_name","go_id","go_domain","ncon_gene","ncon_go","global_padj","gene_padj","pval","sim","sem_sim","cilow_global_padj","ciupp_global_padj","cilow_gene_padj","ciupp_gene_padj","cilow_pval","ciupp_pval"
"ACTG1",144,"cell-cell junction","GO:0005911","cellular component",121,24,0.04859,0.03464,0.006382,0.9145,0.009325,0.04588,0.05145,0.03042,0.03945,0.005014,0.008124
"AP1G1",555,"recycling endosome","GO:0055037","cellular component",55,16,0.04859,0.01908,0.008135,0.894,0.004327,0.04588,0.05145,0.01756,0.02073,0.007133,0.009277
"AP1G1",555,"clathrin-coated vesicle","GO:0030136","cellular component",55,10,0.04859,0.01908,0.008689,0.8883,0.003431,0.04588,0.05145,0.01756,0.02073,0.007819,0.009655
"ALAD",395,"extracellular exosome","GO:0070062","cellular component",65,352,0.04859,0.01346,0.005183,0.9331,0.002031,0.04588,0.05145,0.01172,0.01546,0.004994,0.005379
"ALAD",395,"cytosol","GO:0005829","cellular component",65,393,0.04859,0.01346,0.005197,0.9327,0.001822,0.04588,0.05145,0.01172,0.01546,0.005021,0.005379
"ALAD",395,"nucleus","GO:0005634","cellular component",65,496,0.04859,0.01403,0.007767,0.8974,0.004962,0.04588,0.05145,0.01202,0.01637,0.006701,0.009002
"ALDH2",404,"extracellular exosome","GO:0070062","cellular component",115,352,0.04859,0.0136,0.006798,0.9078,0.004051,0.04588,0.05145,0.01202,0.01537,0.006012,0.007687
"ARCN1",649,"COPI vesicle coat","GO:0030126","cellular component",35,3,0.04859,0.0153,0.004213,0.9583,0.001206,0.04588,0.05145,0.01456,0.01607,0.004104,0.004325
"ATP1A1",799,"extracellular vesicle","GO:1903561","cellular component",89,12,0.04859,0.03519,0.006326,0.9152,0.007882,0.04588,0.05145,0.02795,0.04432,0.005143,0.007782
"ATP5F1A",823,"mitochondrial proton-transporting ATP synthase complex","GO:0005753","cellular component",127,10,0.04859,0.03015,0.00779,0.8972,0.004815,0.04588,0.05145,0.02441,0.03725,0.006754,0.008985
"ATP5F1A",823,"mitochondrial proton-transporting ATP synthase, catalytic core","GO:0005754","cellular component",127,3,0.04859,0.03015,0.007979,0.8952,0.002818,0.04588,0.05145,0.02441,0.03725,0.007287,0.008736
"ATP5F1D",837,"mitochondrial proton-transporting ATP synthase complex","GO:0005753","cellular component",28,10,0.04859,0.006753,0.002445,0.9813,0.001512,0.04588,0.05145,0.006474,0.007045,0.002,0.002989
"ATP5F1D",837,"mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1)","GO:0000275","cellular component",28,4,0.04859,0.006753,0.00428,0.9534,0.007779,0.04588,0.05145,0.006474,0.007045,0.003479,0.005265
"ATP5F1E",838,"mitochondrial inner membrane","GO:0005743","cellular component",26,21,0.04859,0.00889,0.004984,0.9414,0.01717,0.04588,0.05145,0.007339,0.01077,0.003316,0.007491
"ATP5F1E",838,"mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1)","GO:0000275","cellular component",26,4,0.04859,0.00889,0.004857,0.941,0.003288,0.04588,0.05145,0.007339,0.01077,0.004559,0.005175
"ATP5F1E",838,"mitochondrial proton-transporting ATP synthase complex","GO:0005753","cellular component",26,10,0.04859,0.00889,0.005148,0.9339,0.003773,0.04588,0.05145,0.007339,0.01077,0.004785,0.005538
"ATP5MC1",841,"proton-transporting ATP synthase complex, coupling factor F(o)","GO:0045263","cellular component",33,7,0.04859,0.01059,0.005493,0.927,0.004452,0.04588,0.05145,0.009998,0.01121,0.004979,0.006059
