"hgnc_symbol","hgnc_id","go_name","go_id","go_domain","ncon_gene","ncon_go","global_padj","gene_padj","pval","sim","sem_sim","cilow_global_padj","ciupp_global_padj","cilow_gene_padj","ciupp_gene_padj","cilow_pval","ciupp_pval"
"ACAA1",82,"acetate CoA-transferase activity","GO:0008775","molecular function",54,2,0.04859,0.01727,0.005977,0.9189,0.005086,0.04588,0.05145,0.01389,0.02147,0.005267,0.006784
"ACAA1",82,"palmitoyl-CoA oxidase activity","GO:0016401","molecular function",54,3,0.04859,0.01727,0.005948,0.9185,0.002229,0.04588,0.05145,0.01389,0.02147,0.005615,0.0063
"ACTG1",144,"profilin binding","GO:0005522","molecular function",121,2,0.04859,0.03464,0.003037,0.977,0.000718,0.04588,0.05145,0.03042,0.03945,0.002837,0.003252
"ACTG1",144,"structural constituent of postsynaptic actin cytoskeleton","GO:0098973","molecular function",121,3,0.04859,0.03464,0.007325,0.9021,0.003522,0.04588,0.05145,0.03042,0.03945,0.006568,0.008169
"AP1G1",555,"GTP-dependent protein binding","GO:0030742","molecular function",55,2,0.04859,0.01725,0.001069,0.9898,0.001561,0.04588,0.05145,0.01366,0.02176,0.00064,0.001785
"AP1G1",555,"clathrin adaptor activity","GO:0035615","molecular function",55,6,0.04859,0.01908,0.005187,0.9333,0.004909,0.04588,0.05145,0.01756,0.02073,0.004713,0.005709
"ALAD",395,"identical protein binding","GO:0042802","molecular function",65,151,0.04859,0.01346,0.004682,0.9455,0.005347,0.04588,0.05145,0.01172,0.01546,0.004208,0.005209
"ALAD",395,"zinc ion binding","GO:0008270","molecular function",65,28,0.04859,0.01375,0.006752,0.9095,0.01149,0.04588,0.05145,0.0115,0.01645,0.00489,0.009323
"ALDH9A1",412,"aminobutyraldehyde dehydrogenase activity","GO:0019145","molecular function",58,2,0.04859,0.02804,0.004426,0.9492,0.009647,0.04588,0.05145,0.02336,0.03366,0.003483,0.005624
"AMD1",457,"putrescine binding","GO:0019810","molecular function",16,3,0.04859,0.02344,0.008352,0.8916,0.002782,0.04588,0.05145,0.01878,0.02925,0.007669,0.009097
"APRT",626,"adenine binding","GO:0002055","molecular function",40,2,0.04859,0.02283,0.004684,0.9434,0.01113,0.04588,0.05145,0.0171,0.03048,0.003629,0.006045
"ARHGAP6",676,"phospholipase binding","GO:0043274","molecular function",11,6,0.04859,0.01884,0.004044,0.9608,0.004552,0.04588,0.05145,0.01208,0.0294,0.003571,0.004579
