gene_symbol,colors,ens_gene_human,habu_gene_id,habu_target_id,gene_id,SRR41,SRR42,SRR43,SRR44,SRR45,SRR46,SRR47,SRR48,SRR49,SRR50,SRR51,SRR52,SRR53,Pm_3,Pm_4,Pm_6,Pm_7,Pm_8,Pm_9,Pm_10,Pm_11,Pm_12,Pm_14,Pm_16,Pm_17,Pm_18
ACADM,yellow,ENSG00000117054,107285068,XM_015813217.1,34,331,407,309,406,381,269,268,386,398,411,302,393,397,1236,1281,962,212,1617,513,1238,1289,936,699,623,1057,478
ACO2,yellow,ENSG00000100412,107285421,XM_015813604.1,50,610,1079,904,982,1179,1166,1081,683,983,706,1156,1184,791,3630,2771,1217,329,3356,741,2733,2074,1039,3721,855,956,927
ACTA1,yellow,ENSG00000143632,107295108,XM_015824402.1,58,1,7,1,2,3,4,3,3,3,3,3,4,2,41279,194943,28433,90470,200360,4852,223479,129172,74648,205557,58892,24011,67953
ACTN3,yellow,ENSG00000248746,107302624,XM_015831742.1,89,2,1,7,1,2,5,5,0,8,2,4,3,3,887,4500,247,1078,4734,50,1213,1163,571,2091,449,208,538
ACVR2A,yellow,ENSG00000121989,107294303,XM_015823529.1,92,571,437,265,324,371,328,362,597,412,350,424,355,773,1137,961,604,158,1065,365,796,884,557,672,397,721,404
ACVR2B,yellow,ENSG00000114739,107303318,XM_029282958.1,93,394,405,275,320,361,440,480,375,572,330,581,382,515,861,624,382,208,1425,164,448,493,458,815,360,519,254
ACYP2,yellow,ENSG00000170634,107285497,XM_015813690.1,98,241,299,253,232,240,233,209,207,193,205,255,240,204,5,27,7,13,31,3,27,36,27,46,25,13,3
ADARB2,yellow,ENSG00000185736,107283567,XM_029283249.1,105,192,262,150,220,169,205,107,186,135,144,204,234,337,5,15,1,2,14,0,18,7,1,22,5,10,3
ADRA1A,yellow,ENSG00000120907,107295002,XM_015824289.1,148,74,606,363,289,437,251,401,130,202,175,362,333,158,151,120,26,5,154,7,280,172,67,272,68,53,51
ADSL,yellow,ENSG00000239900,107285406,XM_015813587.1,158,398,365,356,282,332,301,376,309,353,229,361,378,303,781,1264,687,388,636,272,1138,1128,553,835,287,489,334
AGA,yellow,ENSG00000038002,107285704,XM_015813929.2,175,244,227,138,247,153,218,195,387,281,179,297,220,333,489,916,287,15,483,63,668,744,254,396,218,432,94
AGL,yellow,ENSG00000162688,107290193,XM_015819055.1,178,630,567,390,596,544,575,420,555,619,642,673,687,814,78,146,55,41,54,12,113,78,41,111,37,35,54
AGTR1,yellow,ENSG00000144891,107284836,XM_015812953.1,185,26,30,48,30,53,31,56,8,41,31,46,48,14,11,7,7,1,11,3,10,9,7,21,2,4,4
AHCY,yellow,ENSG00000101444,107288389,XM_015817006.1,191,462,787,510,575,564,591,604,441,527,351,551,525,439,1119,928,410,340,1021,380,1011,1025,514,1138,406,450,278
AMPD1,yellow,ENSG00000116748,107284051,XM_015812051.1,270,91,19,26,122,39,141,40,89,32,62,82,54,189,33,151,33,13,260,7,189,114,31,155,135,18,109
AMPH,yellow,ENSG00000078053,114922263,XM_029283179.1,273,47,33,15,26,19,24,21,14,22,14,14,19,22,12,11,2,0,4,0,13,2,3,25,1,6,1
ANK2,yellow,ENSG00000145362,107286690,XM_029283988.1,287,628,272,298,165,397,288,395,160,431,248,302,405,491,305,491,424,95,847,262,428,310,350,501,343,380,373
SLC25A4,yellow,ENSG00000151729,107302668,XM_015831796.1,291,295,460,397,430,435,461,361,322,438,470,549,409,361,253,772,155,339,1829,13,1280,693,255,1103,177,75,205
ANXA6,yellow,ENSG00000197043,107294936,XM_015824214.2,309,1254,1045,856,811,977,1013,1025,514,803,719,1008,916,714,3880,5282,1720,730,6114,1632,3349,3536,2102,4268,2087,1994,1556
AQP4,yellow,ENSG00000171885,107290364,XM_015819242.1,361,57,22,29,13,22,29,47,57,14,36,21,21,108,20,248,12,14,230,5,187,56,68,279,31,20,95
ASL,yellow,ENSG00000126522,107287143,XM_015815613.1,435,346,324,318,204,383,269,358,320,293,217,289,302,413,120,390,181,52,2268,32,565,339,281,134,162,127,121
ATP12A,yellow,ENSG00000075673,107286485,XM_015814858.1,479,2,1,0,0,2,0,1,1,0,0,0,0,1,585,354,11,0,761,6,83,87,403,59,141,34,13
ATP2A1,yellow,ENSG00000196296,107282510,XM_015810293.1,487,28,39,29,19,46,41,57,14,46,47,56,35,43,30578,67611,3868,4408,68550,504,20989,19032,8839,52482,12064,1622,21716
BCHE,yellow,ENSG00000114200,107292518,XM_015821615.1,590,1,18,22,6,25,18,28,1,21,16,24,17,2,161,246,111,24,324,42,714,231,108,320,157,129,139
BMPR1B,yellow,ENSG00000138696,107294782,XM_015824043.1,658,52,33,14,20,14,21,20,52,13,11,13,18,59,46,10,5,2,17,3,32,28,5,37,7,10,8
BPGM,yellow,ENSG00000172331,107294354,XM_015823587.1,669,138,146,108,134,124,120,69,149,104,121,134,121,155,56,70,30,54,91,24,125,56,76,96,75,48,42
CACNA1S,yellow,ENSG00000081248,107289042,XM_029284467.1,779,0,1,1,0,3,0,2,0,4,0,1,0,0,776,2667,397,361,3343,52,1455,923,648,2474,393,236,659
CACNB1,yellow,ENSG00000067191,107303060,XM_029287357.1,782,70,27,39,40,40,46,44,34,21,29,39,26,85,45,53,10,8,174,1,31,32,23,67,27,3,26
CACNG1,yellow,ENSG00000108878,107288347,XM_015816961.1,786,3,2,2,1,0,1,4,2,1,0,2,0,6,757,2129,589,593,4241,260,3344,2382,1351,5468,691,729,881
CALM2,yellow,ENSG00000143933,107287851,XM_015816403.2,805,3362,3406,2368,3054,2831,2505,2177,3877,3295,3420,3912,3241,3621,6002,4953,3144,2129,5855,2210,4062,5193,5295,4505,3328,3946,1821
CAMK2B,yellow,ENSG00000058404,107286231,XM_029283886.1,816,14,45,96,17,81,14,112,7,18,9,17,18,9,17,63,11,23,119,3,35,34,25,55,22,3,37
CAPN3,yellow,ENSG00000092529,107295757,XM_015825082.1,825,395,330,293,261,382,397,326,251,248,237,357,218,466,221,2801,377,51,2451,22,1208,986,751,1802,1317,266,542
CAPZA1,yellow,ENSG00000116489,107297290,XM_015826651.1,829,1089,520,478,547,500,559,472,799,557,429,557,644,866,2204,1316,790,236,2236,469,1886,1991,821,1128,612,813,507
CAPZA2,yellow,ENSG00000198898,107285372,XM_015813553.1,830,1042,577,442,625,624,528,423,849,781,640,687,740,942,4810,3512,1855,894,4461,1257,4548,4945,3086,2608,1706,2269,1184
CASQ1,yellow,ENSG00000143318,107298219,XM_015827592.1,844,1,12,1,2,9,5,8,1,4,3,3,5,6,2762,16941,1437,3743,16779,214,8471,5734,3659,15265,2836,826,5500
CCNE1,yellow,ENSG00000105173,107292735,XM_015821850.1,898,32,6,8,14,9,9,10,17,10,7,13,13,15,32,53,29,11,49,13,37,39,10,42,17,26,17
CDH13,yellow,ENSG00000140945,107282644,XM_015810457.1,1012,200,79,83,40,76,48,75,65,56,46,68,63,114,595,771,193,131,1703,79,998,617,146,998,100,281,310
CFL2,yellow,ENSG00000165410,107292954,XM_015822085.1,1073,218,320,170,169,236,171,163,158,208,133,170,181,238,850,2195,538,568,3728,135,3440,2444,2377,5790,546,1055,799
CHGB,yellow,ENSG00000089199,107297365,XM_015826728.2,1114,16,15,17,10,34,15,26,21,30,41,27,41,22,68,224,6,49,691,11,225,106,38,478,50,119,15
CHRNA1,yellow,ENSG00000138435,107287384,XM_015815894.1,1134,16,29,22,27,37,32,35,13,31,24,24,25,16,13,95,7,5,103,5,61,10,39,120,26,38,32
CKM,yellow,ENSG00000104879,107291634,XM_015820653.1,1158,2,7,5,1,4,4,3,0,7,1,2,4,1,19242,128000,8556,51943,122925,1280,69444,64204,23318,135083,16824,10815,25065
CLCN1,yellow,ENSG00000188037,107289972,XM_029284651.1,1180,0,1,0,0,1,0,3,2,1,3,0,0,1,100,320,39,43,400,11,317,149,79,194,78,38,87
COX7A1,yellow,ENSG00000161281,107291980,XM_015821036.1,1346,82,144,184,25,97,55,175,202,160,83,43,60,73,28,16,9,13,55,9,42,22,20,27,4,26,11
COX10,yellow,ENSG00000006695,107289572,XM_015818354.1,1352,365,317,265,307,285,359,400,311,304,247,372,355,365,157,186,87,86,280,46,147,159,101,180,69,72,73
CREM,yellow,ENSG00000095794,107284019,XM_015812015.2,1390,173,131,88,115,126,93,106,103,101,104,120,183,121,52,40,7,12,39,10,56,26,40,59,18,39,15
CSE1L,yellow,ENSG00000124207,107293641,XM_015822797.1,1434,662,557,396,397,458,424,412,466,366,345,465,535,526,1694,1457,723,337,1193,614,903,1410,918,736,470,763,336
DARS1,yellow,ENSG00000115866,107284388,XM_015812434.1,1615,550,546,484,451,472,445,433,534,513,410,603,512,533,1802,1939,1441,816,1796,815,1865,1829,1226,1701,678,1484,773
DES,yellow,ENSG00000175084,107288118,XM_015816702.1,1674,33,3,2,3,13,5,35,3,14,8,10,8,34,424,917,142,139,724,19,402,384,319,388,274,139,289
RCAN1,yellow,ENSG00000159200,107295965,XM_015825300.1,1827,424,292,168,196,441,139,271,208,236,242,203,309,314,814,1006,365,55,1031,118,1246,920,481,911,278,452,239
HBEGF,yellow,ENSG00000113070,107284145,XM_015812159.1,1839,179,110,38,67,113,25,86,132,31,26,34,54,84,289,211,80,45,408,27,288,221,197,328,42,105,50
DUSP3,yellow,ENSG00000108861,107282603,XM_015810407.1,1845,586,526,480,386,616,517,486,570,414,228,334,532,570,32,20,5,12,79,10,26,23,22,38,20,4,19
E2F6,yellow,ENSG00000169016,107294641,XM_015823891.1,1876,126,112,54,63,96,94,90,69,107,86,95,113,125,1009,1274,679,598,925,351,1330,1431,803,1446,531,740,406
EML1,yellow,ENSG00000066629,107291357,XM_015820354.1,2009,328,373,200,121,216,163,222,215,132,145,165,181,250,413,204,139,17,203,44,263,269,85,296,85,174,55
ENO3,yellow,ENSG00000108515,107285047,XM_015813190.2,2027,40,46,25,31,42,53,42,13,48,41,43,47,45,682,5601,620,2436,5374,98,3900,3077,1038,5030,920,355,1647
EYA4,yellow,ENSG00000112319,107286517,XM_015814898.1,2070,12,2,8,9,10,4,8,3,8,4,27,3,8,58,102,35,2,167,4,139,101,36,118,44,47,45
ETFDH,yellow,ENSG00000171503,107286042,XM_015814338.1,2110,369,486,413,447,437,476,373,357,423,479,384,492,425,939,1018,597,137,644,259,1070,771,505,708,376,523,452
FGFR4,yellow,ENSG00000160867,107295676,XM_015824997.1,2264,4,12,11,23,20,15,14,3,12,8,12,13,6,86,70,12,7,73,3,47,37,11,45,5,11,12
FGL1,yellow,ENSG00000104760,107301699,XM_015830891.1,2267,2,0,1,1,2,1,1,2,1,0,0,1,0,27,53,71,17,40,32,138,28,56,83,34,65,40
FHL3,yellow,ENSG00000183386,107283704,XM_015811635.2,2275,101,122,124,63,156,55,103,26,51,46,36,67,60,629,409,59,139,331,46,235,238,73,284,100,67,165
FKBP1B,yellow,ENSG00000119782,107293404,XM_015822554.1,2281,31,9,11,14,14,18,11,18,14,9,9,13,20,175,393,163,180,1792,85,488,458,488,470,196,272,131
SLC37A4,yellow,ENSG00000137700,107284797,XM_015812910.1,2542,111,97,83,131,104,98,145,87,102,81,153,87,172,320,366,147,26,371,18,190,205,60,199,147,80,122
XRCC6,yellow,ENSG00000196419,107285423,XM_015813606.2,2547,1728,1522,1346,1188,1424,1230,1298,1597,1341,1169,1455,1369,1543,1007,652,385,78,646,329,1002,1050,628,737,289,556,331
GAPDH,yellow,ENSG00000111640,107285760,XM_015813997.1,2597,5174,3968,3377,4900,3849,3619,4119,4849,3898,3080,6220,3891,5907,8450,16617,4735,17289,20702,2767,33292,22094,17381,28766,6220,7500,5438
GBE1,yellow,ENSG00000114480,107294857,XM_015824125.1,2632,205,308,235,338,338,425,255,213,358,356,297,372,197,551,409,274,74,382,144,626,562,280,394,192,242,161
GPD2,yellow,ENSG00000115159,107289584,XM_015818367.1,2820,1112,827,603,779,796,812,638,1050,880,818,1042,967,1105,159,282,58,9,157,6,185,145,19,179,34,20,81
GPI,yellow,ENSG00000105220,107284083,XM_015812089.1,2821,1067,2295,2037,1625,2388,1708,2397,765,1552,1104,2049,1879,1205,4041,5821,1957,2407,7685,466,9011,4767,2682,7245,1763,1555,2472
GRB14,yellow,ENSG00000115290,107295143,XM_015824443.1,2888,10,29,9,18,19,22,15,7,28,5,25,21,10,76,23,11,4,117,11,21,43,8,14,4,5,5
GRID1,yellow,ENSG00000182771,107293614,XM_015822769.2,2894,34,8,13,12,36,22,23,6,24,11,11,17,19,4,9,1,3,6,0,15,3,0,8,4,2,3
GRIN2B,yellow,ENSG00000273079,107288989,XM_015817669.1,2904,22,31,12,16,16,18,33,16,33,17,34,25,15,0,2,2,0,5,0,6,1,1,4,4,0,0
GTF2B,yellow,ENSG00000137947,107298199,XM_015827567.1,2959,217,216,178,184,256,143,182,206,186,186,198,198,223,4149,3592,1743,691,2543,1218,2208,3056,2222,1454,1278,1573,970
GYPC,yellow,ENSG00000136732,107289591,XM_015818373.1,2995,141,127,73,71,97,90,104,63,84,78,101,97,115,568,438,202,22,696,137,763,705,262,583,118,340,152
HADHB,yellow,ENSG00000138029,107291032,XM_015819981.1,3032,915,1090,935,1281,1098,1010,971,953,1042,1025,1251,1126,1079,1939,998,753,283,974,392,1310,1381,743,831,387,766,470
HRC,yellow,ENSG00000130528,107282406,XM_015810180.1,3270,8,7,11,6,18,10,8,5,12,6,12,7,11,1870,5609,1895,3898,10113,380,7148,5700,4880,12286,2663,1037,3681
HSPB1,yellow,ENSG00000106211,107294601,XM_015823845.1,3315,734,431,307,278,470,387,438,406,296,154,271,174,456,234,1728,274,1730,2223,94,2502,990,4313,3566,1055,696,983
HSPB2,yellow,ENSG00000170276,107284518,XM_015812587.1,3316,7,11,15,1,13,4,15,0,1,6,13,8,8,254,1124,258,342,1523,27,1593,737,358,1957,517,506,518
IK,yellow,ENSG00000113141,107283664,XM_015811598.1,3550,448,506,452,396,427,462,396,392,362,354,457,389,468,2796,2456,1380,648,2063,1149,1780,2285,1277,1217,853,1686,747
IPP,yellow,ENSG00000197429,107283461,XM_015811378.1,3652,209,214,193,225,201,171,192,183,206,197,215,205,246,93,56,36,10,34,23,79,87,26,58,17,51,10
ITGA7,yellow,ENSG00000135424,107294928,XM_029285743.1,3679,182,274,223,71,323,117,256,41,155,76,106,136,124,174,251,45,60,304,47,184,118,71,238,97,58,84
JUN,yellow,ENSG00000177606,107302456,XM_015831561.2,3725,5533,5018,3755,3271,7927,2629,5420,7922,758,404,2063,1583,5850,5374,2430,1824,182,3883,613,3244,2691,952,3059,499,1313,864
