target_id	length	eff_length	est_counts	tpm
NM_001323246.1	774	581.275	0	0
NM_001323247.1	774	581.275	36.6893	1.69517
NM_001323248.1	2028	1834.29	100887	1477.15
NM_001323250.1	1127	933.294	3542	101.926
XM_015809912.1	1079	885.294	0	0
XM_015809913.1	969	775.333	0	0
XM_015809914.1	2121	1927.29	456	6.35438
XM_015809915.1	1197	1003.29	0	0
XM_015809916.1	4227	4033.29	0	0
XM_015809917.1	4689	4495.29	1546.16	9.23746
XM_015809918.1	5295	5101.29	0	0
XM_015809919.1	1537	1343.29	2	0.0399867
XM_015809920.2	632	441.684	0	0
XM_015809923.1	3357	3163.29	2	0.0169804
XM_015809924.1	1491	1297.29	0	0
XM_015809925.1	653	462.178	0	0
XM_015809926.1	1487	1293.29	3879	80.5525
XM_015809927.1	1104	910.294	0	0
XM_015809929.1	750	557.532	0	0
XM_015809931.1	1020	826.294	0	0
XM_015809932.1	1670	1476.29	2	0.0363843
XM_015809933.1	5436	5242.29	0	0
XM_015809934.1	2281	2087.29	8715	112.135
XM_015809935.1	1696	1502.29	4388	78.4455
XM_015809936.1	4062	3868.29	0	0
XM_015809937.1	1380	1186.29	1.15685	0.0261904
XM_015809938.1	2671	2477.29	2873	31.1469
XM_015809940.1	1860	1666.29	0	0
XM_015809941.1	3282	3088.29	0	0
XM_015809942.1	1806	1612.29	0	0
XM_015809944.1	1194	1000.29	0	0
XM_015809945.1	5872	5678.29	1	0.00472975
XM_015809947.1	789	596.187	0	0
XM_015809948.1	1179	985.294	0	0
XM_015809949.1	1516	1322.29	212	4.3059
XM_015809950.1	1684	1490.29	4174	75.2206
XM_015809951.1	1405	1211.29	16695.1	370.165
XM_015809952.1	1426	1232.29	1.57645e-05	3.43576e-07
XM_015809953.1	510	324.081	3965.96	328.663
XM_015809954.1	510	324.081	3965.96	328.663
XM_015809955.2	3421	3227.29	1	0.00832181
XM_015809956.1	2492	2298.29	0.00179105	2.09295e-05
XM_015809957.1	2492	2298.29	0.00179105	2.09295e-05
XM_015809958.1	2470	2276.29	201.085	2.37251
XM_015809959.1	2473	2279.29	40.911	0.482054
XM_015809961.1	3284	3090.29	2	0.0173815
XM_015809962.2	1751	1557.29	14	0.241443
XM_015809963.1	2080	1886.29	1	0.0142379
