Table 1
ID,Toxin Class,FPKM,% FPKM,peptides,Transcript Length,Peptide Coverage,Peptide Coverage %,NCBI Link,BLAST hit
comp252_c0_seq1,5‘NTase,65.7,0.017%,,,,,BAG82602.1,gi|211926756|dbj|BAG82602.1| ecto-5'-nucleotidase [Gloydius brevicaudus]
comp766_c0_seq1,APA,24.6,0.006%,,,,,BAF63164.1,gi|148367284|dbj|BAF63164.1| aminopeptidase A [Gloydius brevicaudus]
comp6_c0_seq1,BPP/CNP,5852.9,1.541%,,,,,Q90Y12.1,gi|82217207|sp|Q90Y12.1|BNP_CRODU RecName: Full=Bradykinin potentiating and C-type natriuretic peptides; AltName: Full=BPP-CNP; Contains: RecName: Full=Bradykinin-potentiating peptide Cdt1a; Contains: RecName: Full=Bradykinin-potentiating peptide Cdt1b; Contains: RecName: Full=Bradykinin-potentiating peptide Cdt2; Contains: RecName: Full=Bradykinin inhibitor peptide Cdt3; Contains: RecName: Full=C-type natriuretic peptide; Short=CNP; Flags: Precursor >gi|15824634|gb|AAL09426.1|AF308593_1 bradykinin potentiating peptide and C-type natriuretic peptide precursor isoform 1 [Crotalus durissus terrificus]
comp23_c0_seq1,CRISP,2416.6,0.636%,211,265,165,62.3%,ACE73559.1,gi|190195305|gb|ACE73559.1| cysteine-rich seceretory protein Bs-CRP [Bothriechis schlegelii]
comp24_c0_seq2,CTLB1,1246.8,0.328%,248,209,156,74.6%,Q719L9.1,gi|82129809|sp|Q719L9.1|CRC1_CRODU RecName: Full=Crotocetin-1; Short=CRC1; Flags: Precursor >gi|33332305|gb|AAQ11364.1| crotocetin-1 [Crotalus durissus terrificus]
comp24_c0_seq3,CTLB2,405.6,0.107%,17,73,39,53.4%,AEJ31973.1,gi|338855288|gb|AEJ31973.1| C-type lectin 7 [Crotalus adamanteus]
comp24_c0_seq9,CTLB3,125.6,0.033%,4,69,13,18.8%,Q71RP8.1,gi|82129977|sp|Q71RP8.1|STAB3_TRIST RecName: Full=Stejaggregin-A subunit beta-3; Flags: Precursor >gi|33341216|gb|AAQ15169.1|AF354927_1 stejaggregin-A beta chain-3 [Viridovipera stejnegeri]
comp24_c0_seq6,CTLB4,117.2,0.031%,4,89,29,32.6%,Q5FZI5.1,gi|82125513|sp|Q5FZI5.1|TRIMB_TRIMU RecName: Full=Trimecetin subunit beta; Flags: Precursor >gi|58293946|gb|AAW69916.1| trimecetin beta-chain precursor [Protobothrops mucrosquamatus]
comp24_c0_seq7,CTLB5,110.5,0.029%,10,87,47,54.0%,Q71RP8.1,gi|82129977|sp|Q71RP8.1|STAB3_TRIST RecName: Full=Stejaggregin-A subunit beta-3; Flags: Precursor >gi|33341216|gb|AAQ15169.1|AF354927_1 stejaggregin-A beta chain-3 [Viridovipera stejnegeri]
comp24_c0_seq8,CTLB6,78.4,0.021%,14,86,48,55.8%,Q71RP8.1,gi|82129977|sp|Q71RP8.1|STAB3_TRIST RecName: Full=Stejaggregin-A subunit beta-3; Flags: Precursor >gi|33341216|gb|AAQ15169.1|AF354927_1 stejaggregin-A beta chain-3 [Viridovipera stejnegeri]
comp24_c0_seq4,CTLB7,246.2,0.065%,,,,,AEJ31975.1,gi|338855292|gb|AEJ31975.1| C-type lectin 9 [Crotalus adamanteus]
comp24_c0_seq5,CTLB8,363.3,0.096%,,,,,Q71RP8.1,gi|82129977|sp|Q71RP8.1|STAB3_TRIST RecName: Full=Stejaggregin-A subunit beta-3; Flags: Precursor >gi|33341216|gb|AAQ15169.1|AF354927_1 stejaggregin-A beta chain-3 [Viridovipera stejnegeri]
comp305_c0_seq1,DPP IV,60.6,0.016%,,,,,BAD06332.1,gi|40363634|dbj|BAD06332.1| dipeptidylpeptidase 4a [Gloydius brevicaudus]
comp24_c0_seq1,GBL,1310.7,0.345%,154,209,135,64.6%,Q9PSM4.1,"gi|34922643|sp|Q9PSM4.1|LECG_LACST RecName: Full=Galactose-specific lectin; AltName: Full=Mutina >gi|1881829|gb|AAB49518.1| lectin-like protein [Lachesis muta, stenophyrs, venom, Peptide, 135 aa]"
comp157_c0_seq1,HYAL,53.7,0.014%,,,,,ABI33937.1,gi|113203667|gb|ABI33937.1| hyaluronidase [Echis ocellatus]
comp157_c0_seq2,HYAL,60.7,0.016%,,,,,ABI33937.1,gi|113203667|gb|ABI33937.1| hyaluronidase [Echis ocellatus]
comp11_c0_seq1,LAO,7848.2,2.066%,572,538,355,71.3%,Q90W54.1,gi|75570145|sp|Q90W54.1|OXLA_AGKHA RecName: Full=L-amino-acid oxidase; Short=LAAO; Short=LAO; Short=M-LAO; Flags: Precursor >gi|15887054|dbj|BAB69450.1| M-LAO [Gloydius blomhoffi]
comp0_c1_seq2,MP01 P-II,89261.9,23.499%,965,420,265,63.1%,CAA62600.1,gi|995748|emb|CAA62600.1| atrolysin e [Protobothrops mucrosquamatus]
comp0_c1_seq1,MP02 P-III,26113.6,6.875%,608,642,302,51.1%,Q90ZI3.1,gi|82217336|sp|Q90ZI3.1|VMHV1_TRIFL RecName: Full=Zinc metalloproteinase-disintegrin HV1; AltName: Full=Vascular apoptosis-inducing protein; Flags: Precursor >gi|14325767|dbj|BAB60682.1| vascular apoptosis-inducing protein [Trimeresurus flavoviridis]
comp0_c1_seq3,MP03 P-III,22417.9,5.902%,9,321,20,6.2%,P20164.4,gi|52001475|sp|P20164.4|HR1B_TRIFL RecName: Full=Zinc metalloproteinase/disintegrin; Contains: RecName: Full=Hemorrhagic metalloproteinase HR1b; AltName: Full=Trimerelysin I; AltName: Full=Trimerelysin-1; Contains: RecName: Full=Disintegrin-like 1b; Flags
comp17_c0_seq1,MP04 P-II,6854.9,1.805%,32,98,16,16.3%,ADV71356.1,gi|319759242|gb|ADV71356.1| metalloproteinase PMMP-2 [Protobothrops mucrosquamatus]
comp15_c0_seq1,MP05 P-III,6826.3,1.797%,49,141,106,75.2%,AEJ31991.1,gi|338855324|gb|AEJ31991.1| metalloproteinase 8 [Crotalus adamanteus]
comp8_c1_seq1,MP06 P-II,4980.8,1.311%,10,142,35,24.6%,P83912.1,"gi|48427991|sp|P83912.1|VMJEI_TRIJE RecName: Full=Zinc metalloproteinase-disintegrin jerdonitin; Flags: Precursor >gi|60729675|pir||JC8020 metalloproteinase-disintegrin protein, Jerdonitin - Trimeresurus jerdonii >gi|34329647|gb|AAQ63966.1| jerdonitin [Pr"
comp8_c1_seq3,MP07 P-II,1453.5,0.383%,5,109,36,33.0%,P83912.1,"gi|48427991|sp|P83912.1|VMJEI_TRIJE RecName: Full=Zinc metalloproteinase-disintegrin jerdonitin; Flags: Precursor >gi|60729675|pir||JC8020 metalloproteinase-disintegrin protein, Jerdonitin - Trimeresurus jerdonii >gi|34329647|gb|AAQ63966.1| jerdonitin [Pr"
comp367_c0_seq1,MP08 P-II,112.0,0.029%,,,,,P18619.2,gi|31077169|sp|P18619.2|DISF_TRIFL RecName: Full=Zinc metalloproteinase/disintegrin; Contains: RecName: Full=Metalloproteinase; Contains: RecName: Full=Disintegrin flavoridin; Flags: Precursor >gi|21326758|dbj|BAC00515.1| flavoridin precursor [Trimeresurus flavoviridis]
comp22_c0_seq1,MP09 P-II,108.2,0.028%,,,,,P18619.2,gi|31077169|sp|P18619.2|DISF_TRIFL RecName: Full=Zinc metalloproteinase/disintegrin; Contains: RecName: Full=Metalloproteinase; Contains: RecName: Full=Disintegrin flavoridin; Flags: Precursor >gi|21326758|dbj|BAC00515.1| flavoridin precursor [Trimeresurus flavoviridis]
comp383_c0_seq1,MP10 P-II,86.2,0.023%,,,,,P0C6E4.1,gi|182705250|sp|P0C6E4.1|VMJER_TRIJE RecName: Full=Zinc metalloproteinase/disintegrin; Contains: RecName: Full=Metalloproteinase; Contains: RecName: Full=Disintegrin jerdonatin; Flags: Precursor
comp383_c0_seq2,MP11 P-II,33.9,0.009%,,,,,P14530.3,gi|50403719|sp|P14530.3|HR2A_TRIFL RecName: Full=Zinc metalloproteinase/disintegrin; Contains: RecName: Full=Hemorrhagic metalloproteinase HR2a; AltName: Full=Trimerelysin II; Contains: RecName: Full=Disintegrin flavostatin; AltName: Full=Platelet aggregation activation inhibitor; Flags: Precursor >gi|14595995|gb|AAK68850.1| hemorrhagic metalloprotease HR2a and disintegrin flavostatin precursor [Trimeresurus flavoviridis]
comp8_c1_seq2,MP12 P-II,23.6,0.006%,,,,,P83912.1,"gi|48427991|sp|P83912.1|VMJEI_TRIJE RecName: Full=Zinc metalloproteinase-disintegrin jerdonitin; Flags: Precursor >gi|60729675|pir||JC8020 metalloproteinase-disintegrin protein, Jerdonitin - Trimeresurus jerdonii >gi|34329647|gb|AAQ63966.1| jerdonitin [Protobothrops jerdonii]"
comp14_c0_seq1,NGF,4969.0,1.308%,5,300,39,16.2%,BAG16511.1,gi|171854641|dbj|BAG16511.1| nerve growth factor [Trimeresurus flavoviridis]
comp25_c0_seq1,PDE,97.6,0.026%,,,,,AEJ31980.1,gi|338855302|gb|AEJ31980.1| phosphodiesterase 1 [Crotalus adamanteus]
comp25_c0_seq2,PDE,88.9,0.023%,,,,,AEJ31980.1,gi|338855302|gb|AEJ31980.1| phosphodiesterase 1 [Crotalus adamanteus]
comp13_c0_seq1,PLA2-1,5904.5,1.554%,231,151,81,65.9%,P00625.2,gi|26007012|sp|P00625.2|PA21B_TRIOK RecName: Full=Phospholipase A2 PLA2-01; AltName: Full=Phosphatidylcholine 2-acylhydrolase; AltName: Full=Phospholipase A2 isozyme DE-I; Flags: Precursor >gi|1469805|dbj|BAA08383.1| phospholipase A2 [Ovophis okinavensis]
comp149_c0_seq1,PLA2-2,180.0,0.047%,,,,,Q90Y77.1,gi|28212211|sp|Q90Y77.1|PA2Y_TRIFL RecName: Full=Phospholipase A2 isozyme PL-Y; AltName: Full=Phosphatidylcholine 2-acylhydrolase; Flags: Precursor >gi|15799261|dbj|BAB68546.1| phosphlipase A2 isoenzyme PL-Y [Trimeresurus flavoviridis]
comp28_c0_seq1,PLB,1412.2,0.372%,381,569,360,65.1%,AEJ31983.1,gi|338855308|gb|AEJ31983.1| phospholipase B [Crotalus adamanteus]
comp28_c0_seq2,PLB,373.0,0.098%,,,,,AEJ31983.1,gi|338855308|gb|AEJ31983.1| phospholipase B [Crotalus adamanteus]
comp0_c1_seq48,SP01,18483.3,4.866%,106,65,65,100.0%,Q9DF68.1,gi|13959640|sp|Q9DF68.1|VSP1_TRIJE RecName: Full=Venom serine proteinase-like protein; AltName: Full=SP1; Flags: Precursor >gi|9988779|gb|AAG10788.1| serine proteinase 1 precursor [Protobothrops jerdonii]
comp0_c1_seq15,SP02,15739.9,4.144%,206,100,57,57.0%,ABS12074.1,gi|151499825|gb|ABS12074.1| thrombin-like serine protease 1 [Cryptelytrops albolabris]
comp0_c1_seq17,SP03,14844.2,3.908%,171,97,57,58.8%,Q8AY81.1,sp|Q8AY81.1|VSPST_TRIST  RecName: Full=Thrombin-like enzyme stejnobin; Flags: Precursor  stejnobin [Viridovipera stejnegeri]
comp0_c1_seq37,SP04,14555.2,3.832%,64,77,37,48.1%,O13058.1,gi|13959616|sp|O13058.1|VSP3_TRIFL RecName: Full=Venom serine proteinase 3; Flags: Precursor >gi|2114118|dbj|BAA19978.1| serine protease [Trimeresurus flavoviridis]
comp0_c1_seq40,SP05,13887.9,3.656%,48,48,23,47.9%,Q8AY81.1,gi|82242794|sp|Q8AY81.1|VSPST_TRIST RecName: Full=Thrombin-like enzyme stejnobin; Flags: Precursor >gi|24266793|gb|AAN52347.1| stejnobin [Viridovipera stejnegeri]
comp0_c1_seq35,SP06,7433.1,1.957%,46,77,61,79.2%,Q8AY81.1,gi|82242794|sp|Q8AY81.1|VSPST_TRIST RecName: Full=Thrombin-like enzyme stejnobin; Flags: Precursor >gi|24266793|gb|AAN52347.1| stejnobin [Viridovipera stejnegeri]
comp0_c1_seq22,SP07,6898.2,1.816%,127,91,53,58.2%,O13060.1,gi|13959618|sp|O13060.1|VSPA_TRIGA RecName: Full=Venom serine proteinase 2A; Flags: Precursor >gi|2114122|dbj|BAA19980.1| serine protease [Trimeresurus gramineus]
comp0_c1_seq44,SP08,6140.5,1.617%,44,74,37,50.0%,Q8AY80.1,gi|82242793|sp|Q8AY80.1|VSPS1_TRIST RecName: Full=Thrombin-like enzyme stejnefibrase-1; Flags: Precursor >gi|24266796|gb|AAN52348.1| stejnefibrase 1 [Viridovipera stejnegeri]
comp0_c1_seq18,SP09,2033.1,0.535%,71,96,85,88.5%,ADP88561.1,gi|311223826|gb|ADP88561.1| plasminogen activator-like protein precursor [Agkistrodon piscivorus leucostoma]
comp0_c1_seq45,SP09,5536.8,1.458%,71,74,,0.0%,ADP88561.1,gi|311223826|gb|ADP88561.1| plasminogen activator-like protein precursor [Agkistrodon piscivorus leucostoma]
comp0_c1_seq41,SP10,5086.2,1.339%,94,75,27,36.0%,Q91508.1,gi|13959632|sp|Q91508.1|VSP2_TRIMU RecName: Full=Mucrofibrase-2; AltName: Full=Trimubin; Flags: Precursor >gi|602598|emb|CAA58222.1| mucofirase 2 [Protobothrops mucrosquamatus]
comp0_c1_seq14,SP11,3648.3,0.960%,7,102,15,14.7%,ABG26977.1,gi|109254958|gb|ABG26977.1| serine proteinase isoform 11 [Sistrurus catenatus edwardsi]
comp0_c1_seq9,SP12,3608.1,0.950%,15,122,25,20.5%,O13069.1,gi|13959622|sp|O13069.1|VSP2_BOTJA RecName: Full=Kinin-releasing and fibrinogen-clotting serine proteinase 2; AltName: Full=KN-BJ 2; Flags: Precursor >gi|2130946|dbj|BAA20283.1| KN-BJ2 [Bothrops jararaca]
comp0_c1_seq52,SP13,3479.3,0.916%,30,70,35,50.0%,AAC61838.1,gi|3668352|gb|AAC61838.1| salmobin [Gloydius halys]
comp0_c1_seq16,SP14,2899.8,0.763%,94,97,39,40.2%,O13063.1,gi|13959621|sp|O13063.1|VSP3_TRIGA RecName: Full=Venom serine proteinase 3; Flags: Precursor >gi|2114128|dbj|BAA19983.1| serine protease [Trimeresurus gramineus]
comp0_c1_seq23,SP15,1920.8,0.506%,79,90,54,60.0%,O13060.1,gi|13959618|sp|O13060.1|VSPA_TRIGA RecName: Full=Venom serine proteinase 2A; Flags: Precursor >gi|2114122|dbj|BAA19980.1| serine protease [Trimeresurus gramineus]
comp0_c1_seq43,SP16,1397.7,0.368%,23,74,44,59.5%,Q71QH6.1,gi|82239726|sp|Q71QH6.1|VSP13_TRIST RecName: Full=Venom serine protease KN13; Flags: Precursor >gi|33307101|gb|AAQ02911.1| serine protease KN13 precursor [Viridovipera stejnegeri]
comp0_c1_seq31,SP17,1153.8,0.304%,20,82,19,23.2%,Q072L6.1,gi|123883733|sp|Q072L6.1|VSPL_BOTAS RecName: Full=Venom serine proteinase-like; Flags: Precursor >gi|82466483|gb|ABB76280.1| thrombin-like enzyme [Bothrops asper]
comp0_c1_seq53,SP18,1081.9,0.285%,70,69,69,100.0%,Q71QI3.1,gi|82239733|sp|Q71QI3.1|VSP5_TRIST RecName: Full=Venom serine protease CL5; Flags: Precursor >gi|33307080|gb|AAQ02904.1| serine protease CL5 precursor [Viridovipera stejnegeri]
comp0_c1_seq51,SP19,434.8,0.114%,117,71,39,54.9%,O13058.1,gi|13959616|sp|O13058.1|VSP3_TRIFL RecName: Full=Venom serine proteinase 3; Flags: Precursor >gi|2114118|dbj|BAA19978.1| serine protease [Trimeresurus flavoviridis]
comp0_c1_seq10,SP20,15140.8,3.986%,,,,,Q71QI5.1,gi|82239735|sp|Q71QI5.1|VSP03_TRIST RecName: Full=Venom serine protease KN3; Flags: Precursor >gi|33307074|gb|AAQ02902.1| serine protease KN3 precursor [Viridovipera stejnegeri]
comp0_c1_seq26,SP21,16365.9,4.308%,,,,,O13058.1,gi|13959616|sp|O13058.1|VSP3_TRIFL RecName: Full=Venom serine proteinase 3; Flags: Precursor >gi|2114118|dbj|BAA19978.1| serine protease [Trimeresurus flavoviridis]
comp0_c1_seq12,SP22,8312.9,2.188%,,,,,O13058.1,gi|13959616|sp|O13058.1|VSP3_TRIFL RecName: Full=Venom serine proteinase 3; Flags: Precursor >gi|2114118|dbj|BAA19978.1| serine protease [Trimeresurus flavoviridis]
comp0_c1_seq27,SP23,10579.3,2.785%,,,,,ABS12074.1,gi|151499825|gb|ABS12074.1| thrombin-like serine protease 1 [Cryptelytrops albolabris]
comp0_c1_seq29,SP24,4967.5,1.308%,,,,,Q71QI1.1,gi|82239731|sp|Q71QI1.1|VSP12_TRIST RecName: Full=Venom serine protease KN12; Flags: Precursor >gi|33307086|gb|AAQ02906.1| serine protease KN12 precursor [Viridovipera stejnegeri]
comp0_c1_seq54,SP25,1774.5,0.467%,,,,,AEJ32003.1,gi|338855348|gb|AEJ32003.1| serine proteinase 9 [Crotalus adamanteus]
comp74_c0_seq1,VEGF1,46.8,0.012%,,,,,P67860.1,gi|54036551|sp|P67860.1|VEGFA_TRIFL RecName: Full=Vascular endothelial growth factor A; Short=VEGF-A; AltName: Full=Vascular permeability factor; Short=VPF; Flags: Precursor >gi|51555824|dbj|BAD38847.1| vascular endothelial growth factor 190 isoform precursor [Trimeresurus flavoviridis] >gi|223711925|gb|ACN22044.1| vascular endothelial growth factor A190 isoform precursor [Trimeresurus flavoviridis]
comp74_c0_seq2,VEGF2,58.7,0.015%,,,,,C0K3N4.1,gi|327488517|sp|C0K3N4.1|VEGFA_AGKPI RecName: Full=Vascular endothelial growth factor A; Flags: Precursor >gi|223711919|gb|ACN22041.1| vascular endothelial growth factor A166 isoform precursor [Agkistrodon piscivorus piscivorus]
comp74_c0_seq3,VEGF3,46.3,0.012%,,,,,BAD38846.1,gi|51555822|dbj|BAD38846.1| vascular endothelial growth factor 122 isoform precursor [Trimeresurus flavoviridis]
comp74_c0_seq4,VEGF4,40.1,0.011%,,,,,P67860.1,gi|54036551|sp|P67860.1|VEGFA_TRIFL RecName: Full=Vascular endothelial growth factor A; Short=VEGF-A; AltName: Full=Vascular permeability factor; Short=VPF; Flags: Precursor >gi|51555824|dbj|BAD38847.1| vascular endothelial growth factor 190 isoform precursor [Trimeresurus flavoviridis] >gi|223711925|gb|ACN22044.1| vascular endothelial growth factor A190 isoform precursor [Trimeresurus flavoviridis]
comp74_c0_seq5,VEGF5,71.3,0.019%,,,,,C0K3N4.1,gi|327488517|sp|C0K3N4.1|VEGFA_AGKPI RecName: Full=Vascular endothelial growth factor A; Flags: Precursor >gi|223711919|gb|ACN22041.1| vascular endothelial growth factor A166 isoform precursor [Agkistrodon piscivorus piscivorus]
comp184_c0_seq1,VEGF6,84.8,0.022%,49,146,58,47.9%,P67862.1,gi|54036443|sp|P67862.1|TXVE_TRIFL RecName: Full=Snake venom vascular endothelial growth factor toxin; Short=svVEGF; AltName: Full=Vascular endothelial growth factor F; Flags: Precursor >gi|51555818|dbj|BAD38844.1| snake venom vascular endothelial growth 
comp10051_c0_seq1,,2.5,,32,234,,,,gi|327265964|ref|XP_003217777.1| PREDICTED: LOW QUALITY PROTEIN: transmembrane protein adipocyte-associated 1 homolog [Anolis carolinensis]
comp1036_c0_seq1,,14.8,,5,20,,,,NA
comp1058_c0_seq1,,17.8,,4,268,,,,gi|71897167|ref|NP_001026578.1| proteasome subunit alpha type-5 [Gallus gallus] >gi|311771753|ref|NP_001185745.1| putative proteasome alpha 5 subunit [Taeniopygia guttata] >gi|53133117|emb|CAG31964.1| hypothetical protein RCJMB04_14i9 [Gallus gallus]
comp10877_c0_seq1,,2.2,,6,109,,,,NA
comp1186_c0_seq1,,6.3,,12,470,,,,gi|327267572|ref|XP_003218573.1| PREDICTED: programmed cell death protein 4-like isoform 1 [Anolis carolinensis]
comp1195_c0_seq1,,8.1,,4,22,,,,NA
comp1202_c0_seq1,,12.8,,41,654,,,,gi|327275471|ref|XP_003222497.1| PREDICTED: nuclear receptor subfamily 1 group D member 1-like [Anolis carolinensis]
comp12202_c0_seq1,,2.2,,32,23,,,,NA
comp1222_c0_seq1,,8.6,,28,41,,,,NA
comp12269_c0_seq1,,1.7,,5,81,,,,NA
comp12324_c0_seq1,,2,,4,20,,,,NA
comp1287_c0_seq1,,4.7,,16,43,,,,NA
comp12870_c0_seq1,,1.6,,7,28,,,,NA
comp13129_c0_seq1,,2.6,,7,90,,,,NA
comp1341_c0_seq1,,14.8,,16,44,,,,NA
comp1361_c0_seq1,,3,,12,38,,,,NA
comp13994_c0_seq1,,2.4,,7,54,,,,NA
comp14195_c0_seq1,,2.1,,13,22,,,,NA
comp14481_c0_seq1,,1.9,,5,30,,,,NA
comp1492_c0_seq9,,2.3,,6,88,,,,NA
comp15048_c0_seq1,,2.2,,6,44,,,,NA
comp1534_c0_seq1,,7,,25,682,,,,gi|327265815|ref|XP_003217703.1| PREDICTED: protein kinase C delta type-like [Anolis carolinensis]
