gene_symbol,colors,ens_gene_human,habu_gene_id,habu_target_id,gene_id,SRR41,SRR42,SRR43,SRR44,SRR45,SRR46,SRR47,SRR48,SRR49,SRR50,SRR51,SRR52,SRR53,Pm_3,Pm_4,Pm_6,Pm_7,Pm_8,Pm_9,Pm_10,Pm_11,Pm_12,Pm_14,Pm_16,Pm_17,Pm_18
ACAA1,blue,ENSG00000060971,107284371,XM_015812417.1,30,251,378,404,402,384,527,373,266,399,282,430,393,422,122,85,38,56,115,48,73,51,50,113,100,53,94
ACADSB,magenta,ENSG00000196177,107285940,XM_015814217.1,36,559,727,564,640,733,580,699,476,491,584,712,659,861,225,320,163,23,154,133,82,128,335,114,142,142,181
ACAT1,cyan,ENSG00000075239,107284898,XM_015813026.1,38,717,1226,941,1055,963,844,747,867,929,930,1206,1201,1121,1310,1414,1135,928,1122,1226,906,1117,1481,950,586,1021,641
ADCY2,darkgrey,ENSG00000078295,107297625,XM_029286396.1,108,197,206,155,136,187,189,241,247,181,168,186,194,309,47,60,41,16,41,71,108,28,42,51,36,77,14
ADCY8,cyan,ENSG00000155897,107289979,XM_015818810.1,114,21,0,1,418,1,74,1,4,124,151,136,120,11,9,746,483,446,13,668,25,37,337,166,176,399,208
ADK,turquoise,ENSG00000156110,107287902,XM_015816460.1,132,251,194,140,184,209,209,164,209,198,208,188,212,239,1603,2177,1263,1999,1224,1218,752,1047,1028,924,736,1105,1212
ADM,turquoise,ENSG00000148926,107293505,XM_015822658.2,133,47,96,102,73,126,55,44,50,76,47,54,67,36,297,54,76,98,124,119,152,93,83,100,71,81,61
PARP1,cyan,ENSG00000143799,107291208,XM_015820180.1,142,733,675,589,525,582,786,523,691,699,454,603,614,772,852,416,356,235,403,394,579,607,336,425,230,373,240
ADRA2B,cyan,ENSG00000274286,107283459,XM_015811380.1,151,28,34,17,17,29,18,19,16,29,24,17,15,33,11,8,7,6,7,14,10,7,14,3,4,18,9
GRK2,turquoise,ENSG00000173020,107296663,XM_015826009.1,156,885,749,601,530,738,829,693,551,577,504,721,592,1058,67,174,84,88,27,63,60,58,62,63,40,82,116
TLE5,blue,ENSG00000104964,107295325,XM_015824636.1,166,2555,3733,2811,2911,3825,2666,3120,2341,2059,1914,3321,2863,3299,1,0,1,3,1,1,2,1,0,3,0,2,0
APLNR,greenyellow,ENSG00000134817,107289073,XM_015817761.1,187,237,23,21,10,42,14,50,17,20,15,13,31,44,27,12,3,0,7,10,5,6,6,4,22,4,39
ALAD,tan,ENSG00000148218,107302537,XM_015831651.1,210,540,1811,2014,1634,1792,1507,1985,378,1407,962,2231,1427,680,140,74,51,123,71,73,90,136,72,47,51,120,61
ABCD1,magenta,ENSG00000101986,107286704,XM_015815109.1,215,111,124,85,82,184,93,126,47,68,49,112,98,93,66,85,57,12,26,12,23,25,24,31,50,26,49
ALDH9A1,turquoise,ENSG00000143149,107301157,XM_015830420.2,223,1490,1652,1404,1492,1247,1239,1146,2065,1562,1315,1383,1254,2159,2030,1437,869,909,1290,837,1648,1691,1012,995,661,940,636
AMD1,magenta,ENSG00000123505,107287167,XM_015815639.1,262,1275,1123,792,591,1213,799,899,985,838,654,788,993,1201,1719,26236,44732,46856,2914,74965,2572,2328,58695,13341,45364,33413,50684
AMFR,turquoise,ENSG00000159461,107296064,XM_015825406.1,267,1079,1069,923,942,1167,941,958,956,900,768,1099,938,1148,56,57,12,41,17,31,14,16,13,11,20,11,12
AMT,magenta,ENSG00000145020,107288677,XM_015817316.1,275,68,119,153,121,102,191,157,74,188,114,193,130,112,362,412,211,79,162,163,263,249,185,259,245,228,249
ANK2,yellow,ENSG00000145362,107286690,XM_029283988.1,287,628,272,298,165,397,288,395,160,431,248,302,405,491,305,491,424,95,847,262,428,310,350,501,343,380,373
ANK3,turquoise,ENSG00000151150,107290664,XM_029284794.1,288,3362,2431,1689,2193,2040,2470,1599,3395,2370,1740,2459,2185,3900,4137,4054,2832,3284,3337,1475,2514,1660,1321,2820,1865,1845,2040
APBB1,turquoise,ENSG00000166313,107288665,XM_029284404.1,322,109,206,178,179,167,246,151,110,180,128,172,170,159,6,6,5,30,3,0,7,4,0,2,5,7,6
APC,cyan,ENSG00000134982,107293244,XM_015822388.1,324,923,699,521,514,602,553,572,744,511,457,586,655,997,1213,1154,1086,623,1100,1466,899,1087,1163,641,800,1138,610
APLP1,black,ENSG00000105290,107288349,XM_029284334.1,333,16,44,18,12,31,15,29,14,19,15,14,19,21,10,5,2,2,7,2,10,14,6,2,5,3,1
AQP2,purple,ENSG00000167580,107292786,XM_015821908.1,359,22,29,6,12,16,23,21,11,23,32,42,19,37,1,0,0,0,1,1,3,4,0,2,0,0,0
ARF1,turquoise,ENSG00000143761,107285995,XM_015814280.1,375,2311,3258,2432,2346,2717,2689,2354,2760,2399,1542,2465,2299,2923,77,69,66,83,71,75,14,45,139,57,61,26,84
ARG2,magenta,ENSG00000081181,107285839,XM_015814099.2,384,328,157,123,146,190,170,103,351,82,84,72,273,295,960,2328,1230,314,107,784,209,353,1505,184,1000,461,626
ARSA,brown,ENSG00000100299,107298546,XM_015827923.1,410,674,561,226,630,662,588,580,526,539,424,688,614,781,8,2,0,2,2,3,1,2,0,1,4,1,3
ASPA,green,ENSG00000108381,107296942,XM_015826298.1,443,390,334,284,288,376,352,337,308,307,250,291,347,422,1,1,1,1,2,0,3,4,2,1,0,0,0
ASS1,black,ENSG00000130707,107291346,XM_015820339.1,445,715,949,782,477,757,720,515,744,632,298,402,420,1077,1,2,0,0,0,0,3,0,0,0,0,0,1
ATF4,cyan,ENSG00000128272,107288132,XM_015816716.1,468,1817,3357,2973,2496,3308,2661,2994,2173,1772,1550,2473,2020,2096,3952,6641,4873,6031,2088,6393,3141,3317,7927,3177,3541,4624,3645
ALDH7A1,blue,ENSG00000164904,107283290,XM_015811169.1,501,675,1072,1148,740,1016,922,920,505,661,800,832,767,695,1153,946,747,570,964,644,1238,1094,568,801,502,652,400
ATP5F1B,turquoise,ENSG00000110955,107290974,XM_015819922.1,506,2334,2524,2469,3018,2637,2825,2340,2540,3075,2639,3950,3220,2782,5395,2998,2261,1751,2613,1620,3292,4025,2165,2605,1967,2175,1835
ATP6V0C,cyan,ENSG00000185883,107292229,XM_015821302.1,527,144,210,147,160,273,319,176,107,129,52,195,149,170,336,180,162,249,144,392,117,101,268,114,145,205,146
ATP7B,tan,ENSG00000123191,107297074,XM_029286214.1,540,720,913,1136,2273,967,1070,947,914,1292,1146,1293,1425,953,0,4,3,1,1,0,12,3,0,1,2,0,0
AUH,tan,ENSG00000148090,107297055,XM_015826413.1,549,272,342,302,539,336,367,272,310,412,446,466,397,332,423,338,240,120,247,222,389,408,333,232,210,249,197
BAD,blue,ENSG00000002330,107299065,XM_015828431.1,572,234,273,234,231,271,233,278,257,206,221,283,213,280,41,0,0,0,0,4,34,26,11,20,6,0,17
BARD1,midnightblue,ENSG00000138376,107296717,XM_015826070.1,580,150,265,85,78,100,72,137,81,115,93,104,151,169,442,232,272,126,190,151,392,370,208,299,205,206,143
BCAT1,brown,ENSG00000060982,107297797,XM_029286390.1,586,1105,327,140,146,262,217,168,593,256,115,233,192,420,3,8,5,13,4,6,4,2,10,4,9,5,2
BCAT2,magenta,ENSG00000105552,107282485,XM_015810263.1,587,179,270,230,197,287,214,255,246,221,131,235,198,295,488,1578,1857,242,417,950,309,419,1238,1359,2728,758,4038
BCKDHA,blue,ENSG00000248098,107295271,XM_015824580.2,593,239,353,328,277,380,285,421,232,276,210,379,266,263,11,21,8,6,2,3,2,1,6,5,4,7,7
BCKDHB,brown,ENSG00000083123,107288223,XM_015816810.1,594,715,569,442,528,440,507,463,905,626,386,671,486,1263,213,158,398,97,90,117,155,293,164,97,145,215,166
BCL3,white,ENSG00000069399,107298037,XM_029286436.1,602,90,124,45,58,247,91,94,54,516,23,47,96,86,3,1,2,3,1,2,2,0,1,1,0,0,0
BLMH,turquoise,ENSG00000108578,107298999,XM_015828364.1,642,250,261,260,250,267,244,275,209,282,202,272,178,234,15,14,17,59,11,16,13,16,22,13,16,17,14
BLVRB,turquoise,ENSG00000090013,107285666,XM_015813886.1,645,207,338,296,261,277,201,279,244,225,210,232,243,274,1601,1880,909,934,1152,500,832,1287,662,659,648,507,694
BMPR1A,blue,ENSG00000107779,107295501,XM_015824820.1,657,1139,1334,928,1242,1204,1139,903,990,917,976,1350,1049,1326,12,5,14,8,17,20,9,19,8,4,2,13,4
BPGM,yellow,ENSG00000172331,107294354,XM_015823587.1,669,138,146,108,134,124,120,69,149,104,121,134,121,155,56,70,30,54,91,24,125,56,76,96,75,48,42
BRAF,blue,ENSG00000157764,107288626,XM_015817269.1,673,1048,1223,916,1045,1167,1089,969,892,933,926,1056,1072,1285,14,15,15,14,15,10,15,16,19,10,14,21,6
BTC,darkgreen,ENSG00000174808,107302420,XM_015831524.1,685,97,82,58,102,52,73,57,98,86,92,89,73,155,17,5,7,11,17,5,10,5,11,16,14,16,2
