Gene ID,Gene name,Gene type,Transcripts,Query
107283243,polysaccharide biosynthesis domain containing 1,protein-coding,XM_015811115.1,XM_015811115.1
107283973,RNA polymerase III subunit K,protein-coding,XM_015811963.1,XM_015811963.1
107285029,chromosome unknown C17orf49 homolog,protein-coding,XM_015813170.1,XM_015813170.1
107285360,uncharacterized LOC107285360,ncRNA,XR_001548830.1,XR_001548830.1
107285658,DExH-box helicase 34,protein-coding,XM_015813872.1,XM_015813872.1
107286321,TraB domain containing,protein-coding,"XM_015814670.1,XM_015814671.1",XM_015814671.1
107286345,DEK proto-oncogene,protein-coding,"XM_015814697.1,XM_015814699.1,XM_029283908.1,XM_029283909.1",XM_029283908.1
107286482,"oligosaccharyltransferase complex subunit 4, non-catalytic",protein-coding,XM_015814857.1,XM_015814857.1
107286824,ubiquitin-conjugating enzyme E2 E3-like,protein-coding,XM_015815255.1,XM_015815255.1
107287493,uncharacterized LOC107287493,ncRNA,XR_001548871.1,XR_001548871.1
107287643,uncharacterized LOC107287643,ncRNA,XR_001548878.1,XR_001548878.1
107287911,uncharacterized LOC107287911,ncRNA,XR_001548885.1,XR_001548885.1
107288202,dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 4-like,protein-coding,XM_015816788.1,XM_015816788.1
107289215,inosine monophosphate dehydrogenase 1,protein-coding,XM_015817921.2,XM_015817921.2
107289779,DIS3 like exosome 3'-5' exoribonuclease,protein-coding,"XM_015818587.1,XM_029284617.1",XM_015818587.1
107291824,"succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial-like",protein-coding,XM_015820857.1,XM_015820857.1
107292331,uncharacterized LOC107292331,ncRNA,XR_001548995.1,XR_001548995.1
107292350,catenin beta interacting protein 1,protein-coding,XM_015821431.1,XM_015821431.1
107292403,UBX domain-containing protein 1-like,protein-coding,XM_015821489.1,XM_015821489.1
107292725,tRNA splicing endonuclease subunit 54,protein-coding,"XM_015821834.1,XM_015821836.1",XM_015821836.1
107293038,uncharacterized LOC107293038,ncRNA,XR_001549011.1,XR_001549011.1
107293059,GTPase IMAP family member 5-like,protein-coding,XM_029285307.1,XM_029285307.1
107293100,neural retina leucine zipper,protein-coding,XM_029285314.1,XM_029285314.1
