Gene ID,Gene name,short,Gene type,Transcripts,Query
107298300,zinc metalloproteinase/disintegrin-like,SVMP,protein-coding,XM_015827673.2,107298300
107300928,zinc metalloproteinase/disintegrin-like,SVMP,protein-coding,XM_015830209.2,107300928
107287552,beta-fibrinogenase mucrofibrase-3,b-fibro,protein-coding,"NM_001323246.1,XM_015816073.1",107287552
107298299,zinc metalloproteinase/disintegrin,SVMP,protein-coding,"NM_001323248.1,XM_029286489.1",107298299
107287553,snake venom serine protease serpentokallikrein-2,SVSP,protein-coding,"NM_001323247.1,XM_015816074.1",107287553
107289616,L-amino-acid oxidase,LAAO,protein-coding,"XM_015818406.2,XM_015818407.1",107289616
107291352,basic phospholipase A2 homolog G6K49,PLA2,protein-coding,XM_015820345.2,107291352
107298297,zinc metalloproteinase/disintegrin-like,SVMP,protein-coding,,107298297
107301955,zinc metalloproteinase/disintegrin-like,SVMP,protein-coding,XM_015831099.1,107301955
107287546,snake venom serine protease 3,SVSP,protein-coding,XM_015816069.1,107287546
107287549,snaclec trimecetin subunit beta-like,CTL,protein-coding,XM_015816075.1,107287549
107298282,zinc metalloproteinase-disintegrin-like HV1,SVMP,protein-coding,XM_029286487.1,107298282
107287557,transmembrane protease serine 9,trans-SP,protein-coding,XM_015816078.1,107287557
107291353,basic phospholipase A2 trimucrotoxin-like,PLA2,protein-coding,XM_015820346.1,107291353
107298193,zinc metalloproteinase-disintegrin-like HR1b,SVMP,protein-coding,XM_015827561.1,107298193
107298284,zinc metalloproteinase-disintegrin-like batroxstatin-3,SVMP,protein-coding,XM_015827658.1,107298284
107297785,zinc metalloproteinase-disintegrin-like VMP-III,SVMP,protein-coding,XM_015827145.1,107297785
107287547,snake venom serine protease,SVSP,protein-coding,XM_015816070.1,107287547
107287548,snake venom serine proteinase 11,SVP,protein-coding,XM_015816071.2,107287548
107293726,cysteine-rich venom protein-like,CRISP,protein-coding,XM_015822888.1,107293726
107291355,acidic phospholipase A2 1-like,PLA2,protein-coding,XM_015820349.1,107291355
107291631,snake venom vascular endothelial growth factor toxin-like,VEGF,protein-coding,XM_015820651.2,107291631
107287539,snaclec mucetin subunit alpha-like,CTL,protein-coding,XM_015816064.1,107287539
107296982,zinc metalloproteinase-disintegrin-like atrolysin-A,SVMP,protein-coding,XM_029286186.1,107296982
107296979,zinc metalloproteinase-disintegrin jerdonitin,SVMP,protein-coding,XM_015826335.1,107296979
107284752,5'-nucleotidase ecto,Nuc,protein-coding,XM_015812864.1,107284752
107296050,bradykinin-potentiating and C-type natriuretic peptides,BPP,protein-coding,XM_015825393.2,107296050
107298285,zinc metalloproteinase-disintegrin-like ACLD,SVMP,protein-coding,XM_015827659.2,107298285
107302977,phospholipase B domain containing 1,PLB,protein-coding,XM_015832149.2,107302977
107287561,snaclec coagulation factor IX/factor X-binding protein subunit A,CTL,protein-coding,XM_015816085.1,107287561
107301047,zinc metalloproteinase/disintegrin-like HR1a,SVMP,protein-coding,XM_015830316.1,107301047
107287555,snake venom serine protease 3,SVSP,protein-coding,XM_015816076.2,107287555
107301924,snaclec stejaggregin-A subunit alpha,CTL,protein-coding,XM_015831079.1,1.07301E+17
107298829,zinc metalloproteinase/disintegrin-like HR1a,SVMP,protein-coding,XM_015828193.1,107298829
107300527,snaclec mucetin subunit beta,CTL,protein-coding,XM_015829849.1,107300527
107292853,L-amino-acid oxidase-like,LAAO,protein-coding,XM_015821979.1,107292853
107299988,snaclec rhodocetin subunit delta,CTL,protein-coding,XM_015829333.1,107299988
107300405,snaclec mucetin subunit beta-like,CTL,protein-coding,XM_015829738.2,107300405
107291356,acidic phospholipase A2 jerdoxin,PLA2,protein-coding,XM_015820350.1,107291356
107287550,snake venom serine proteinase 11-like,SVSP,protein-coding,XM_015816072.2,107287550
107298194,disintegrin-like leberagin-C,dis,protein-coding,XM_015827562.1,107298194
107287935,glutaminyl-peptide cyclotransferase,gpc,protein-coding,NM_001323250.1,107287935
107302067,C-type lectin TsL,CTL,protein-coding,XM_015831189.1,107302067
107294934,glutathione peroxidase 3,glu_per,protein-coding,XM_015824209.2,107294934
107297598,glutamyl aminopeptidase,glu_am,protein-coding,XM_015826959.1,107297598
107284057,nerve growth factor,NGF,protein-coding,XM_015812063.1,107284057
107300812,snaclec jerdonibitin subunit alpha,CTL,protein-coding,XM_015830102.1,107300812
107293142,hyaluronidase,Hyaluronidase,protein-coding,"XM_015822281.1,XM_015822287.1",107293142
107285431,prosaposin,prosposin,protein-coding,XM_015813615.2,107285431
107295507,GM2 ganglioside activator,gm2,protein-coding,XM_015824827.1,107295507
107283923,"alanyl aminopeptidase, membrane",ala_amino,protein-coding,XM_015811902.1,107283923
107282775,carboxypeptidase vitellogenic like,vitello,protein-coding,"XM_015810599.1,XM_015810600.1",107282775
107285126,"deoxyribonuclease 2, lysosomal",nuclease,protein-coding,"XM_015813279.2,XM_029283605.1",107285126
107293377,phospholipase A2 inhibitor 1,PLA2i,protein-coding,XM_015822528.1,107293377
