target_id	length	eff_length	est_counts	tpm
comp25388_c0_seq1	427	251.95	7	0.698711
comp25841_c0_seq1	284	109.082	4	0.922194
comp24711_c0_seq1	299	124.071	6	1.21618
comp25566_c0_seq1	201	32.3892	2	1.5529
comp25515_c0_seq1	253	78.1097	5	1.60983
comp25594_c0_seq1	322	147.071	4	0.683988
comp25876_c0_seq1	207	35.2496	5	3.56722
comp24479_c0_seq1	285	110.082	4	0.913817
comp25596_c0_seq1	266	91.1012	5	1.38026
comp25879_c0_seq1	264	89.1012	4	1.12899
comp25203_c0_seq1	277	102.082	5	1.23179
comp25632_c0_seq1	954	778.689	13	0.41985
comp24013_c0_seq1	390	214.972	5	0.584927
comp24570_c0_seq1	438	262.95	7	0.669482
comp25433_c0_seq1	393	217.972	7	0.807628
comp25051_c0_seq1	214	40.2337	4	2.50026
comp24053_c0_seq1	285	110.082	3	0.685363
comp24249_c0_seq1	357	181.972	5	0.691002
comp25040_c0_seq1	643	467.74	12	0.645195
comp24077_c0_seq1	281	106.082	5	1.18534
comp25653_c0_seq1	249	74.1097	3	1.01803
comp25952_c0_seq1	208	35.8899	4	2.80287
comp24574_c0_seq1	502	326.89	7	0.538531
comp25956_c0_seq1	427	251.95	7	0.698711
comp25770_c0_seq1	462	286.922	7	0.613548
comp24080_c0_seq1	276	101.082	4	0.99518
comp24238_c0_seq1	750	574.689	10	0.437604
comp25790_c0_seq1	238	63.1359	4	1.5933
comp24645_c0_seq1	203	33.1501	3	2.27589
comp25471_c0_seq1	323	148.056	4	0.679436
comp25096_c0_seq1	291	116.071	3	0.65
comp24310_c0_seq1	452	276.95	7	0.635639
comp25004_c0_seq1	403	227.95	7	0.772275
comp24517_c0_seq1	272	97.0915	6	1.55412
comp25629_c0_seq1	277	102.082	4	0.985432
comp25185_c0_seq1	213	39.4241	4	2.5516
comp24264_c0_seq1	276	101.082	5	1.24398
comp25957_c0_seq1	234	59.1418	4	1.7009
comp25479_c0_seq1	351	176.008	4	0.571535
comp25285_c0_seq1	345	170.008	5	0.739632
comp24394_c0_seq1	231	56.1475	3	1.34371
comp24862_c0_seq1	245	70.1097	5	1.79352
comp24106_c0_seq1	293	118.071	4	0.851986
comp24152_c0_seq1	201	32.3892	2	1.5529
comp25262_c0_seq1	497	321.89	7	0.546896
comp24576_c0_seq1	452	276.95	7	0.635639
comp24447_c0_seq1	244	69.1097	5	1.81947
comp24438_c0_seq1	344	169.008	6	0.89281
comp25363_c0_seq1	276	101.082	5	1.24398
comp25711_c0_seq1	246	71.1097	4	1.41464
comp24104_c0_seq1	223	48.3554	3	1.56024
comp25247_c0_seq1	227	52.1964	3	1.44542
comp24515_c0_seq1	326	151.056	4	0.665942
comp25823_c0_seq1	412	236.95	5	0.530673
comp24650_c0_seq1	204	33.6292	3	2.24347
comp24473_c0_seq1	280	105.082	2	0.478649
comp25733_c0_seq1	280	105.082	5	1.19662
comp24421_c0_seq1	248	73.1097	5	1.71992
comp24637_c0_seq1	233	58.1418	5	2.1627
comp24393_c0_seq1	276	101.082	5	1.24398
comp24119_c0_seq1	285	110.082	5	1.14227
comp24977_c0_seq1	383	207.972	4	0.483692
comp24195_c0_seq1	301	126.071	5	0.997402
comp25227_c0_seq1	350	175.008	5	0.7185
comp25559_c0_seq1	265	90.1012	5	1.39558
comp24682_c0_seq1	226	51.2221	3	1.47292
comp24523_c0_seq1	277	102.082	5	1.23179
comp25381_c0_seq1	255	80.1097	4	1.25571
comp24323_c0_seq1	318	143.071	4	0.703111
comp25751_c0_seq1	318	143.071	5	0.878888
comp25575_c0_seq1	448	272.95	6	0.552818
comp25201_c0_seq1	216	41.8815	2	1.20094
comp25358_c0_seq1	639	463.74	10	0.5423
comp24872_c0_seq1	248	73.1097	3	1.03195
comp25279_c0_seq1	273	98.0915	3	0.769138
comp25968_c0_seq1	329	154.041	5	0.816298
comp24181_c0_seq1	388	212.972	5	0.59042
comp25077_c0_seq1	417	241.95	6	0.623648
comp25170_c0_seq1	211	37.8998	3	1.99067
comp25297_c0_seq1	304	129.071	4	0.779376
comp24769_c0_seq1	257	82.1097	3	0.918843
comp24894_c0_seq1	353	177.99	4	0.565169
comp25974_c0_seq1	840	664.689	8.81858	0.333653
comp25974_c0_seq2	705	529.689	3.18142	0.151048
comp25184_c0_seq1	228	53.186	4	1.89137
comp25683_c0_seq1	297	122.071	5	1.03008
comp25617_c0_seq1	378	202.972	7	0.867313
comp24887_c0_seq1	510	334.89	8	0.600761
comp25519_c0_seq1	245	70.1097	3	1.07611
comp24067_c0_seq1	258	83.1097	4	1.21038
comp24696_c0_seq1	481	305.922	8	0.657648
comp24211_c0_seq1	210	37.1797	3	2.02922
comp25549_c0_seq1	474	298.922	5	0.420655
comp24015_c0_seq1	223	48.3554	3	1.56024
comp24007_c0_seq1	234	59.1418	3	1.27568
comp24191_c0_seq1	362	186.972	5	0.672523
comp25508_c0_seq1	326	151.056	5	0.832428
comp25789_c0_seq1	248	73.1097	3	1.03195
comp24439_c0_seq1	281	106.082	6	1.42241
comp24306_c0_seq1	268	93.1012	4	1.08049
comp24467_c0_seq1	349	174.008	5	0.72263
comp24967_c0_seq1	343	168.025	5	0.748362
comp24865_c0_seq1	368	192.972	6	0.781935
comp25463_c0_seq1	367	191.972	4	0.524006
comp24103_c0_seq1	426	250.95	6	0.601282
comp25265_c0_seq1	231	56.1475	3	1.34371
comp24229_c0_seq1	262	87.1012	5	1.44365
comp25037_c0_seq1	514	338.89	8	0.59367
comp24659_c0_seq1	243	68.1097	3	1.10771
comp25081_c0_seq1	235	60.1359	5	2.09098
comp25286_c0_seq1	360	184.972	5	0.679795
comp24248_c0_seq1	472	296.922	8	0.677582
comp24676_c0_seq1	526	350.855	9	0.645103
comp25434_c0_seq1	249	74.1097	7	2.3754
comp24377_c0_seq1	399	223.95	5	0.561478
comp24690_c0_seq1	206	34.6255	3	2.17891
comp25758_c0_seq1	213	39.4241	3	1.9137
comp25942_c0_seq1	258	83.1097	3	0.907787
comp25976_c0_seq1	394	218.972	5	0.574243
comp24296_c0_seq1	307	132.071	4	0.761672
comp25169_c0_seq1	305	130.071	5	0.96673
comp25344_c0_seq1	381	205.972	4	0.488389
comp24465_c0_seq1	306	131.071	4	0.767483
comp25205_c0_seq1	300	125.071	4	0.804302
comp24686_c0_seq1	277	102.082	4	0.985432
comp25817_c0_seq1	228	53.186	4	1.89137
comp24212_c0_seq1	326	151.056	5	0.832428
comp24838_c0_seq1	226	51.2221	3	1.47292
comp24428_c0_seq1	245	70.1097	4	1.43482
comp24900_c0_seq1	352	176.99	7	0.994634
comp24721_c0_seq1	210	37.1797	2	1.35282
comp24000_c0_seq1	211	37.8998	4	2.65422
comp25934_c0_seq1	339	164.025	4	0.613289
comp25520_c0_seq1	274	99.0817	3	0.761451
comp24622_c0_seq1	337	162.025	3	0.465645
comp25865_c0_seq1	361	185.972	7	0.946595
comp25000_c0_seq1	314	139.071	5	0.904167
comp24118_c0_seq1	281	106.082	4	0.948274
comp24497_c0_seq1	245	70.1097	4	1.43482
comp25383_c0_seq1	232	57.1418	3	1.32033
comp24774_c0_seq1	249	74.1097	4	1.35737
comp25605_c0_seq1	238	63.1359	3	1.19498
comp24315_c0_seq1	244	69.1097	3	1.09168
comp25360_c0_seq1	516	340.89	7	0.516414
comp25719_c0_seq1	360	184.972	4	0.543836
comp25086_c0_seq1	221	46.454	4	2.16547
comp25855_c0_seq1	236	61.1359	4	1.64543
comp24670_c0_seq1	233	58.1418	4	1.73016
comp25565_c0_seq1	261	86.1012	4	1.16833
comp25599_c0_seq1	380	204.972	4	0.490771
comp25659_c0_seq1	462	286.922	8	0.701197
comp24946_c0_seq1	366	190.972	5	0.658437
comp24528_c0_seq1	247	72.1097	3	1.04627
comp25120_c0_seq1	307	132.071	4	0.761672
comp25502_c0_seq1	391	215.972	6	0.698663
comp24732_c0_seq1	391	215.972	6	0.698663
comp25702_c0_seq1	261	86.1012	4	1.16833
comp25452_c0_seq1	216	41.8815	3	1.80141
comp24372_c0_seq1	271	96.1012	5	1.30845
comp24201_c0_seq1	261	86.1012	3	0.876247
comp24190_c0_seq1	236	61.1359	4	1.64543
comp24360_c0_seq1	221	46.454	3	1.6241
comp25846_c0_seq1	219	44.6043	4	2.25527
comp25688_c0_seq1	261	86.1012	4	1.16833
comp24660_c0_seq1	215	41.0362	4	2.45136
comp24982_c0_seq1	208	35.8899	3	2.10215
comp25830_c0_seq1	262	87.1012	4	1.15492
comp25472_c0_seq1	389	213.972	6	0.705193
comp25435_c0_seq1	288	113.071	5	1.11208
comp25272_c0_seq1	449	273.95	6	0.5508
comp24571_c0_seq1	275	100.082	4	1.00512
comp24909_c0_seq1	269	94.1012	4	1.069
comp25779_c0_seq1	321	146.071	4	0.68867
comp24792_c0_seq1	236	61.1359	3	1.23407
comp24807_c0_seq1	351	176.008	5	0.714418
comp25283_c0_seq1	300	125.071	4	0.804302
comp24932_c0_seq1	216	41.8815	4	2.40188
comp24651_c0_seq1	492	316.922	7	0.555469
comp25753_c0_seq1	256	81.1097	4	1.24023
comp24619_c0_seq1	231	56.1475	4	1.79161
comp25954_c0_seq1	275	100.082	4	1.00512
comp25875_c0_seq1	202	32.7674	4	3.06996
comp25469_c0_seq1	220	45.5367	3	1.65682
comp25858_c0_seq1	351	176.008	5	0.714418
comp25316_c0_seq1	321	146.071	5	0.860838
comp25188_c0_seq1	287	112.071	4	0.897599
comp24105_c0_seq1	340	165.025	4	0.609573
comp24531_c0_seq1	265	90.1012	1	0.279116
comp24108_c0_seq1	250	75.1097	2	0.669651
comp24326_c0_seq1	353	177.99	5	0.706461
comp24738_c0_seq1	229	54.1806	4	1.85665
comp25576_c0_seq1	306	131.071	4	0.767483
comp24827_c0_seq1	322	147.071	4	0.683988
comp24881_c0_seq1	271	96.1012	4	1.04676
comp25661_c0_seq1	227	52.1964	4	1.92723
comp25400_c0_seq1	279	104.082	5	1.20812
comp25935_c0_seq1	254	79.1097	5	1.58948
comp25377_c0_seq1	296	121.071	3	0.623156
comp24529_c0_seq1	382	206.972	5	0.607536
comp24253_c0_seq1	210	37.1797	2	1.35282
comp24557_c0_seq1	234	59.1418	3	1.27568
comp25090_c0_seq1	571	395.785	8	0.50833
comp24518_c0_seq1	241	66.1231	4	1.52132
comp25544_c0_seq1	657	481.74	11	0.574241
comp25904_c0_seq1	396	220.95	7	0.796742
comp24790_c0_seq1	250	75.1097	3	1.00448
comp24163_c0_seq1	205	34.1273	3	2.21072
comp25920_c0_seq1	266	91.1012	5	1.38026
comp24188_c0_seq1	424	248.95	6	0.606112
comp25103_c0_seq1	325	150.056	5	0.837975
comp25393_c0_seq1	233	58.1418	4	1.73016
comp24751_c0_seq1	220	45.5367	4	2.20909
comp24808_c0_seq1	267	92.1012	5	1.36527
comp25579_c0_seq1	370	194.972	5	0.644929
comp24580_c0_seq1	241	66.1231	3	1.14099
