target_id	length	eff_length	est_counts	tpm
comp25388_c0_seq1	293	77.2848	0	0
comp25841_c0_seq1	345	98.713	0	0
comp24711_c0_seq1	453	166.651	0	0
comp24711_c0_seq2	249	63.5428	0	0
comp25566_c0_seq1	272	70.2959	0	0
comp25515_c0_seq1	307	82.4389	0	0
comp25594_c0_seq1	552	254.218	1	5.57884
comp25876_c0_seq1	229	58.3247	0	0
comp24479_c0_seq1	515	219.536	0	0
comp25596_c0_seq1	229	58.3247	0	0
comp25879_c0_seq1	300	79.8095	0	0
comp25203_c0_seq1	238	60.6043	0	0
comp25632_c0_seq1	343	97.7664	0	0
comp24013_c0_seq1	467	177.849	3	23.9232
comp24570_c0_seq1	292	76.9324	0	0
comp25433_c0_seq1	285	74.522	0	0
comp24053_c0_seq1	364	108.243	0	0
comp24249_c0_seq1	405	132.298	0	0
comp25040_c0_seq1	261	66.9572	0	0
comp24077_c0_seq1	450	164.317	0	0
comp25653_c0_seq1	343	97.7664	0	0
comp25952_c0_seq1	613	313.856	0	0
comp24574_c0_seq1	264	67.8472	0	0
comp25956_c0_seq1	255	65.2215	0	0
comp25770_c0_seq1	259	66.3721	0	0
comp24080_c0_seq1	221	56.385	0	0
comp24238_c0_seq1	215	54.9798	0	0
comp25790_c0_seq1	201	51.8507	0	0
comp25471_c0_seq1	210	53.8392	0	0
comp25096_c0_seq1	210	53.8392	0	0
comp24310_c0_seq1	217	55.4437	0	0
comp25004_c0_seq1	318	86.792	0	0
comp24517_c0_seq1	279	72.5322	0	0
comp25629_c0_seq1	302	80.5499	0	0
comp25185_c0_seq1	365	108.772	0	0
comp24264_c0_seq1	320	87.6135	0	0
comp25957_c0_seq1	411	136.231	0	0
comp25479_c0_seq1	631	331.727	1	4.27533
comp25285_c0_seq1	228	58.0779	0	0
comp24394_c0_seq1	224	57.1033	0	0
comp24862_c0_seq1	202	52.0677	0	0
comp24106_c0_seq1	257	65.7936	0	0
comp24152_c0_seq1	234	59.5779	0	0
comp25262_c0_seq1	461	172.99	0	0
comp24576_c0_seq1	643	343.672	1	4.12673
comp24447_c0_seq1	411	136.231	0	0
comp24447_c0_seq2	229	58.3247	0	0
comp24438_c0_seq1	242	61.6527	0	0
comp25363_c0_seq1	228	58.0779	0	0
comp25711_c0_seq1	245	62.4539	0	0
comp24104_c0_seq1	217	55.4437	0	0
comp25247_c0_seq1	282	73.5185	0	0
comp24515_c0_seq1	303	80.9234	0	0
comp25823_c0_seq1	244	62.1854	0	0
comp24650_c0_seq1	298	79.0777	1	17.9348
comp24473_c0_seq1	224	57.1033	0	0
comp25733_c0_seq1	238	60.6043	0	0
comp24421_c0_seq1	442	158.209	3	26.8931
comp24637_c0_seq1	277	71.884	0	0
comp24393_c0_seq1	262	67.2522	0	0
comp24119_c0_seq1	354	103.104	0	0
comp24977_c0_seq1	414	138.237	0	0
comp24195_c0_seq1	299	79.4426	0	0
comp25227_c0_seq1	220	56.1479	0	0
comp25559_c0_seq1	306	82.0567	0	0
comp24682_c0_seq1	318	86.792	0	0
comp24035_c0_seq1	276	71.5627	0	0
comp24523_c0_seq1	215	54.9798	0	0
comp25381_c0_seq1	292	76.9324	0	0
comp24323_c0_seq1	241	61.3885	0	0
comp25751_c0_seq1	208	53.3903	0	0
comp25575_c0_seq1	248	63.2683	0	0
comp25201_c0_seq1	213	54.5203	0	0
comp25358_c0_seq1	204	52.5047	0	0
comp24872_c0_seq1	601	301.987	1	4.69637
comp25279_c0_seq1	297	78.7149	0	0
comp25279_c0_seq2	229	58.3247	0	0
comp25968_c0_seq1	266	68.449	0	0
comp24181_c0_seq1	570	271.594	5	26.1096
comp25077_c0_seq1	339	95.9046	0	0
comp25170_c0_seq1	425	145.816	2	19.4525
comp25297_c0_seq1	281	73.1878	0	0
comp24769_c0_seq1	295	77.9957	0	0
comp24894_c0_seq1	222	56.6232	0	0
comp25974_c0_seq1	386	120.542	0	0
comp25184_c0_seq1	257	65.7936	0	0
comp25683_c0_seq1	224	57.1033	0	0
comp25617_c0_seq1	217	55.4437	0	0
comp24887_c0_seq1	289	75.8874	0	0
comp25519_c0_seq1	230	58.5728	0	0
comp24067_c0_seq1	419	141.638	0	0
comp24696_c0_seq1	382	118.202	0	0
comp24211_c0_seq1	229	58.3247	0	0
comp24211_c0_seq2	209	53.6143	0	0
comp25549_c0_seq1	210	53.8392	0	0
comp24015_c0_seq1	294	77.6392	0	0
comp24007_c0_seq1	222	56.6232	0	0
comp24191_c0_seq1	203	52.2857	0	0
comp25508_c0_seq1	402	130.371	0	0
comp25789_c0_seq1	280	72.8591	0	0
comp25945_c0_seq1	588	289.186	1	4.90426
comp24306_c0_seq1	245	62.4539	0	0
comp24467_c0_seq1	217	55.4437	0	0
comp24967_c0_seq1	528	231.527	0	0
comp24865_c0_seq1	219	55.912	0	0
comp25463_c0_seq1	404	131.653	0	0
comp24103_c0_seq1	347	99.6701	0	0
comp24229_c0_seq1	449	163.544	0	0
comp25037_c0_seq1	406	132.946	0	0
comp24659_c0_seq1	401	129.735	0	0
comp25081_c0_seq1	238	60.6043	0	0
comp25286_c0_seq1	379	116.478	0	0
comp24248_c0_seq1	242	61.6527	0	0
comp24676_c0_seq1	252	64.3752	0	0
comp25434_c0_seq1	339	95.9046	0	0
comp25434_c0_seq2	246	62.7239	0	0
comp24377_c0_seq1	230	58.5728	0	0
comp24690_c0_seq1	278	72.2072	0	0
comp25758_c0_seq1	276	71.5627	0	0
comp25942_c0_seq1	364	108.243	0	0
comp25976_c0_seq1	400	129.101	0	0
comp24296_c0_seq1	320	87.6135	0	0
comp25169_c0_seq1	208	53.3903	0	0
comp24465_c0_seq1	253	64.6557	0	0
comp25205_c0_seq1	243	61.9183	0	0
comp24686_c0_seq1	529	232.459	10	61.0105
comp25817_c0_seq1	207	53.1674	0	0
comp24212_c0_seq1	213	54.5203	0	0
comp24839_c0_seq1	221	56.385	0	0
comp24838_c0_seq1	270	69.6732	0	0
comp24428_c0_seq1	365	108.772	0	0
comp24721_c0_seq1	493	199.862	1	7.0961
comp24000_c0_seq1	633	333.716	0	0
comp25520_c0_seq1	350	101.126	0	0
comp24622_c0_seq1	332	92.7454	0	0
comp25865_c0_seq1	225	57.3451	0	0
comp25000_c0_seq1	517	221.365	0	0
comp25000_c0_seq2	468	178.668	1	7.93788
comp25000_c0_seq3	344	98.2384	0	0
comp25000_c0_seq4	295	77.9957	0	0
comp24118_c0_seq1	503	208.699	0	0
comp24497_c0_seq1	329	91.4294	0	0
comp25383_c0_seq1	286	74.8604	0	0
comp24774_c0_seq1	317	86.3847	0	0
comp25605_c0_seq1	458	170.594	0	0
comp24315_c0_seq1	412	136.896	1	10.36
comp25024_c0_seq1	219	55.912	0	0
comp25360_c0_seq1	265	68.1472	0	0
comp25719_c0_seq1	428	147.944	0	0
comp25719_c0_seq2	328	90.9956	0	0
comp25086_c0_seq1	276	71.5627	0	0
comp25855_c0_seq1	620	320.798	0	0
comp24670_c0_seq1	357	104.617	0	0
