target_id	length	eff_length	est_counts	tpm
comp25388_c0_seq1	427	257.196	117	5.2709
comp25841_c0_seq1	284	125.939	122	11.2244
comp24711_c0_seq1	299	138.631	0	0
comp25566_c0_seq1	201	63.6995	11	2.00087
comp25515_c0_seq1	253	100.779	304	34.9516
comp25594_c0_seq1	322	158.881	0	0
comp25876_c0_seq1	207	67.5137	18	3.08918
comp24479_c0_seq1	285	126.759	0	0
comp25596_c0_seq1	266	111.114	7	0.729946
comp25879_c0_seq1	264	109.455	3	0.317577
comp25203_c0_seq1	277	120.048	41	3.95723
comp25632_c0_seq1	954	780.71	536	7.95497
comp24013_c0_seq1	390	221.703	156	8.15299
comp24570_c0_seq1	438	267.794	558	24.1433
comp25433_c0_seq1	393	224.571	10	0.515952
comp25051_c0_seq1	214	72.1947	6	0.962963
comp24053_c0_seq1	285	126.759	25	2.28521
comp24249_c0_seq1	357	190.826	0	0
comp25040_c0_seq1	643	470.174	24	0.591446
comp24077_c0_seq1	281	123.389	66	6.19769
comp25653_c0_seq1	249	97.6747	1040	123.371
comp25952_c0_seq1	208	68.165	28	4.75948
comp24574_c0_seq1	502	330.286	992	34.8004
comp25956_c0_seq1	427	257.196	6	0.270303
comp25770_c0_seq1	462	291.109	1	0.0398022
comp24080_c0_seq1	276	119.197	53	5.15198
comp24238_c0_seq1	750	576.913	325	6.52734
comp25790_c0_seq1	238	89.2845	2	0.259548
comp24645_c0_seq1	203	65.0089	0	0
comp25471_c0_seq1	323	159.769	4	0.290089
comp25096_c0_seq1	291	131.802	8	0.703285
comp24310_c0_seq1	452	281.362	4	0.164724
comp25004_c0_seq1	403	234.121	1160	57.4092
comp24517_c0_seq1	272	115.94	205	20.4873
comp25629_c0_seq1	277	120.048	11	1.0617
comp25185_c0_seq1	213	71.4999	27	4.37544
comp24264_c0_seq1	276	119.197	0	0
comp25957_c0_seq1	234	86.3083	96	12.8879
comp25479_c0_seq1	351	185.281	0	0
comp25285_c0_seq1	345	179.72	20	1.28943
comp24394_c0_seq1	231	84.08	51	7.02814
comp24862_c0_seq1	245	94.5716	19	2.32786
comp24106_c0_seq1	293	133.529	10	0.867734
comp24152_c0_seq1	201	63.6995	0	0
comp25262_c0_seq1	497	325.372	911	32.4416
comp24576_c0_seq1	452	281.362	37	1.5237
comp24447_c0_seq1	244	93.7987	531	65.5935
comp24438_c0_seq1	344	178.794	432	27.9959
comp25363_c0_seq1	276	119.197	180	17.4973
comp25711_c0_seq1	246	95.341	0	0
comp24104_c0_seq1	223	78.3778	60	8.86996
comp25247_c0_seq1	227	81.257	276	39.3561
comp24515_c0_seq1	326	162.446	48	3.42369
comp25823_c0_seq1	412	242.801	62	2.95872
comp24650_c0_seq1	204	65.632	2	0.353083
comp24473_c0_seq1	280	122.541	29	2.74207
comp25733_c0_seq1	280	122.541	135	12.7648
comp24421_c0_seq1	248	96.8892	43	5.14229
comp24637_c0_seq1	233	85.5506	9	1.21894
comp24393_c0_seq1	276	119.197	7	0.680451
comp24119_c0_seq1	285	126.759	89	8.13533
comp24977_c0_seq1	383	215.15	7	0.376981
comp24195_c0_seq1	301	140.326	4	0.330282
comp25227_c0_seq1	350	184.345	35	2.19988
comp25559_c0_seq1	265	110.269	63	6.61987
comp24682_c0_seq1	226	80.534	15	2.15812
comp24523_c0_seq1	277	120.048	6	0.579108
comp25381_c0_seq1	255	102.327	0	0
comp24323_c0_seq1	318	155.37	3	0.223726
comp25751_c0_seq1	318	155.37	2	0.149151
comp25575_c0_seq1	448	277.491	574	23.9677
comp25201_c0_seq1	216	73.5216	59	9.29823
comp25358_c0_seq1	639	466.184	27	0.671073
comp24872_c0_seq1	248	96.8892	23	2.75053
comp25279_c0_seq1	273	116.764	1	0.0992327
comp25968_c0_seq1	329	165.147	10	0.701604
comp24181_c0_seq1	388	219.81	46	2.42478
comp25077_c0_seq1	417	247.598	19	0.889139
comp25170_c0_seq1	211	70.1742	30	4.95344
comp25297_c0_seq1	304	143.002	18	1.45845
comp24769_c0_seq1	257	103.908	93	10.3704
comp24894_c0_seq1	353	187.112	308	19.0727
comp25974_c0_seq1	840	666.767	0	0
comp25974_c0_seq2	705	532.046	0	0
comp25184_c0_seq1	228	81.9903	7	0.989233
comp25683_c0_seq1	297	136.903	37	3.13149
comp25617_c0_seq1	378	210.44	46	2.53275
comp24887_c0_seq1	510	338.125	18	0.61682
comp25519_c0_seq1	245	94.5716	6	0.735113
comp24067_c0_seq1	258	104.694	1	0.110673
comp24696_c0_seq1	481	309.677	95	3.55449
comp24211_c0_seq1	210	69.5006	2	0.33343
comp25549_c0_seq1	474	302.769	163	6.23791
comp24015_c0_seq1	223	78.3778	4	0.591331
comp24007_c0_seq1	234	86.3083	0	0
comp24191_c0_seq1	362	195.414	9	0.533642
comp25508_c0_seq1	326	162.446	155	11.0557
comp25789_c0_seq1	248	96.8892	6	0.717528
comp24439_c0_seq1	281	123.389	9	0.84514
comp24306_c0_seq1	268	112.72	40	4.1117
comp24467_c0_seq1	349	183.428	55	3.47424
comp24967_c0_seq1	343	177.886	33	2.14949
comp24865_c0_seq1	368	201.017	20	1.15281
comp25463_c0_seq1	367	200.071	14	0.810789
comp24103_c0_seq1	426	256.232	0	0
comp25265_c0_seq1	231	84.08	0	0
comp24229_c0_seq1	262	107.9	16	1.71815
comp25037_c0_seq1	514	342.091	45	1.52417
comp24659_c0_seq1	243	93.0615	40	4.98028
comp25081_c0_seq1	235	87.0049	6	0.799044
comp25286_c0_seq1	360	193.621	0	0
comp24248_c0_seq1	472	300.824	11	0.423686
comp24676_c0_seq1	526	353.917	175	5.72928
comp25434_c0_seq1	249	97.6747	53	6.2872
comp24377_c0_seq1	399	230.318	248	12.4763
comp24690_c0_seq1	206	66.9058	5	0.865904
comp25758_c0_seq1	213	71.4999	118	19.1223
comp25942_c0_seq1	258	104.694	5	0.553364
comp25976_c0_seq1	394	225.544	122	6.26746
comp24296_c0_seq1	307	145.621	89	7.08154
comp25169_c0_seq1	305	143.884	10	0.805287
comp25344_c0_seq1	381	213.259	63	3.42291
comp24465_c0_seq1	306	144.732	5	0.400285
comp25205_c0_seq1	300	139.48	33	2.74135
comp24686_c0_seq1	277	120.048	1157	111.671
comp25817_c0_seq1	228	81.9903	0	0
comp24212_c0_seq1	326	162.446	9	0.641943
comp24838_c0_seq1	226	80.534	34	4.89173
comp24428_c0_seq1	245	94.5716	11	1.34771
comp24900_c0_seq1	352	186.208	17	1.05782
comp24721_c0_seq1	210	69.5006	15	2.50072
comp24000_c0_seq1	211	70.1742	1	0.165115
comp25934_c0_seq1	339	174.219	54	3.59137
comp25520_c0_seq1	274	117.523	37	3.6479
comp24622_c0_seq1	337	172.391	119	7.99825
comp25865_c0_seq1	361	194.502	0	0
comp25000_c0_seq1	314	151.83	46	3.51045
comp24118_c0_seq1	281	123.389	23	2.1598
comp24497_c0_seq1	245	94.5716	8	0.98015
comp25383_c0_seq1	232	84.8222	91	12.4307
comp24774_c0_seq1	249	97.6747	9	1.06764
comp25605_c0_seq1	238	89.2845	6	0.778643
comp24315_c0_seq1	244	93.7987	3	0.370585
comp25360_c0_seq1	516	344.056	1211	40.7829
comp25719_c0_seq1	360	193.621	524	31.3576
comp25086_c0_seq1	221	77.0407	33	4.96315
comp25855_c0_seq1	236	87.7787	221	29.172
comp24670_c0_seq1	233	85.5506	56	7.58452
comp25565_c0_seq1	261	107.09	102	11.036
comp25599_c0_seq1	380	212.289	98	5.34885
comp25659_c0_seq1	462	291.109	798	31.7622
comp24946_c0_seq1	366	199.148	65	3.78182
comp24528_c0_seq1	247	96.1002	7	0.843989
comp25120_c0_seq1	307	145.621	143	11.3782
comp25502_c0_seq1	391	222.68	0	0
comp24732_c0_seq1	391	222.68	0	0
comp25702_c0_seq1	261	107.09	34	3.67868
comp25452_c0_seq1	216	73.5216	117	18.4389
comp24372_c0_seq1	271	115.123	0	0
comp24201_c0_seq1	261	107.09	7	0.757376
comp24190_c0_seq1	236	87.7787	4	0.528
comp24360_c0_seq1	221	77.0407	39	5.86554
comp25846_c0_seq1	219	75.5879	149	22.8401
comp25688_c0_seq1	261	107.09	0	0
comp24660_c0_seq1	215	72.8747	179	28.4603
comp24982_c0_seq1	208	68.165	130	22.0976
comp25830_c0_seq1	262	107.9	8	0.859073
comp25472_c0_seq1	389	220.766	53	2.78168
comp25435_c0_seq1	288	129.314	3	0.268805
comp25272_c0_seq1	449	278.48	5	0.208036
comp24571_c0_seq1	275	118.36	9	0.881049
comp24909_c0_seq1	269	113.49	318	32.4662
comp25779_c0_seq1	321	158.004	1	0.0733324
comp24792_c0_seq1	236	87.7787	4	0.528
comp24807_c0_seq1	351	185.281	227	14.1958
comp25283_c0_seq1	300	139.48	40	3.32284
comp24932_c0_seq1	216	73.5216	4	0.630388
comp24651_c0_seq1	492	320.469	7	0.25309
comp25753_c0_seq1	256	103.109	96	10.7879
comp24619_c0_seq1	231	84.08	44	6.0635
comp25954_c0_seq1	275	118.36	40	3.91577
comp25875_c0_seq1	202	64.3524	4	0.720209
comp25469_c0_seq1	220	76.3323	70	10.6256
comp25858_c0_seq1	351	185.281	0	0
comp25316_c0_seq1	321	158.004	19	1.39332
comp25188_c0_seq1	287	128.495	47	4.23815
comp24105_c0_seq1	340	175.122	127	8.40284
comp24531_c0_seq1	265	110.269	54	5.67418
comp24108_c0_seq1	250	98.4566	19	2.236
comp24326_c0_seq1	353	187.112	92	5.69703
comp24738_c0_seq1	229	82.6584	0	0
comp25576_c0_seq1	306	144.732	2	0.160114
