Oo	fpkm	fragments	peptides	length	frag/len
comp0_c1_seq40	30378	2	3	48	0.041666667
comp0_c1_seq41	11729	3	3	75	0.04
comp0_c1_seq43	11.07	1.833333	4	74	0.02477477
comp0_c1_seq44	10400.54	3.283333	7	74	0.044369365
comp0_c1_seq45	8651.27	5.533333	9	74	0.07477477
comp25_c0_seq2	1656.31	0.5	1	95	0.005263158
comp0_c1_seq48	9068	7	8	65	0.107692308
comp184_c0_seq1	949	8	8	145	0.055172414
comp24_c0_seq5	1257.75	1.333333	5	92	0.01449275
comp20627_c0_seq1	4	1	1	130	0.007692308
comp25276_c0_seq1	7	11	11	244	0.045081967
comp1440_c0_seq8	6	2.181818	3	98	0.022263449
comp4865_c0_seq1	12.61	1	2	266	0.003759398
comp5111_c0_seq1	69	3	3	454	0.00660793
comp8_c1_seq3	3744	4	5	109	0.036697248
comp11_c0_seq1	274328	71	71	516	0.137596899
comp24_c0_seq8	18.23	1.333333	5	86	0.015503872
comp24_c0_seq7	0	1.333333	5	87	0.015325667
comp367_c0_seq1	37	1	1	86	0.011627907
comp15_c0_seq1	18444	7	7	141	0.04964539
comp9415_c0_seq1	33	1	1	336	0.00297619
comp3278_c0_seq1	116	1	1	639	0.001564945
comp24_c0_seq2	8077.52	15	15	157	0.095541401
comp24_c0_seq1	10497.48	10	10	157	0.063694268
comp0_c1_seq12	40124.96	2.533333	7	103	0.024595466
comp0_c1_seq10	63988.53	2.583333	6	114	0.022660816
comp0_c1_seq17	61027.07	1.666667	4	66	0.02525253
comp0_c1_seq16	2.45	2.533333	7	97	0.026116835
comp0_c1_seq15	17120.85	7.083333	10	100	0.07083333
comp0_c1_seq14	2286.5	3.866667	11	102	0.0379085
comp0_c1_seq31	2025.44	4.7	7	82	0.057317073
comp28_c0_seq2	2449.86	2	4	200	0.01
comp28_c0_seq1	35304.14	17	19	553	0.03074141
comp0_c1_seq18	1824.73	8.333333	11	96	0.086805552
comp0_c1_seq35	10526.74	1.166667	3	56	0.020833339
comp0_c1_seq52	1592.34	1.666667	4	70	0.023809529
comp0_c1_seq37	40174	5.583333	7	56	0.099702375
comp801_c0_seq2	134.06	0.5	1	147	0.003401361
comp801_c0_seq1	69.94	0.5	1	147	0.003401361
comp17_c0_seq1	6893	5	5	98	0.051020408
comp4484_c0_seq1	28	1	1	273	0.003663004
comp4865_c0_seq2	22.39	1	2	246	0.004065041
comp307_c0_seq1	120	1	1	98	0.010204082
comp14_c0_seq1	59762	2	2	295	0.006779661
comp7681_c0_seq1	30	1	1	260	0.003846154
comp1318_c0_seq1	142.17	1.939394	6	592	0.003276003
comp1318_c0_seq2	206.04	1.939394	6	592	0.003276003
comp1318_c0_seq3	21.24	1.939394	6	471	0.004117609
comp8_c1_seq2	15919	1	1	128	0.0078125
comp8_c1_seq1	19795	3	4	142	0.021126761
comp0_c1_seq3	41540.21	7	10	321	0.021806854
comp0_c1_seq1	453134.36	50	53	642	0.07788162
comp25_c0_seq1	6939.69	0.5	1	95	0.005263158
comp24_c0_seq9	1.02	1	4	69	0.014492754
comp23_c0_seq1	45760	21	21	240	0.0875
comp0_c1_seq53	0	5.666667	8	69	0.082125609
comp0_c1_seq9	6988.51	6.033333	11	122	0.049453549
comp252_c0_seq1	1563	1	1	504	0.001984127
comp13134_c0_seq1	4.99	0.5	1	242	0.002066116
comp13134_c0_seq2	11.01	0.5	1	272	0.001838235
comp0_c1_seq29	19836.93	1.833333	4	84	0.021825393
comp0_c1_seq51	1.16	1.7	6	71	0.023943662
comp2163_c0_seq1	93.54	2	2	540	0.003703704
comp0_c1_seq22	27770.92	7.333333	8	91	0.080586077
comp0_c1_seq23	2551	4.2	5	90	0.046666667
comp13_c0_seq1	42943	19	19	139	0.136690647
comp0_c1_seq26	49491.75	0.2	1	45	0.004444444
comp0_c1_seq27	34468	1.666667	4	86	0.019379849
