Table 2
ID,Toxin Class,FPKM,% FPKM,Pharmacological Activity,NCBI Link,BLAST hit
comp252_c0_seq1,5‘NTase,65.7,0.017%,converts nucleotides to nucleosides; hypotensive,BAG82602.1,gi|211926756|dbj|BAG82602.1| ecto-5'-nucleotidase [Gloydius brevicaudus]
comp766_c0_seq1,APA,24.6,0.006%,hypotensive?,BAF63164.1,gi|148367284|dbj|BAF63164.1| aminopeptidase A [Gloydius brevicaudus]
comp6_c0_seq1,BPP,5852.9,1.541%,potentiate bradykinin; hypotensive,Q90Y12.1,gi|82217207|sp|Q90Y12.1|BNP_CRODU RecName: Full=Bradykinin potentiating and C-type natriuretic peptides; AltName: Full=BPP-CNP; Contains: RecName: Full=Bradykinin-potentiating peptide Cdt1a; Contains: RecName: Full=Bradykinin-potentiating peptide Cdt1b; Contains: RecName: Full=Bradykinin-potentiating peptide Cdt2; Contains: RecName: Full=Bradykinin inhibitor peptide Cdt3; Contains: RecName: Full=C-type natriuretic peptide; Short=CNP; Flags: Precursor >gi|15824634|gb|AAL09426.1|AF308593_1 bradykinin potentiating peptide and C-type natriuretic peptide precursor isoform 1 [Crotalus durissus terrificus]
comp23_c0_seq1,CRISP,2416.6,0.636%,Smooth muscle relaxation; hypotension,ACE73559.1,gi|190195305|gb|ACE73559.1| cysteine-rich seceretory protein Bs-CRP [Bothriechis schlegelii]
comp24_c0_seq2,CTLB1,1246.8,0.328%,-------,Q719L9.1,gi|82129809|sp|Q719L9.1|CRC1_CRODU RecName: Full=Crotocetin-1; Short=CRC1; Flags: Precursor >gi|33332305|gb|AAQ11364.1| crotocetin-1 [Crotalus durissus terrificus]
comp24_c0_seq3,CTLB2,405.6,0.107%,-------,AEJ31973.1,gi|338855288|gb|AEJ31973.1| C-type lectin 7 [Crotalus adamanteus]
comp24_c0_seq9,CTLB3,125.6,0.033%,-------,Q71RP8.1,gi|82129977|sp|Q71RP8.1|STAB3_TRIST RecName: Full=Stejaggregin-A subunit beta-3; Flags: Precursor >gi|33341216|gb|AAQ15169.1|AF354927_1 stejaggregin-A beta chain-3 [Viridovipera stejnegeri]
comp24_c0_seq6,CTLB4,117.2,0.031%,heterodimeric; promotes platelet aggregation,Q5FZI5.1,gi|82125513|sp|Q5FZI5.1|TRIMB_TRIMU RecName: Full=Trimecetin subunit beta; Flags: Precursor >gi|58293946|gb|AAW69916.1| trimecetin beta-chain precursor [Protobothrops mucrosquamatus]
comp24_c0_seq7,CTLB5,110.5,0.029%,-------,Q71RP8.1,gi|82129977|sp|Q71RP8.1|STAB3_TRIST RecName: Full=Stejaggregin-A subunit beta-3; Flags: Precursor >gi|33341216|gb|AAQ15169.1|AF354927_1 stejaggregin-A beta chain-3 [Viridovipera stejnegeri]
comp24_c0_seq8,CTLB6,78.4,0.021%,-------,Q71RP8.1,gi|82129977|sp|Q71RP8.1|STAB3_TRIST RecName: Full=Stejaggregin-A subunit beta-3; Flags: Precursor >gi|33341216|gb|AAQ15169.1|AF354927_1 stejaggregin-A beta chain-3 [Viridovipera stejnegeri]
comp24_c0_seq4,CTLB7,246.2,0.065%,-------,AEJ31975.1,gi|338855292|gb|AEJ31975.1| C-type lectin 9 [Crotalus adamanteus]
comp24_c0_seq5,CTLB8,363.3,0.096%,-------,Q71RP8.1,gi|82129977|sp|Q71RP8.1|STAB3_TRIST RecName: Full=Stejaggregin-A subunit beta-3; Flags: Precursor >gi|33341216|gb|AAQ15169.1|AF354927_1 stejaggregin-A beta chain-3 [Viridovipera stejnegeri]
comp305_c0_seq1,DPP IV,60.6,0.016%,inactivates hypertensive hormones; hypotensive,BAD06332.1,gi|40363634|dbj|BAD06332.1| dipeptidylpeptidase 4a [Gloydius brevicaudus]
comp24_c0_seq1,GBL,1310.7,0.345%,hemagglutinin,Q9PSM4.1,"gi|34922643|sp|Q9PSM4.1|LECG_LACST RecName: Full=Galactose-specific lectin; AltName: Full=Mutina >gi|1881829|gb|AAB49518.1| lectin-like protein [Lachesis muta, stenophyrs, venom, Peptide, 135 aa]"
comp157_c0_seq1,HYAL,53.7,0.014%,degrades extracellular matrix,ABI33937.1,gi|113203667|gb|ABI33937.1| hyaluronidase [Echis ocellatus]
comp157_c0_seq2,HYAL,60.7,0.016%,degrades extracellular matrix,ABI33937.1,gi|113203667|gb|ABI33937.1| hyaluronidase [Echis ocellatus]
comp11_c0_seq1,LAO,7848.2,2.066%,activation of sGC in presence of SD; hypotensive,Q90W54.1,gi|75570145|sp|Q90W54.1|OXLA_AGKHA RecName: Full=L-amino-acid oxidase; Short=LAAO; Short=LAO; Short=M-LAO; Flags: Precursor >gi|15887054|dbj|BAB69450.1| M-LAO [Gloydius blomhoffi]
comp0_c1_seq2,MP01 P-II,89261.9,23.499%,-------,CAA62600.1,gi|995748|emb|CAA62600.1| atrolysin e [Protobothrops mucrosquamatus]
comp0_c1_seq1,MP02 P-III,26113.6,6.875%,Prothrombin activation; fibrinogenolytic; apoptotic,Q90ZI3.1,gi|82217336|sp|Q90ZI3.1|VMHV1_TRIFL RecName: Full=Zinc metalloproteinase-disintegrin HV1; AltName: Full=Vascular apoptosis-inducing protein; Flags: Precursor >gi|14325767|dbj|BAB60682.1| vascular apoptosis-inducing protein [Trimeresurus flavoviridis]
comp0_c1_seq3,MP03 P-III,22417.9,5.902%,"Hemorrhagic; platelet aggregation inhibitor (ADP, collagen, fibrin)",P20164.4,gi|52001475|sp|P20164.4|HR1B_TRIFL RecName: Full=Zinc metalloproteinase/disintegrin; Contains: RecName: Full=Hemorrhagic metalloproteinase HR1b; AltName: Full=Trimerelysin I; AltName: Full=Trimerelysin-1; Contains: RecName: Full=Disintegrin-like 1b; Flags
comp17_c0_seq1,MP04 P-II,6854.9,1.805%,-------,ADV71356.1,gi|319759242|gb|ADV71356.1| metalloproteinase PMMP-2 [Protobothrops mucrosquamatus]
comp15_c0_seq1,MP05 P-III,6826.3,1.797%,probably hemorrhagic,AEJ31991.1,gi|338855324|gb|AEJ31991.1| metalloproteinase 8 [Crotalus adamanteus]
comp8_c1_seq1,MP06 P-II,4980.8,1.311%,inhibits platelet aggregation; possibly hemorrhagic,P83912.1,"gi|48427991|sp|P83912.1|VMJEI_TRIJE RecName: Full=Zinc metalloproteinase-disintegrin jerdonitin; Flags: Precursor >gi|60729675|pir||JC8020 metalloproteinase-disintegrin protein, Jerdonitin - Trimeresurus jerdonii >gi|34329647|gb|AAQ63966.1| jerdonitin [Pr"
comp8_c1_seq3,MP07 P-II,1453.5,0.383%,inhibits platelet aggregation; possibly hemorrhagic,P83912.1,"gi|48427991|sp|P83912.1|VMJEI_TRIJE RecName: Full=Zinc metalloproteinase-disintegrin jerdonitin; Flags: Precursor >gi|60729675|pir||JC8020 metalloproteinase-disintegrin protein, Jerdonitin - Trimeresurus jerdonii >gi|34329647|gb|AAQ63966.1| jerdonitin [Pr"
comp367_c0_seq1,MP08 P-II,112.0,0.029%,inhibits platelet aggregation; probably hemorrhagic,P18619.2,gi|31077169|sp|P18619.2|DISF_TRIFL RecName: Full=Zinc metalloproteinase/disintegrin; Contains: RecName: Full=Metalloproteinase; Contains: RecName: Full=Disintegrin flavoridin; Flags: Precursor >gi|21326758|dbj|BAC00515.1| flavoridin precursor [Trimeresurus flavoviridis]
comp22_c0_seq1,MP09 P-II,108.2,0.028%,inhibits platelet aggregation; probably hemorrhagic,P18619.2,gi|31077169|sp|P18619.2|DISF_TRIFL RecName: Full=Zinc metalloproteinase/disintegrin; Contains: RecName: Full=Metalloproteinase; Contains: RecName: Full=Disintegrin flavoridin; Flags: Precursor >gi|21326758|dbj|BAC00515.1| flavoridin precursor [Trimeresurus flavoviridis]
comp383_c0_seq1,MP10 P-II,86.2,0.023%,inhibits platelet aggregation; probably hemorrhagic,P0C6E4.1,gi|182705250|sp|P0C6E4.1|VMJER_TRIJE RecName: Full=Zinc metalloproteinase/disintegrin; Contains: RecName: Full=Metalloproteinase; Contains: RecName: Full=Disintegrin jerdonatin; Flags: Precursor
comp383_c0_seq2,MP11 P-II,33.9,0.009%,"Hemorrhagic; platelet aggregation inhibitor (ADP, collagen, fibrin)",P14530.3,gi|50403719|sp|P14530.3|HR2A_TRIFL RecName: Full=Zinc metalloproteinase/disintegrin; Contains: RecName: Full=Hemorrhagic metalloproteinase HR2a; AltName: Full=Trimerelysin II; Contains: RecName: Full=Disintegrin flavostatin; AltName: Full=Platelet aggregation activation inhibitor; Flags: Precursor >gi|14595995|gb|AAK68850.1| hemorrhagic metalloprotease HR2a and disintegrin flavostatin precursor [Trimeresurus flavoviridis]
comp8_c1_seq2,MP12 P-II,23.6,0.006%,inhibits platelet aggregation; possibly hemorrhagic,P83912.1,"gi|48427991|sp|P83912.1|VMJEI_TRIJE RecName: Full=Zinc metalloproteinase-disintegrin jerdonitin; Flags: Precursor >gi|60729675|pir||JC8020 metalloproteinase-disintegrin protein, Jerdonitin - Trimeresurus jerdonii >gi|34329647|gb|AAQ63966.1| jerdonitin [Protobothrops jerdonii]"
comp14_c0_seq1,NGF,4969.0,1.308%,histamine release; NO liberation; plasminogen activation,BAG16511.1,gi|171854641|dbj|BAG16511.1| nerve growth factor [Trimeresurus flavoviridis]
comp25_c0_seq1,PDE,97.6,0.026%,release of nucleotides for conversion to nucleosides; hypotensive,AEJ31980.1,gi|338855302|gb|AEJ31980.1| phosphodiesterase 1 [Crotalus adamanteus]
comp25_c0_seq2,PDE,88.9,0.023%,release of nucleotides for conversion to nucleosides; hypotensive,AEJ31980.1,gi|338855302|gb|AEJ31980.1| phosphodiesterase 1 [Crotalus adamanteus]
comp13_c0_seq1,PLA2-1,5904.5,1.554%,membrane degradation; release of lysolecithin; not neurotoxic,P00625.2,gi|26007012|sp|P00625.2|PA21B_TRIOK RecName: Full=Phospholipase A2 PLA2-01; AltName: Full=Phosphatidylcholine 2-acylhydrolase; AltName: Full=Phospholipase A2 isozyme DE-I; Flags: Precursor >gi|1469805|dbj|BAA08383.1| phospholipase A2 [Ovophis okinavensis]
comp149_c0_seq1,PLA2-2,180.0,0.047%,-------,Q90Y77.1,gi|28212211|sp|Q90Y77.1|PA2Y_TRIFL RecName: Full=Phospholipase A2 isozyme PL-Y; AltName: Full=Phosphatidylcholine 2-acylhydrolase; Flags: Precursor >gi|15799261|dbj|BAB68546.1| phosphlipase A2 isoenzyme PL-Y [Trimeresurus flavoviridis]
comp28_c0_seq1,PLB,1412.2,0.372%,membrane degradation; release of FA,AEJ31983.1,gi|338855308|gb|AEJ31983.1| phospholipase B [Crotalus adamanteus]
comp28_c0_seq2,PLB,373.0,0.098%,membrane degradation; release of FA,AEJ31983.1,gi|338855308|gb|AEJ31983.1| phospholipase B [Crotalus adamanteus]
comp0_c1_seq48,SP01,18483.3,4.866%,probably non-catalytic,Q9DF68.1,gi|13959640|sp|Q9DF68.1|VSP1_TRIJE RecName: Full=Venom serine proteinase-like protein; AltName: Full=SP1; Flags: Precursor >gi|9988779|gb|AAG10788.1| serine proteinase 1 precursor [Protobothrops jerdonii]
comp0_c1_seq15,SP02,15739.9,4.144%,TLE-like,ABS12074.1,gi|151499825|gb|ABS12074.1| thrombin-like serine protease 1 [Cryptelytrops albolabris]
comp0_c1_seq17,SP03,14844.2,3.908%,clots fibrinogen; not active on other clotting factors,Q8AY81.1,sp|Q8AY81.1|VSPST_TRIST  RecName: Full=Thrombin-like enzyme stejnobin; Flags: Precursor  stejnobin [Viridovipera stejnegeri]
comp0_c1_seq37,SP04,14555.2,3.832%,TLE-like,O13058.1,gi|13959616|sp|O13058.1|VSP3_TRIFL RecName: Full=Venom serine proteinase 3; Flags: Precursor >gi|2114118|dbj|BAA19978.1| serine protease [Trimeresurus flavoviridis]
comp0_c1_seq40,SP05,13887.9,3.656%,clots fibrinogen; not active on other clotting factors,Q8AY81.1,gi|82242794|sp|Q8AY81.1|VSPST_TRIST RecName: Full=Thrombin-like enzyme stejnobin; Flags: Precursor >gi|24266793|gb|AAN52347.1| stejnobin [Viridovipera stejnegeri]
comp0_c1_seq35,SP06,7433.1,1.957%,clots fibrinogen; not active on other clotting factors,Q8AY81.1,gi|82242794|sp|Q8AY81.1|VSPST_TRIST RecName: Full=Thrombin-like enzyme stejnobin; Flags: Precursor >gi|24266793|gb|AAN52347.1| stejnobin [Viridovipera stejnegeri]
comp0_c1_seq22,SP07,6898.2,1.816%,TLE-like,O13060.1,gi|13959618|sp|O13060.1|VSPA_TRIGA RecName: Full=Venom serine proteinase 2A; Flags: Precursor >gi|2114122|dbj|BAA19980.1| serine protease [Trimeresurus gramineus]
