target_id	length	eff_length	est_counts	tpm
comp25388_c0_seq1	293	134.368	4	1.7462
comp25841_c0_seq1	345	186.002	5	1.57682
comp24711_c0_seq1	453	293.751	7.05899	1.40959
comp24711_c0_seq2	249	90.8989	1.94101	1.25256
comp25566_c0_seq1	272	113.677	5	2.58005
comp25515_c0_seq1	307	148.228	6	2.37439
comp25594_c0_seq1	552	392.721	10	1.49364
comp25876_c0_seq1	229	71.0534	3	2.47666
comp24479_c0_seq1	515	355.721	9	1.4841
comp25596_c0_seq1	229	71.0534	4	3.30222
comp25879_c0_seq1	300	141.271	5	2.07609
comp25203_c0_seq1	238	80.0005	4	2.9329
comp25632_c0_seq1	343	184.002	6	1.91275
comp24013_c0_seq1	467	307.721	11	2.09684
comp24570_c0_seq1	292	133.381	5	2.1989
comp25433_c0_seq1	285	126.486	5	2.31878
comp24053_c0_seq1	364	204.847	7	2.00447
comp24249_c0_seq1	405	245.805	7	1.67047
comp25040_c0_seq1	261	102.774	4	2.28302
comp24077_c0_seq1	450	290.78	9	1.81555
comp25653_c0_seq1	343	184.002	6	1.91275
comp25952_c0_seq1	613	453.721	10	1.29283
comp24574_c0_seq1	264	105.721	3	1.66452
comp25956_c0_seq1	255	96.8235	4	2.42331
comp25770_c0_seq1	259	100.794	3	1.74589
comp24080_c0_seq1	221	63.1944	5	4.64111
comp24238_c0_seq1	215	57.2906	3	3.07162
comp25790_c0_seq1	201	45.1353	3	3.89884
comp25471_c0_seq1	210	52.5983	4	4.46086
comp25096_c0_seq1	210	52.5983	4	4.46086
comp24310_c0_seq1	217	59.2437	5	4.9506
comp25004_c0_seq1	318	159.151	5	1.84285
comp24517_c0_seq1	279	120.547	4	1.9464
comp25629_c0_seq1	302	143.271	6	2.45653
comp25185_c0_seq1	365	205.826	6	1.70994
comp24264_c0_seq1	320	161.087	6	2.18484
comp25957_c0_seq1	411	251.805	7	1.63066
comp25479_c0_seq1	631	471.675	13	1.6167
comp25285_c0_seq1	228	70.0604	4	3.34902
comp24394_c0_seq1	224	66.1425	5	4.43425
comp24862_c0_seq1	202	45.9176	6	7.66483
comp24106_c0_seq1	257	98.8039	5	2.96842
