Pf	fpkm	fragments	peptides	length	frag/len
comp7_c0_seq1	62663	12.5	13	86	0.145348837
comp12681_c0_seq1	19	1	1	370	0.002702703
comp282_c0_seq1	589	8	8	233	0.034334764
comp61_c0_seq1	10671	37	37	517	0.071566731
comp862_c0_seq3	47.58	1.5	3	241	0.006224066
comp862_c0_seq1	255.05	1.5	3	241	0.006224066
comp3_c0_seq2	219455.27	15.5	31	255	0.060784314
comp3_c0_seq1	173948.73	47.5	63	505	0.094059406
comp11419_c0_seq1	81	1	1	77	0.012987013
comp14_c0_seq1	32098	10	10	187	0.053475936
comp9_c0_seq20	2381	1	1	46	0.02173913
comp249_c0_seq4	1257.2	2	8	339	0.005899705
comp249_c0_seq1	251.28	2	8	368	0.005434783
comp9_c0_seq25	551	3	3	76	0.039473684
comp249_c0_seq3	574.62	2	8	368	0.005434783
comp249_c0_seq2	432.91	2	8	339	0.005899705
comp8037_c0_seq1	20	1	2	255	0.003921569
comp8037_c0_seq2	0	1	2	222	0.004504505
comp21492_c0_seq1	2	1	1	71	0.014084507
comp8255_c0_seq1	24	1	1	254	0.003937008
comp1149_c0_seq1	96.43	0.5	1	411	0.001216545
comp1149_c0_seq2	169.57	0.5	1	350	0.001428571
comp536_c0_seq1	130.28	0.5	1	523	0.000956023
comp536_c0_seq2	23.72	0.5	1	523	0.000956023
comp9_c0_seq9	5833	1.333333	2	169	0.007889544
comp9_c0_seq8	5350	2	2	172	0.011627907
comp9_c0_seq4	3.3	2.333333	4	200	0.011666665
comp16163_c0_seq1	12	1	1	211	0.004739336
comp9_c0_seq6	21817.36	4.333333	6	218	0.019877674
comp9_c0_seq3	67996.16	26	28	260	0.1
comp36252_c0_seq1	1	1	1	52	0.019230769
comp22_c0_seq1	3665	5	5	76	0.065789474
comp34_c0_seq1	9736	6	6	77	0.077922078
comp30370_c0_seq1	5	1	1	70	0.014285714
comp34056_c0_seq1	3	1	1	68	0.014705882
comp40_c0_seq1	19156	5	5	295	0.016949153
comp3759_c0_seq2	32.72	1	1	246	0.004065041
comp23_c0_seq1	2337	9	9	58	0.155172414
comp74_c0_seq1	4619.15	9.5	38	851	0.011163337
comp74_c0_seq2	618.03	9.5	38	852	0.011150235
comp90_c0_seq1	816	5	5	87	0.057471264
comp74_c0_seq4	1083.49	10	39	811	0.012330456
comp24406_c0_seq1	9	1	1	178	0.005617978
comp10235_c0_seq2	16.73	0.5	1	183	0.00273224
comp274_c0_seq1	408	3.333333	6	162	0.02057613
comp95_c0_seq1	340	0.5	1	71	0.007042254
comp32_c0_seq2	6518.03	19.166667	20	148	0.129504507
comp32_c0_seq1	5896.97	16	16	150	0.106666667
comp1129_c0_seq1	506	1	1	245	0.004081633
comp50_c0_seq1	2768	13	13	109	0.119266055
comp14922_c0_seq1	7	2	2	164	0.012195122
comp74_c0_seq3	11813.33	10	39	810	0.012345679
comp656_c0_seq1	1677.69	1.25	4	905	0.001381215
comp656_c0_seq3	30.89	0.75	3	473	0.001585624
comp656_c0_seq2	166.41	1.25	4	905	0.001381215
comp656_c0_seq4	0.01	0.75	3	473	0.001585624
