target_id	length	eff_length	est_counts	tpm
NM_001323246.1	774	581.616	0	0
NM_001323247.1	774	581.616	22.4013	2.77171
NM_001323248.1	2028	1834.53	75997.8	2981.18
NM_001323250.1	1127	933.531	13	1.00214
XM_015809912.1	1079	885.531	0	0
XM_015809913.1	969	775.607	0	0
XM_015809914.1	2121	1927.53	3	0.112004
XM_015809915.1	1197	1003.53	0	0
XM_015809916.1	4227	4033.53	0	0
XM_015809917.1	4689	4495.53	3	0.0480233
XM_015809918.1	5295	5101.53	0	0
XM_015809919.1	1537	1343.53	0	0
XM_015809920.2	632	441.468	0	0
XM_015809923.1	3357	3163.53	0	0
XM_015809924.1	1491	1297.53	0	0
XM_015809925.1	653	462.043	0	0
XM_015809926.1	1487	1293.53	4384	243.896
XM_015809927.1	1104	910.531	0	0
XM_015809929.1	750	557.807	0	0
XM_015809931.1	1020	826.531	0	0
XM_015809932.1	1670	1476.53	2	0.0974764
XM_015809933.1	5436	5242.53	0	0
XM_015809934.1	2281	2087.53	8	0.275784
XM_015809935.1	1696	1502.53	2	0.0957896
XM_015809936.1	4062	3868.53	0	0
XM_015809937.1	1380	1186.53	0	0
XM_015809938.1	2671	2477.53	94	2.73036
XM_015809940.1	1860	1666.53	0	0
XM_015809941.1	3282	3088.53	0	0
XM_015809942.1	1806	1612.53	0	0
XM_015809944.1	1194	1000.53	0	0
XM_015809945.1	5872	5678.53	218	2.76269
XM_015809947.1	789	596.474	0	0
XM_015809948.1	1179	985.531	0	0
XM_015809949.1	1516	1322.53	0	0
XM_015809950.1	1684	1490.53	1	0.0482804
XM_015809951.1	1405	1211.53	18086.7	1074.33
XM_015809952.1	1426	1232.53	2.54552e-06	1.48625e-07
XM_015809953.1	510	323.14	7342.13	1635.09
XM_015809954.1	510	323.14	7342.13	1635.09
XM_015809955.2	3421	3227.53	0	0
XM_015809956.1	2492	2298.53	0	0
XM_015809957.1	2492	2298.53	0	0
XM_015809958.1	2470	2276.53	0	0
XM_015809959.1	2473	2279.53	0	0
XM_015809961.1	3284	3090.53	3	0.0698554
XM_015809962.2	1751	1557.53	4	0.184814
XM_015809963.1	2080	1886.53	0	0
XM_015809964.1	2158	1964.53	2	0.0732627
XM_015809965.1	1361	1167.53	2	0.123275
XM_015809966.1	1039	845.531	328	27.9162
XM_015809967.2	1352	1158.53	0	0
XM_015809968.1	977	783.588	0	0
XM_015809969.1	1942	1748.53	6	0.246939
XM_015809970.1	1931	1737.53	0	0
XM_015809971.1	978	784.588	0	0
XM_015809973.1	2809	2615.53	1	0.0275139
XM_015809975.1	3269	3075.53	6	0.140392
XM_015809976.1	1926	1732.53	0	0
XM_015809977.1	3595	3401.53	0	0
XM_015809978.2	1116	922.531	23	1.79415
XM_015809979.1	489	303.256	0	0
XM_015809980.1	2509	2315.53	0	0
XM_015809983.1	1673	1479.53	2	0.0972787
XM_015809985.1	2272	2078.53	0	0
XM_015809986.2	1353	1159.53	0	0
XM_015809987.1	1191	997.531	0	0
XM_015809988.1	1323	1129.53	140	8.91953
XM_015809989.1	1659	1465.53	0	0
XM_015809991.1	1067	873.531	0	0
XM_015809993.1	1272	1078.53	1	0.0667236
XM_015809994.1	2811	2617.53	3	0.0824786
XM_015809995.1	1176	982.531	8	0.585943
XM_015809996.1	2550	2356.53	0	0
XM_015809997.1	884	690.867	1	0.104164
XM_015809998.1	1036	842.531	0	0
XM_015810001.1	1882	1688.53	7	0.298333
XM_015810003.1	3585	3391.53	0	0
XM_015810004.1	1962	1768.53	5	0.203455
XM_015810005.1	2263	2069.53	1	0.0347728
XM_015810006.1	986	792.569	1	0.0907977
XM_015810007.1	1268	1074.53	1.99565	0.133652
XM_015810008.1	1273	1079.53	0.00435252	0.000290147
XM_015810009.1	969	775.607	1	0.0927834
XM_015810010.1	2860	2666.53	2	0.0539753
XM_015810011.1	1760	1566.53	0	0
XM_015810012.1	1955	1761.53	0	0
XM_015810013.1	1865	1671.53	1	0.0430524
XM_015810015.1	4140	3946.53	0	0
XM_015810016.1	1222	1028.53	0.000121631	8.51017e-06
XM_015810017.1	1215	1021.53	0.999878	0.0704381
XM_015810018.1	2074	1880.53	7	0.267873
XM_015810020.1	2743	2549.53	0	0
XM_015810021.1	4074	3880.53	0	0
XM_015810022.1	2647	2453.53	0	0
XM_015810023.1	1252	1058.53	0	0
XM_015810024.1	1664	1470.53	5	0.244685
XM_015810025.1	1118	924.531	1	0.0778378
XM_015810026.1	1150	956.531	0	0
XM_015810027.2	797	604.358	0	0
XM_015810028.1	4030	3836.53	952	17.8571
XM_015810029.1	3993	3799.53	4	0.0757603
XM_015810030.1	586	396.455	2836	514.784
XM_015810031.1	2303	2109.53	0	0
XM_015810032.1	2281	2087.53	0	0
XM_015810033.1	2222	2028.53	638062	22635.7
XM_015810034.1	1043	849.531	9783	828.714
XM_015810035.1	4066	3872.53	2	0.0371661
XM_015810036.1	1615	1421.53	0	0
XM_015810037.1	2487	2293.53	0	0
XM_015810038.1	1562	1368.53	0	0
XM_015810039.1	1256	1062.53	0	0
XM_015810040.1	2997	2803.53	6	0.154013
XM_015810041.1	407	227.201	2	0.633479
XM_015810044.2	1531	1337.53	2	0.107606
XM_015810045.1	2439	2245.53	1	0.0320474
XM_015810046.1	4448	4254.53	1	0.0169145
XM_015810047.1	2108	1914.53	2	0.075176
XM_015810048.1	453	269.514	1101	293.98
XM_015810049.1	733	540.94	7061	939.354
XM_015810050.1	1398	1204.53	2	0.119488
XM_015810051.1	1147	953.531	0	0
XM_015810052.2	912	718.732	2	0.200251
XM_015810053.1	1563	1369.53	647	33.9973
XM_015810055.1	1665	1471.53	15	0.733557
XM_015810056.1	1155	961.531	0	0
XM_015810057.1	1773	1579.53	0	0
XM_015810058.1	691	499.464	0	0
XM_015810059.1	1097	903.531	0	0
XM_015810060.1	1074	880.531	13	1.06246
XM_015810061.1	1004	810.531	2	0.177571
XM_015810062.1	2127	1933.53	0	0
XM_015810063.1	1149	955.531	1	0.0753125
XM_015810064.1	2477	2283.53	3	0.0945423
XM_015810065.1	2722	2528.53	0	0
XM_015810066.2	519	331.789	0	0
XM_015810067.2	1088	894.531	0	0
XM_015810068.1	1805	1611.53	0	0
XM_015810069.1	609	418.884	0	0
XM_015810070.1	687	495.488	0	0
XM_015810071.1	1400	1206.53	0	0
XM_015810072.2	1422	1228.53	0	0
XM_015810073.1	898	704.801	2	0.204209
XM_015810074.1	1462	1268.53	1	0.0567297
XM_015810075.1	1155	961.531	0	0
XM_015810076.1	1115	921.531	6	0.468547
XM_015810077.2	867	673.934	0	0
XM_015810078.1	933	739.715	0	0
XM_015810079.1	927	733.715	0	0
XM_015810080.1	939	745.679	0	0
XM_015810081.1	933	739.715	0	0
XM_015810082.1	972	778.607	0	0
XM_015810083.1	984	790.569	0	0
XM_015810084.1	954	760.625	0	0
XM_015810085.1	4301	4107.53	0	0
XM_015810086.1	936	742.679	0	0
XM_015810087.1	954	760.625	0	0
XM_015810088.1	960	766.625	0	0
XM_015810089.2	951	757.625	0	0
XM_015810090.2	966	772.607	0	0
XM_015810092.1	936	742.679	0	0
XM_015810093.1	933	739.715	0	0
XM_015810094.1	4119	3925.53	9539	174.87
XM_015810098.1	951	757.625	0	0
XM_015810099.1	954	760.625	0	0
XM_015810100.2	1011	817.531	0	0
XM_015810101.1	975	781.588	0	0
XM_015810102.1	4119	3925.53	9539	174.87
XM_015810103.2	1164	970.531	0	0
XM_015810104.1	1836	1642.53	0	0
XM_015810105.1	1836	1642.53	0	0
XM_015810106.1	753	560.753	0	0
XM_015810107.1	957	763.625	0	0
XM_015810108.1	1266	1072.53	0	0
XM_015810109.1	1041	847.531	0	0
XM_015810110.1	1167	973.531	0	0
XM_015810111.2	972	778.607	0	0
XM_015810112.1	975	781.588	0	0
XM_015810114.1	1062	868.531	0	0
XM_015810115.1	972	778.607	0	0
XM_015810116.1	945	751.643	0	0
XM_015810117.1	939	745.679	0	0
XM_015810118.1	945	751.643	0	0
XM_015810119.1	984	790.569	0	0
XM_015810120.1	990	796.55	0	0
XM_015810122.1	984	790.569	0	0
XM_015810123.1	966	772.607	0	0
XM_015810124.1	3539	3345.53	3	0.0645309
XM_015810125.1	942	748.661	0	0
XM_015810126.1	978	784.588	0	0
XM_015810127.2	954	760.625	0	0
XM_015810128.1	978	784.588	0	0
XM_015810129.1	951	757.625	0	0
XM_015810130.1	948	754.625	0	0
XM_015810131.1	951	757.625	0	0
XM_015810132.1	975	781.588	0	0
XM_015810133.1	1065	871.531	0	0
XM_015810134.2	1179	985.531	0	0
XM_015810135.1	2814	2620.53	22	0.604151
XM_015810136.1	1290	1096.53	0	0
XM_015810137.1	2703	2509.53	0	0
XM_015810141.1	597	407.173	0	0
XM_015810143.1	3727	3533.53	0	0
XM_015810145.1	986	792.569	0	0
XM_015810146.1	7515	7321.53	3	0.029487
XM_015810147.1	1189	995.531	1	0.0722865
XM_015810149.1	6600	6406.53	0	0
XM_015810150.1	1350	1156.53	0	0
XM_015810151.1	1698	1504.53	0	0
XM_015810152.1	1087	893.531	0	0
XM_015810153.1	2752	2558.53	5	0.140634
XM_015810154.2	1770	1576.53	10	0.456467
XM_015810155.2	1609	1415.53	0	0
XM_015810156.1	626	435.574	0	0
XM_015810157.2	856	662.966	0	0
XM_015810158.1	1111	917.531	0	0
XM_015810159.1	1071	877.531	5	0.410034
XM_015810160.1	713	521.106	3	0.414292
XM_015810161.1	4174	3980.53	0	0
XM_015810162.1	1336	1142.53	0	0
XM_015810163.1	1209	1015.53	13332	944.744
XM_015810164.1	964	770.625	0	0
XM_015810165.1	2600	2406.53	2	0.0598068
XM_015810166.1	2342	2148.53	4285	143.523
XM_015810167.1	2258	2064.53	0	0
XM_015810168.1	1401	1207.53	0	0
XM_015810169.1	3551	3357.53	3069	65.7792
XM_015810170.2	4051	3857.53	1	0.0186553
XM_015810171.1	2134	1940.53	1	0.0370844
XM_015810173.1	1588	1394.53	0	0
XM_015810174.1	819	626.106	2	0.229876
XM_015810175.1	938	744.679	0	0
XM_015810176.1	3607	3413.53	1	0.0210818
XM_015810177.1	2074	1880.53	0	0
XM_015810178.1	1769	1575.53	0	0
XM_015810179.1	3549	3355.53	0	0
XM_015810180.1	3988	3794.53	2527.14	47.9272
XM_015810181.1	2113	1919.53	839	31.4542
XM_015810182.1	3604	3410.53	0	0
XM_015810183.1	2124	1930.53	0	0
XM_015810184.1	2118	1924.53	0	0
XM_015810185.1	1587	1393.53	0	0
XM_015810186.1	1569	1375.53	0	0
XM_015810187.1	2481	2287.53	1	0.031459
XM_015810188.1	2025	1831.53	0	0
XM_015810190.2	3938	3744.53	1	0.0192183
XM_015810191.1	1101	907.531	95.5184	7.57421
XM_015810192.1	1839	1645.53	4.45943	0.195023
XM_015810193.1	4913	4719.53	5	0.07624
XM_015810194.1	1924	1730.53	209.022	8.6921
XM_015810195.1	2135	1941.53	4	0.148261
XM_015810196.1	5080	4886.53	1048	15.4338
XM_015810197.1	2370	2176.53	0	0
XM_015810198.1	1376	1182.53	3	0.182566
XM_015810200.2	5185	4991.53	0	0
XM_015810201.1	3562	3368.53	1	0.0213634
XM_015810202.1	3556	3362.53	0	0
XM_015810203.1	918	724.715	0	0
XM_015810204.1	3879	3685.53	8	0.156207
XM_015810205.1	3144	2950.53	0	0
XM_015810206.1	2004	1810.53	0	0
XM_015810207.1	1860	1666.53	0	0
XM_015810208.1	1194	1000.53	0	0
XM_015810209.1	1941	1747.53	0	0
XM_015810210.1	1593	1399.53	0	0
XM_015810211.1	795	602.387	4	0.477855
XM_015810212.2	2045	1851.53	0	0
XM_015810213.1	753	560.753	0	0
XM_015810214.1	3016	2822.53	4	0.101984
XM_015810215.1	2331	2137.53	0	0
XM_015810217.1	1254	1060.53	0	0
XM_015810218.1	558	369.266	0	0
XM_015810219.2	696	504.44	0	0
XM_015810220.1	2124	1930.53	0	0
XM_015810223.1	3184	2990.53	0	0
XM_015810224.1	1251	1057.53	0	0
XM_015810225.1	1068	874.531	0	0
XM_015810226.1	1590	1396.53	0	0
XM_015810227.1	1533	1339.53	2	0.107446
XM_015810230.1	2151	1957.53	0	0
XM_015810231.1	1347	1153.53	0	0
XM_015810232.1	714	522.106	0	0
XM_015810233.1	1344	1150.53	0	0
XM_015810234.1	750	557.807	0	0
XM_015810236.1	1737	1543.53	0	0
XM_015810237.1	1490	1296.53	1	0.0555046
XM_015810238.1	4444	4250.53	0	0
XM_015810239.1	1416	1222.53	0	0
XM_015810240.1	1965	1771.53	1	0.0406222
XM_015810241.1	2194	2000.53	2	0.0719443
XM_015810242.1	894	700.801	0	0
XM_015810243.1	894	700.801	0	0
XM_015810244.2	900	706.801	0	0
XM_015810245.1	1886	1692.53	1	0.0425182
XM_015810246.1	1927	1733.53	0	0
XM_015810247.1	3347	3153.53	0	0
XM_015810248.1	979	785.569	0	0
XM_015810249.1	1883	1689.53	1	0.0425937
XM_015810250.1	748	555.821	20385	2639.3
XM_015810251.2	2738	2544.53	0	0
XM_015810252.1	940	746.661	1	0.0963803
XM_015810253.1	1318	1124.53	0	0
XM_015810254.1	1321	1127.53	0	0
XM_015810255.1	3390	3196.53	1	0.022513
XM_015810257.1	2229	2035.53	1	0.0353536
XM_015810258.1	2786	2592.53	0	0
XM_015810259.1	2524	2330.53	1	0.0308786
XM_015810260.1	880	686.901	0	0
XM_015810261.1	2584	2390.53	0	0
XM_015810262.1	1588	1394.53	0	0
XM_015810263.1	1978	1784.53	12	0.483915
XM_015810264.1	1119	925.531	6675	519.006
XM_015810265.1	2943	2749.53	15	0.392595
XM_015810266.1	1855	1661.53	7	0.303181
XM_015810268.1	761	568.712	16436	2079.76
XM_015810270.1	1911	1717.53	1.2019	0.0503588
XM_015810271.1	1307	1113.53	0	0
XM_015810273.1	2242	2048.53	3	0.105388
XM_015810274.1	2729	2535.53	0	0
XM_015810275.2	1000	806.531	177	15.793
XM_015810276.1	2623	2429.53	1	0.0296203
XM_015810277.1	839	646.06	18192.7	2026.45
XM_015810278.2	2329	2135.53	0	0
XM_015810279.1	2076	1882.53	1	0.038227
XM_015810280.1	2747	2553.53	3	0.0845458
XM_015810281.1	2274	2080.53	8.34597	0.288679
XM_015810282.1	2895	2701.53	2	0.053276
XM_015810283.1	1672	1478.53	0	0
XM_015810284.1	1682	1488.53	0	0
XM_015810285.1	5941	5747.53	0	0
XM_015810287.1	1520	1326.53	0	0
XM_015810288.1	1421	1227.53	0	0
XM_015810289.1	1915	1721.53	0	0
