gene,description,colors
107282158,exonuclease 3'-5' domain containing 1,green
107282159,delta-like 4 (Drosophila),blue
107282160,fibronectin leucine rich transmembrane protein 2,blue
107282161,cytochrome P450 2H2,darkturquoise
107282162,calreticulin 3,blue
107282164,C3 and PZP-like alpha-2-macroglobulin domain containing 8,blue
107282165,peroxisomal biogenesis factor 11 gamma,green
107282166,vimentin-type intermediate filament associated coiled-coil protein,black
107282167,zinc finger protein 414,brown
107282168,phosphodiesterase 4C,red
107282169,anoctamin 8,red
107282170,GTP binding protein 3 (mitochondrial),turquoise
107282171,uncharacterized LOC107282171,blue
107282172,coiled-coil domain-containing protein 158-like,darkgreen
107282173,paralemmin,lightgreen
107282174,KISS1 receptor,red
107282175,histocompatibility (minor) HA-1,turquoise
107282176,YjeF N-terminal domain containing 3,turquoise
107282177,cartilage intermediate layer protein 2,turquoise
107282178,microtubule associated protein 7,turquoise
107282180,major facilitator superfamily domain containing 12,brown
107282182,nuclear factor I/C (CCAAT-binding transcription factor),turquoise
107282183,ATPase phospholipid transporting 8B3,blue
107282185,transcription factor 3,purple
107282186,DOT1 like histone H3K79 methyltransferase,turquoise
107282188,ADAM metallopeptidase with thrombospondin type 1 motif 10,blue
107282189,tyrosine-protein kinase ZAP-70,royalblue
107282192,mucin-16-like,magenta
107282193,serine-rich adhesin for platelets-like,magenta
107282194,cell wall protein DAN4-like,pink
107282195,hyaluronan and proteoglycan link protein 1,blue
107282196,X-ray repair complementing defective repair in Chinese hamster cells 4,black
107282197,transmembrane protein 167A,turquoise
107282198,40S ribosomal protein S23,lightgreen
107282199,vacuolar protein 8-like,black
107282200,ribosomal protein S23,lightgreen
107282201,uncharacterized LOC107282201,brown
107282202,cytochrome b561,turquoise
107282203,zinc finger protein 511,brown
107282204,tubulin gamma complex associated protein 2,blue
107282205,erlin-1-like,brown
107282206,CWF19-like 1 cell cycle control (S. pombe),yellow
107282207,mitochondrial fission regulator 2,cyan
107282208,adaptor related protein complex 1 mu 1 subunit,turquoise
107282209,RAB8A member RAS oncogene family,grey60
107282210,family with sequence similarity 32 member A,pink
107282211,tropomyosin 4,black
107282212,Kruppel-like factor 2,darkred
107282213,epidermal growth factor receptor pathway substrate 15-like 1,darkgrey
107282214,chromosome unknown open reading frame human C19orf44,green
107282215,calcium homeostasis endoplasmic reticulum protein,salmon
107282216,transcription factor HES-5-like,brown
