gene_id,gene_symbol,description,gene_type,transcript_accession,protein_accession
107282165,PEX11G,peroxisomal biogenesis factor 11 gamma,PROTEIN_CODING,XM_015809919.1,XP_015665405.1
107282202,LOC107282202,cytochrome b561,PROTEIN_CODING,XM_015809956.1,XP_015665442.1
107282202,LOC107282202,cytochrome b561,PROTEIN_CODING,XM_015809959.1,XP_015665445.1
107282202,LOC107282202,cytochrome b561,PROTEIN_CODING,XM_015809958.1,XP_015665444.1
107282202,LOC107282202,cytochrome b561,PROTEIN_CODING,XM_015809957.1,XP_015665443.1
107282214,CUNH19orf44,chromosome unknown C19orf44 homolog,PROTEIN_CODING,XM_029282965.1,XP_029138798.1
107282218,TMEM38A,transmembrane protein 38A,PROTEIN_CODING,XM_015809977.1,XP_015665463.1
107282225,LOC107282225,excitatory amino acid transporter 1,PROTEIN_CODING,XM_015809985.1,XP_015665471.1
107282226,CAPS,calcyphosine,PROTEIN_CODING,XM_015809988.1,XP_015665474.1
107282226,CAPS,calcyphosine,PROTEIN_CODING,XM_015809986.2,XP_015665472.1
107282230,RAB3A,"RAB3A, member RAS oncogene family",PROTEIN_CODING,XM_015809991.1,XP_015665477.1
107282234,PLVAP,plasmalemma vesicle associated protein,PROTEIN_CODING,XM_015809996.1,XP_015665482.1
107282247,BCLAF1,BCL2 associated transcription factor 1,PROTEIN_CODING,XM_015810015.1,XP_015665501.1
107282247,BCLAF1,BCL2 associated transcription factor 1,PROTEIN_CODING,XM_015810029.1,XP_015665515.1
107282247,BCLAF1,BCL2 associated transcription factor 1,PROTEIN_CODING,XM_015810021.1,XP_015665507.1
107282247,BCLAF1,BCL2 associated transcription factor 1,PROTEIN_CODING,XM_015810037.1,XP_015665523.1
107282260,JSRP1,junctional sarcoplasmic reticulum protein 1,PROTEIN_CODING,XM_015810032.1,XP_015665518.1
107282260,JSRP1,junctional sarcoplasmic reticulum protein 1,PROTEIN_CODING,XM_015810033.1,XP_015665519.1
107282260,JSRP1,junctional sarcoplasmic reticulum protein 1,PROTEIN_CODING,XM_015810031.1,XP_015665517.1
107282264,DNAL4,dynein axonemal light chain 4,PROTEIN_CODING,XM_015810039.1,XP_015665525.1
107282264,DNAL4,dynein axonemal light chain 4,PROTEIN_CODING,XM_015810038.1,XP_015665524.1
107282265,LOC107282265,uncharacterized LOC107282265,ncRNA,XR_001548773.1,
107282374,MYBPC2,myosin binding protein C2,PROTEIN_CODING,XM_015810143.1,XP_015665629.1
107282384,LOC107282384,protein-lysine methyltransferase METTL21E-like,PROTEIN_CODING,XM_015810157.2,XP_015665643.1
107282385,LOC107282385,epididymal sperm-binding protein 1,PROTEIN_CODING,XM_015810155.2,XP_015665641.1
107282385,LOC107282385,epididymal sperm-binding protein 1,PROTEIN_CODING,XM_015810154.2,XP_015665640.1
107282386,LOC107282386,platelet basic protein,PROTEIN_CODING,XM_015810156.1,XP_015665642.1
107282400,EMC10,ER membrane protein complex subunit 10,PROTEIN_CODING,XM_015810174.1,XP_015665660.1
107282400,EMC10,ER membrane protein complex subunit 10,PROTEIN_CODING,XM_015810175.1,XP_015665661.1
107282404,RUVBL2,RuvB like AAA ATPase 2,PROTEIN_CODING,XM_015810178.1,XP_015665664.1
107282408,SNRNP70,small nuclear ribonucleoprotein U1 subunit 70,PROTEIN_CODING,XM_015810183.1,XP_015665669.1
107282422,DDX42,DEAD-box helicase 42,PROTEIN_CODING,XM_015810200.2,XP_015665686.1
107282472,LOC107282472,voltage-dependent calcium channel gamma-6 subunit,PROTEIN_CODING,XM_015810248.1,XP_015665734.1
107282490,ADPRM,"ADP-ribose/CDP-alcohol diphosphatase, manganese dependent",PROTEIN_CODING,XM_015810271.1,XP_015665757.1
107282500,LOC107282500,protein arginine N-methyltransferase 1,PROTEIN_CODING,XM_015810278.2,XP_015665764.1
107282500,LOC107282500,protein arginine N-methyltransferase 1,PROTEIN_CODING,XM_015810281.1,XP_015665767.1
107282503,LOC107282503,protein kinase C and casein kinase substrate in neurons protein 2,PROTEIN_CODING,XM_015810284.1,XP_015665770.1
107282503,LOC107282503,protein kinase C and casein kinase substrate in neurons protein 2,PROTEIN_CODING,XM_015810283.1,XP_015665769.1
107282510,ATP2A1,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1,PROTEIN_CODING,XM_015810293.1,XP_015665779.1
107282511,NFATC2IP,nuclear factor of activated T cells 2 interacting protein,PROTEIN_CODING,XM_015810296.1,XP_015665782.1
107282511,NFATC2IP,nuclear factor of activated T cells 2 interacting protein,PROTEIN_CODING,XM_015810295.1,XP_015665781.1
107282519,LOC107282519,uncharacterized LOC107282519,PROTEIN_CODING,XM_015810307.1,XP_015665793.1
107282519,LOC107282519,uncharacterized LOC107282519,PROTEIN_CODING,XM_015810306.1,XP_015665792.1
107282526,LOC107282526,claudin-4,PROTEIN_CODING,XM_015810314.1,XP_015665800.1
107282526,LOC107282526,claudin-4,PROTEIN_CODING,XM_015810315.1,XP_015665801.1
107282578,LOC107282578,ATP-binding cassette sub-family A member 10,PROTEIN_CODING,XM_029283035.1,XP_029138868.1
107282579,LOC107282579,ATP-binding cassette sub-family A member 5,PROTEIN_CODING,XM_015810380.1,XP_015665866.1
107282606,SGCA,sarcoglycan alpha,PROTEIN_CODING,XM_015810411.2,XP_015665897.1
107282629,COPZ2,COPI coat complex subunit zeta 2,PROTEIN_CODING,XR_001548779.1,
107282629,COPZ2,COPI coat complex subunit zeta 2,PROTEIN_CODING,XM_015810438.2,XP_015665924.1
107282644,CDH13,cadherin 13,PROTEIN_CODING,XM_015810457.1,XP_015665943.1
107282648,RAB5C,"RAB5C, member RAS oncogene family",PROTEIN_CODING,XM_015810458.1,XP_015665944.1
