Table 1
ID,Toxin Class,FPKM,% FPKM,Peptides,Transcript Length,Peptide Coverage,Peptide Coverage %,NCBI Link,BLAST hit
comp72_c0_seq1,3F,737.3,0.157%,,,,,A5X2W8.1,gi|166229885|sp|A5X2W8.1|TX3_SISCA RecName: Full=Toxin 3; Flags: Precursor >gi|109255016|gb|ABG27006.1| three finger toxin 3 [Sistrurus catenatus edwardsi] >gi|167614289|gb|ABZ89720.1| three finger toxin 3 precursor [Sistrurus catenatus edwardsi]
comp61_c0_seq1,5‘NTase,553.7,0.118%,188,517,262,50.7%,AEJ31979.1,gi|338855300|gb|AEJ31979.1| ecto-5' nucleotidase [Crotalus adamanteus]
comp656_c0_seq1,APA,16.8,0.004%,,,,,BAF63164.1,gi|148367284|dbj|BAF63164.1| aminopeptidase A [Gloydius brevicaudus]
comp155_c0_seq1,BPP,211.5,0.045%,,,,,P0C7P5.1,gi|193806696|sp|P0C7P5.1|BNP_TRIFL RecName: Full=Bradykinin-potentiating and C-type natriuretic peptides; AltName: Full=BPP-CNP; Contains: RecName: Full=Bradykinin-potentiating peptide Tf1; Contains: RecName: Full=Bradykinin-potentiating peptide Tf2; Contains: RecName: Full=Bradykinin-potentiating peptide Tf3; Contains: RecName: Full=C-type natriuretic peptide Tf-CNP; Contains: RecName: Full=C-type natriuretic peptide Tf-CNP(3-22); Contains: RecName: Full=C-type natriuretic peptide Tf-CNP(6-22); Flags: Precursor
comp822_c0_seq1,CRISP,30.4,0.006%,,,,,AEJ31965.1,gi|338855272|gb|AEJ31965.1| cysteine-rich with EGF-like domain [Crotalus adamanteus]
comp10_c0_seq1,CRISP EGF,"12,468.8",2.660%,261,265,183,82.8%,Q8JI39.1,gi|48474867|sp|Q8JI39.1|CRVP_TRIFL RecName: Full=Triflin; Flags: Precursor >gi|21305553|gb|AAM45665.1|AF384219_1 triflin [Trimeresurus flavoviridis]
comp11_c0_seq6,CTL01,"4,121.0",0.879%,36,35,25,71.4%,BAB21452.1,gi|12583677|dbj|BAB21452.1| factor XI/factor X binding protein A chain [Trimeresurus flavoviridis]
comp11_c0_seq4,CTL02,"2,905.5",0.620%,36,149,48,32.2%,Q5FZI6.1,gi|82125516|sp|Q5FZI6.1|TRIMA_TRIMU RecName: Full=Trimecetin subunit alpha; Flags: Precursor >gi|58293944|gb|AAW69915.1| trimecetin alpha-chain precursor [Protobothrops mucrosquamatus]
comp11_c0_seq3,CTL03,"2,423.3",0.517%,105,130,99,76.2%,Q7LZ71.1,"gi|82130933|sp|Q7LZ71.1|IXA_TRIFL RecName: Full=Coagulation factor IX-binding protein subunit A; Short=IX-bp A >gi|5821825|pdb|1BJ3|A Chain A, Crystal Structure Of Coagulation Factor Ix-Binding Protein (Ix-Bp) From Venom Of Habu Snake With A Heterodimer O"
comp32_c0_seq1,CTL04,"2,216.9",0.473%,155,150,109,86.5%,AEJ31972.1,gi|338855286|gb|AEJ31972.1| C-type lectin 6 [Crotalus adamanteus]
